date,cum_pl_price,pl_price_ratio
2010-07-17,0.0495100029587746,0.9999999402388523
2010-07-18,0.04993663550884844,1.7189784438879492
2010-07-19,0.05018886347139677,1.6099189025479503
2010-07-20,0.050286684176475395,1.486278151442805
2010-07-21,0.05049287310940831,1.5687362418131212
2010-07-22,0.05036152865654715,1.0813809956286948
2010-07-23,0.05042559552062968,1.2377420019856022
2010-07-24,0.05046246022772713,1.0808034280110748
2010-07-25,0.050439154485110736,1.0012063151238435
2010-07-26,0.05056678630726094,1.1074462921120796
2010-07-27,0.05064349745793847,1.1847522981569845
2010-07-28,0.05070155189497413,1.1617001412897296
2010-07-29,0.05078217762407617,1.3757300196246998
2010-07-30,0.05082128765671643,1.2337349738857653
2010-07-31,0.050909838164205704,1.3327482947628928
2010-08-01,0.05098025932092021,1.1985031228534193
2010-08-02,0.050986015407438176,1.1788659992291022
2010-08-03,0.05100727547476845,1.1763027811528561
2010-08-04,0.05103891244442209,1.1223298301809281
2010-08-05,0.0510674581177817,1.1944984584764322
2010-08-06,0.0511109551662197,1.2189167625099555
2010-08-07,0.051144766799267494,1.1535882103356272
2010-08-08,0.051186902817217515,1.1897574701377582
2010-08-09,0.0513997002435739,1.375494402982225
2010-08-10,0.051489743201571146,1.3594940593501357
2010-08-11,0.051539127347478904,1.2999832059298029
2010-08-12,0.05160563897500375,1.3564409120853236
2010-08-13,0.051661334410894856,1.248515949800894
2010-08-14,0.051724285126237765,1.2953296471179927
2010-08-15,0.05177122432850931,1.2611252843028902
2010-08-16,0.05182777064297785,1.2638012244671883
2010-08-17,0.051890809081807945,1.348986482165699
2010-08-18,0.051946906099305114,1.3090288740200762
2010-08-19,0.05197653766666492,1.2832713180658424
2010-08-20,0.05201048837519185,1.2593613720274626
2010-08-21,0.0520706135333373,1.2751914274543463
2010-08-22,0.052131120109609096,1.2660384020376059
2010-08-23,0.05216471304030375,1.2443277498689378
2010-08-24,0.052205734564851024,1.245073947178268
2010-08-25,0.05224261710120092,1.2403666507455733
2010-08-26,0.05227398074507792,1.2243184675777001
