date,btc_price,aviv_ratio,aviv_mean,aviv_upper_1sd,aviv_upper_2sd,aviv_lower_1sd,aviv_lower_2sd,price_at_aviv_mean,price_at_aviv_plus_1_sigma,price_at_aviv_plus_2_sigma,price_at_aviv_minus_1_sigma,investor_cap,active_realized_price,liveliness
2010-07-17,0.04951,,0.0,0.0,0.0,0.0,0.0,,,,,,0.69317,0.07141081232458094
2010-07-18,0.08584,22.0,0.03900709219858156,0.9645525935797972,1.8900980949610129,-0.886538409182634,-1.8120839105638495,0.02638673758865248,0.6524812474529895,1.2785757573173266,,995.65186,0.67646,0.07373644189075057
2010-07-19,0.0808,12.990354,0.06192983008849557,1.1349970164710175,2.208064202853539,-1.0111373562940262,-2.0842045426765483,0.04180201601143362,0.7661116361477721,1.4904212562841104,,1599.91853,0.67499,0.07428231838683975
2010-07-20,0.07474,11.1994,0.08160733922261483,1.2513121088980508,2.4210168785734867,-1.088097430452821,-2.257802200128257,0.05532651169936395,0.8483395573485225,1.641352602997681,,1716.81472,0.67796,0.07408889641412836
2010-07-21,0.07921,10.448549,0.0998911869488536,1.3468913731433454,2.593891559337837,-1.147108999245638,-2.3941091854401297,0.06714286021954144,0.905326505372031,1.7435101505245205,,1978.89439,0.67216,0.07498168409269375
2010-07-22,0.05446,9.578207,0.11657836267605634,1.4243090809000707,2.732039799124085,-1.191152355547958,-2.4988830737719723,0.07801890343732394,0.9532046093015633,1.8283903151658025,,1493.35857,0.66924,0.07511466722028558
2010-07-23,0.0624138775510204,10.4,0.13465115992970125,1.5103973744461143,2.8861435889625273,-1.2410950545867117,-2.6168412691031246,0.090012953901406,1.009685540843483,1.92935812778556,,1583.16772,0.66849,0.0752887526374216
2010-07-24,0.05454,9.053156,0.1502976596491228,1.5746065201779822,2.998915380706842,-1.2740112008797366,-2.698320061408596,0.09576365682203508,1.003276290396603,1.9107889239711713,,1672.17683,0.63716,0.07903757657067459
2010-07-25,0.0505,8.922261,0.16566011733800354,1.635226661800148,3.104793206262293,-1.3039064271241412,-2.7734729715862856,0.10462099050364275,1.0327110459932656,1.9608011014828886,,1589.73913,0.63154,0.07970989778688378
2010-07-26,0.056,9.459459,0.1819080174825175,1.7006545338313015,3.2194010501800854,-1.3368384988662663,-2.85558501521505,0.105321103962028,0.9846449619976471,1.863968820033266,,1823.32098,0.57898,0.08710032407727715
2010-07-27,0.06,9.868421,0.1988129267015707,1.7691725553836157,3.3395321840656607,-1.3715467019804741,-2.941906330662519,0.11294959991769633,1.0051023121645397,1.897255024411383,,1913.0271,0.56812,0.08883610411359172
2010-07-28,0.0589,9.047619,0.21422896515679443,1.826032000722374,3.4378350362879537,-1.3975740704087853,-3.009377105974365,0.12181058958815331,1.038281795610742,1.9547530016333305,,2053.82729,0.5686,0.08886670336633995
2010-07-29,0.0698625662193553,10.159884,0.23152575652173912,1.8943906529998982,3.557255549478057,-1.4313391399564197,-3.094204036434579,0.13238874283669566,1.0832315192918718,2.0340742957470477,,2167.04823,0.57181,0.08850835936714518
2010-07-30,0.0627,8.969957,0.2466966440972222,1.947478438190242,3.6482602322832616,-1.4540851499957974,-3.154866944088817,0.14156440224875,1.1175410269710884,2.093517651693427,,2200.11323,0.57384,0.08826457823253502
2010-07-31,0.06785,9.364641,0.26249897400346617,2.003613699958382,3.744728425913298,-1.4786157519514496,-3.2197304779063654,0.15057203647812822,1.1492928544331273,2.1480136723881267,,2291.83957,0.57361,0.08843982623422957
2010-08-01,0.0611,8.179384,0.27619600692041524,2.046643955631332,3.8170919043422487,-1.4942519417905014,-3.2646998905014177,0.1578432559949481,1.16963655420375,2.1814298524125517,,2384.71627,0.57149,0.08887200734063269
2010-08-02,0.06010568,8.335645,0.2901156079447323,2.090410827716247,3.890706047487762,-1.5101796118267825,-3.310474831598297,0.1666046901744214,1.200460226032609,2.2343157618907967,,2296.49388,0.57427,0.08845902609441939
2010-08-03,0.06,8.438819,0.30416509655172413,2.134400755210216,3.9646364138687082,-1.5260705621067678,-3.35630622076526,0.17469113990255172,1.2258503857398835,2.277009631577215,,2272.65711,0.57433,0.08848421861899913
2010-08-04,0.0572824939363675,8.12766,0.3176306643717728,2.1748230436794143,4.0320154229870555,-1.5395617149358687,-3.3967540942435104,0.1815767455947676,1.2432593411497739,2.30494193670478,,2274.04391,0.57166,0.08893267395332075
2010-08-05,0.061,8.664773,0.3319728333333333,2.219497022276962,4.107021211220591,-1.5555513556102958,-3.4430755445539245,0.1905026104083333,1.2736583662336347,2.356814122058936,,2270.2201,0.57385,0.08864534523103663
2010-08-06,0.0623,8.593103,0.3461428679245283,2.262779561433455,4.179416254942382,-1.5704938255843985,-3.4871305190933253,0.19850255046867926,1.2976361950952435,2.3967698397218076,,2345.5024,0.57347,0.08877413907525268
2010-08-07,0.059,8.228731,0.3596404503424658,2.3021696470106514,4.2446988436788375,-1.58288874632572,-3.5254179429939057,0.2041463052323973,1.3068035784291263,2.4094608516258553,,2349.26625,0.56764,0.0897216088191815
2010-08-08,0.0609,8.423237,0.3734243760683761,2.3426697668648075,4.311915157661239,-1.5958210147280552,-3.5650664055244867,0.21172415274324788,1.3282469044170087,2.4447696560907692,,2379.45683,0.56698,0.0898973119360844
2010-08-09,0.0707,7.988701,0.386419728668942,2.3789317389959748,4.371443749323007,-1.606092281658091,-3.5986042919851235,0.2186556034673208,1.3461185245108722,2.4735814455544234,,2936.90486,0.56585,0.09042886333147131
2010-08-10,0.07,7.692308,0.39886587563884157,2.412349420097634,4.425832964556426,-1.6146176688199505,-3.6281012132787427,0.22547489083988073,1.3636770036869914,2.5018791165341017,,3036.61133,0.56529,0.09066041928355927
2010-08-11,0.067,7.338445,0.41066788095238094,2.442657765548723,4.474647650145066,-1.6213220036439613,-3.6533118882403035,0.23266388795357143,1.383887757071629,2.535111626189687,,3052.93476,0.56655,0.09054761998617143
