date,market_cap,realized_cap,active_mvrv,active_realized_price,active_supply_btc,aviv_nupl,aviv_ratio,circulating_supply_btc,cointime_price,investor_cap,liveliness,mvrv_ratio,nupl,supply_in_loss_btc,supply_in_profit_btc,thermocap,true_market_mean_price,vaulted_price,vaulted_supply_btc,vaultedness,timestamp,formattedDate,btc_price
2009-01-03,0.0,2.4755,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4755,0.0,0.04951,50.0,1.0,1230940800000,2009-01-03,
2009-01-09,0.0,37.13249999999999,0.0,0.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.657,0.0,0.04950999999999999,750.0,1.0,1231459200000,2009-01-09,
2009-01-10,0.0,188.138,0.0,0.0,0.0,0.0,0.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.00549999999998,0.0,0.04950999999999999,3800.0,1.0,1231545600000,2009-01-10,
2009-01-11,0.0,418.3595000000003,0.0,0.0,0.0,0.0,0.0,8450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.2215,0.0,0.04951000000000004,8450.0,1.0,1231632000000,2009-01-11,
2009-01-12,0.0,651.0565000000007,0.0,8.25388570879755,78.87878787878788,0.0,0.0,13150.0,0.0,0.0,0.0059983869109344395,0.0,0.0,0.0,0.0,232.697,0.0,0.049808772287740555,13071.121212121212,0.9940016130890656,1231718400000,2009-01-12,
2009-01-13,0.0,955.5430000000014,0.0,17.75812240683829,53.80878552971576,0.0,0.0,19300.0,0.0,0.0,0.002788019975632941,0.0,0.0,0.0,0.0,304.4865,0.0,0.04964842078891821,19246.191214470284,0.9972119800243672,1231804800000,2009-01-13,
2009-01-14,0.0,1274.882500000002,0.0,16.445161991900427,77.5232558139535,0.0,0.0,25750.0,0.0,0.0,0.0030106118762700386,0.0,0.0,0.0,0.0,319.3395,0.0,0.0496595054970191,25672.47674418605,0.99698938812373,1231891200000,2009-01-14,
2009-01-15,0.0,1586.795500000003,0.0,4.841791955399672,327.7289719626168,0.0,0.0,32050.0,0.0,0.0,0.010225552947351538,0.0,0.0,0.0,0.0,311.913,0.0,0.05002149747089453,31722.271028037383,0.9897744470526484,1231977600000,2009-01-15,
2009-01-16,0.0,1854.1495000000032,0.0,4.484370062108604,413.46933333333334,0.0,0.0,37450.0,0.0,0.0,0.011040569648420116,0.0,0.0,0.0,0.0,267.354,0.0,0.05006272095752102,37036.530666666666,0.9889594303515798,1232064000000,2009-01-16,
2009-01-17,0.0,2123.979000000004,0.0,5.88354141863001,361.0034924330617,0.0,0.0,42900.0,0.0,0.0,0.008414999823614492,0.0,0.0,0.0,0.0,269.8295,0.0,0.049930162307006594,42538.99650756694,0.9915850001763856,1232150400000,2009-01-17,
2009-01-18,0.0,2388.8575000000046,0.0,6.036160796961576,395.7577639751553,0.0,0.0,48250.0,0.0,0.0,0.008202233450262286,0.0,0.0,0.0,0.0,264.8785,0.0,0.04991945099073503,47854.242236024846,0.9917977665497376,1232236800000,2009-01-18,
2009-01-19,0.0,2673.5400000000054,0.0,2.6908350247474107,993.572617946346,0.0,0.0,54000.0,0.0,0.0,0.018399492924932332,0.0,0.0,0.0,0.0,284.6825,0.0,0.05043803425441165,53006.427382053655,0.9816005070750676,1232323200000,2009-01-19,
2009-01-20,0.0,2955.7470000000058,0.0,2.4897703347966993,1187.1564853556486,0.0,0.0,59700.0,0.0,0.0,0.01988536826391371,0.0,0.0,0.0,0.0,282.207,0.0,0.05051449942370778,58512.84351464435,0.9801146317360864,1232409600000,2009-01-20,
2009-01-21,0.0,3208.2480000000064,0.0,2.777857805857603,1154.9360061680802,0.0,0.0,64800.0,0.0,0.0,0.01782308651493951,0.0,0.0,0.0,0.0,252.501,0.0,0.050408433878091935,63645.06399383192,0.9821769134850604,1232496000000,2009-01-21,
2009-01-22,0.0,3433.518500000007,0.0,2.464368358074976,1393.2651296829972,0.0,0.0,69350.0,0.0,0.0,0.020090340730829086,0.0,0.0,0.0,0.0,225.2705,0.0,0.05052506578711071,67956.734870317,0.979909659269171,1232582400000,2009-01-22,
2009-01-23,0.0,3641.4605000000074,0.0,2.3793084747688757,1530.470108695652,0.0,0.0,73550.0,0.0,0.0,0.020808567079478615,0.0,0.0,0.0,0.0,207.942,0.0,0.050562125377600915,72019.52989130435,0.9791914329205214,1232668800000,2009-01-23,
2009-01-24,0.0,4139.036000000009,0.0,2.496026758924573,1658.2498505678425,0.0,0.0,83600.0,0.0,0.0,0.019835524528323472,0.0,0.0,0.0,0.0,497.5755,0.0,0.050511930639166265,81941.75014943216,0.9801644754716764,1232755200000,2009-01-24,
2009-01-25,0.0,4611.856500000011,0.0,3.059196241208354,1507.5386266094422,0.0,0.0,93150.0,0.0,0.0,0.016183989550289234,0.0,0.0,0.0,0.0,472.8205,0.0,0.050324450379058853,91642.46137339056,0.9838160104497108,1232841600000,2009-01-25,
2009-01-26,0.0,4849.504500000011,0.0,2.5603791935678575,1894.0571428571427,0.0,0.0,97950.0,0.0,0.0,0.019336979508495587,0.0,0.0,0.0,0.0,237.648,0.0,0.0504862516128995,96055.94285714286,0.9806630204915044,1232928000000,2009-01-26,
2009-01-27,0.0,5089.6280000000115,0.0,2.7636400102210796,1841.6392805055905,0.0,0.0,102800.0,0.0,0.0,0.017914778993245044,0.0,0.0,0.0,0.0,240.1235,0.0,0.05041314026622499,100958.36071949442,0.982085221006755,1233014400000,2009-01-27,
2009-01-28,0.0,5366.884000000012,0.0,3.0728608857066595,1746.5431074227756,0.0,0.0,108400.0,0.0,0.0,0.016112021286187966,0.0,0.0,0.0,0.0,277.256,0.0,0.050320769306198936,106653.45689257723,0.983887978713812,1233100800000,2009-01-28,
2009-01-29,0.0,5666.419500000013,0.0,3.1506463084598733,1798.494323144105,0.0,0.0,114450.0,0.0,0.0,0.01571423611309834,0.0,0.0,0.0,0.0,299.5355,0.0,0.0503004328788494,112651.5056768559,0.9842857638869016,1233187200000,2009-01-29,
2009-01-30,0.0,5956.0530000000135,0.0,3.4808883245859303,1711.0727046115496,0.0,0.0,120300.0,0.0,0.0,0.014223380753213217,0.0,0.0,0.0,0.0,289.63349999999997,0.0,0.05022436019818543,118588.92729538844,0.9857766192467868,1233273600000,2009-01-30,
2009-01-31,0.0,6297.672000000014,0.0,2.2503205738778473,2798.566601178782,0.0,0.0,127200.0,0.0,0.0,0.022001309757694827,0.0,0.0,0.0,0.0,341.61899999999997,0.0,0.050623789677810005,124401.43339882122,0.9779986902423052,1233360000000,2009-01-31,
2009-02-01,0.0,6577.403500000015,0.0,2.4447443576923047,2690.425884123401,0.0,0.0,132850.0,0.0,0.0,0.02025160620341288,0.0,0.0,0.0,0.0,279.7315,0.0,0.0505333821555407,130159.5741158766,0.9797483937965872,1233446400000,2009-02-01,
2009-02-02,0.0,6894.267500000015,0.0,2.610502400053718,2640.9734386216796,0.0,0.0,139250.0,0.0,0.0,0.01896569794342319,0.0,0.0,0.0,0.0,316.864,0.0,0.05046714462094806,136609.02656137833,0.9810343020565768,1233532800000,2009-02-02,
2009-02-03,0.0,7238.362000000016,0.0,2.7933401139939935,2591.2927551276275,0.0,0.0,146200.0,0.0,0.0,0.017724300650667768,0.0,0.0,0.0,0.0,344.1940151,0.0,0.05040336438414995,143608.70724487238,0.9822756993493322,1233619200000,2009-02-03,
2009-02-04,0.0,7532.946500000017,0.0,3.0252911684667043,2489.9905762848966,0.0,0.0,152150.0,0.0,0.0,0.01636536691610185,0.0,0.0,0.0,0.0,294.5845,0.0,0.05033372995903571,149660.00942371512,0.9836346330838982,1233705600000,2009-02-04,
2009-02-05,0.0,7844.859500000018,0.0,3.280968646643463,2391.01934363974,0.0,0.0,158450.0,0.0,0.0,0.015090055813441083,0.0,0.0,0.0,0.0,311.913,0.0,0.05026855530521688,156058.98065636028,0.984909944186559,1233792000000,2009-02-05,
2009-02-06,0.0,8146.870500000018,0.0,3.5384110890811113,2302.4092720994936,0.0,0.0,164550.0,0.0,0.0,0.013992156013974437,0.0,0.0,0.0,0.0,302.01099999999997,0.0,0.05021258228519915,162247.5907279005,0.9860078439860256,1233878400000,2009-02-06,
2009-02-07,0.0,8466.21000000002,0.0,2.8151216693246,3007.404650482201,0.0,0.0,171000.0,0.0,0.0,0.01758716169872632,0.0,0.0,0.0,0.0,319.3395,0.0,0.05039632837617399,167992.5953495178,0.9824128383012736,1233964800000,2009-02-07,
2009-02-08,0.0,8792.97600000002,0.0,2.545681253192356,3454.0757956139955,0.0,0.0,177600.0,0.0,0.0,0.01944862497530403,0.0,0.0,0.0,0.0,326.76599999999996,0.0,0.050491999971702825,174145.924204386,0.980551375024696,1234051200000,2009-02-08,
2009-02-09,0.0,9124.69300000002,0.0,2.137793888712536,4268.275369378697,0.0,0.0,184300.0,0.0,0.0,0.023159388873460102,0.0,0.0,0.0,0.0,331.717,0.0,0.05068380597209486,180031.7246306213,0.97684061112654,1234137600000,2009-02-09,
2009-02-10,0.0,9421.753000000022,0.0,2.279234569752336,4133.735564138885,0.0,0.0,190300.0,0.0,0.0,0.021722204751123936,0.0,0.0,0.0,0.0,297.06,0.0,0.05060934658892535,186166.2644358611,0.978277795248876,1234224000000,2009-02-10,
2009-02-11,0.0,9750.994500000024,0.0,2.39319323203832,4074.4701971662134,0.0,0.0,196950.0,0.0,0.0,0.020687840554283896,0.0,0.0,0.0,0.0,329.2415,0.0,0.050555892237693065,192875.5298028338,0.979312159445716,1234310400000,2009-02-11,
2009-02-12,0.0,10045.579000000023,0.0,2.539958713054742,3955.0166498251738,0.0,0.0,202900.0,0.0,0.0,0.019492442828118153,0.0,0.0,0.0,0.0,294.5845,0.0,0.05049425640614525,198944.9833501748,0.980507557171882,1234396800000,2009-02-12,
2009-02-13,0.0,10352.541000000025,0.0,2.6975372850117907,3837.774942916044,0.0,0.0,209100.0,0.0,0.0,0.01835377782360614,0.0,0.0,0.0,0.0,306.962,0.0,0.050435685363543904,205262.22505708397,0.981646222176394,1234483200000,2009-02-13,
2009-02-14,0.0,10689.209000000026,0.0,2.875818048648499,3716.9281293799017,0.0,0.0,215900.0,0.0,0.0,0.017215970955905057,0.0,0.0,0.0,0.0,336.668,0.0,0.05037729403087272,212183.0718706201,0.982784029044095,1234569600000,2009-02-14,
2009-02-15,0.0,11006.073000000028,0.0,2.879514415547048,3822.197569345769,0.0,0.0,222300.0,0.0,0.0,0.017193871207133463,0.0,0.0,0.0,0.0,316.864,0.0,0.05037616122806527,218477.80243065424,0.9828061287928666,1234656000000,2009-02-15,
2009-02-16,0.0,11308.084000000028,0.0,2.7795375994493456,4068.332805514224,0.0,0.0,228400.0,0.0,0.0,0.017812315260570158,0.0,0.0,0.0,0.0,302.01099999999997,0.0,0.050407881069222435,224331.66719448575,0.98218768473943,1234742400000,2009-02-16,
2009-02-17,0.0,11597.717500000028,0.0,2.923729429940272,3966.7547144528194,0.0,0.0,234250.0,0.0,0.0,0.01693385150246668,0.0,0.0,0.0,0.0,289.63349999999997,0.0,0.050362836799607645,230283.24528554716,0.9830661484975332,1234828800000,2009-02-17,
2009-02-18,0.0,11889.826500000028,0.0,3.0728466340362144,3869.319857458237,0.0,0.0,240150.0,0.0,0.0,0.016112096012734695,0.0,0.0,0.0,0.0,292.109,0.0,0.0503207731280747,236280.68014254177,0.9838879039872652,1234915200000,2009-02-18,
2009-02-19,0.0,12196.78850000003,0.0,3.1285679354650138,3898.521224915374,0.0,0.0,246350.0,0.0,0.0,0.015825131824296224,0.0,0.0,0.0,0.0,306.962,0.0,0.050306100674744274,242451.4787750846,0.9841748681757037,1235001600000,2009-02-19,
2009-02-20,0.0,12498.79950000003,0.0,3.2854062368004935,3804.339128598002,0.0,0.0,252450.0,0.0,0.0,0.015069673712014267,0.0,0.0,0.0,0.0,302.01099999999997,0.0,0.050267515050119185,248645.660871402,0.9849303262879856,1235088000000,2009-02-20,
2009-02-21,0.0,12781.00650000003,0.0,3.435426702852311,3720.354880337986,0.0,0.0,258150.0,0.0,0.0,0.014411601318372984,0.0,0.0,0.0,0.0,282.207,0.0,0.05023395168432097,254429.645119662,0.985588398681627,1235174400000,2009-02-21,
2009-02-22,0.0,13080.54200000003,0.0,3.5113074063327208,3725.2625550269345,0.0,0.0,264200.0,0.0,0.0,0.01410016107126016,0.0,0.0,0.0,0.0,299.5355,0.0,0.05021808305983369,260474.73744497303,0.9858998389287398,1235260800000,2009-02-22,
2009-02-23,0.0,13347.896000000032,0.0,3.656296070617743,3650.660598102183,0.0,0.0,269600.0,0.0,0.0,0.01354102595735231,0.0,0.0,0.0,0.0,267.354,0.0,0.05018961893275822,265949.3394018978,0.9864589740426476,1235347200000,2009-02-23,
2009-02-24,0.0,13610.299000000032,0.0,3.8014519643259104,3580.289617683876,0.0,0.0,274900.0,0.0,0.0,0.013023970962836943,0.0,0.0,0.0,0.0,262.403,0.0,0.05016332569728084,271319.7103823161,0.986976029037163,1235433600000,2009-02-24,
2009-02-25,0.0,13870.226500000032,0.0,3.9480241529380646,3513.207103780762,0.0,0.0,280150.0,0.0,0.0,0.01254045012950477,0.0,0.0,0.0,0.0,259.9275,0.0,0.05013876265260012,276636.79289621924,0.9874595498704952,1235520000000,2009-02-25,
2009-02-26,0.0,14135.105000000032,0.0,4.100240397449562,3447.384453065819,0.0,0.0,285500.0,0.0,0.0,0.012074901762051903,0.0,0.0,0.0,0.0,264.8785,0.0,0.050115135335973934,282052.6155469342,0.987925098237948,1235606400000,2009-02-26,
2009-02-27,0.0,14419.787500000031,0.0,3.834235506088839,3760.798593905131,0.0,0.0,291250.0,0.0,0.0,0.01291261319795753,0.0,0.0,0.0,0.0,284.6825,0.0,0.050157666547034095,287489.2014060949,0.9870873868020424,1235692800000,2009-02-27,
2009-02-28,0.0,14664.862000000034,0.0,3.914494791660345,3746.297486777313,0.0,0.0,296200.0,0.0,0.0,0.012647864573859935,0.0,0.0,0.0,0.0,245.0745,0.0,0.05014421726918296,292453.70251322264,0.98735213542614,1235779200000,2009-02-28,
2009-03-01,0.0,14924.789500000034,0.0,4.054477652379773,3681.063451229023,0.0,0.0,301450.0,0.0,0.0,0.012211190748810824,0.0,0.0,0.0,0.0,259.9275,0.0,0.050122049912199394,297768.936548771,0.9877888092511892,1235865600000,2009-03-01,
2009-03-02,0.0,15192.143500000037,0.0,4.201025544990586,3616.294006618348,0.0,0.0,306850.0,0.0,0.0,0.011785217554565254,0.0,0.0,0.0,0.0,267.354,0.0,0.05010044463965895,303233.7059933816,0.9882147824454348,1235952000000,2009-03-02,
2009-03-03,0.0,15452.071000000034,0.0,4.279140211772536,3611.022363204912,0.0,0.0,312100.0,0.0,0.0,0.011570081266276554,0.0,0.0,0.0,0.0,259.9275,0.0,0.05008954004895696,308488.9776367951,0.9884299187337234,1236038400000,2009-03-03,
2009-03-04,0.0,15709.523000000036,0.0,4.214391534969086,3727.5898239756857,0.0,0.0,317300.0,0.0,0.0,0.01174784060502895,0.0,0.0,0.0,0.0,257.452,0.0,0.050098549777327264,313572.4101760243,0.988252159394971,1236124800000,2009-03-04,
2009-03-05,0.0,15986.779000000037,0.0,4.327902114473054,3693.886455180726,0.0,0.0,322900.0,0.0,0.0,0.011439722685601506,0.0,0.0,0.0,0.0,277.256,0.0,0.05008293488638136,319206.11354481924,0.9885602773143984,1236211200000,2009-03-05,
2009-03-06,0.0,16276.412500000037,0.0,4.486128053575591,3628.164935467503,0.0,0.0,328750.0,0.0,0.0,0.011036243149711036,0.0,0.0,0.0,0.0,289.63349999999997,0.0,0.05006250194413851,325121.83506453247,0.9889637568502888,1236297600000,2009-03-06,
2009-03-07,0.0,16546.24200000004,0.0,4.6360910555483805,3569.007122972235,0.0,0.0,334200.0,0.0,0.0,0.010679255305123384,0.0,0.0,0.0,0.0,269.8295,0.0,0.05004443732277123,330630.9928770278,0.9893207446948766,1236384000000,2009-03-07,
2009-03-08,0.0,16830.924500000037,0.0,4.562096568883251,3689.2959729960417,0.0,0.0,339950.0,0.0,0.0,0.010852466459761852,0.0,0.0,0.0,0.0,284.6825,0.0,0.050053200681600914,336260.70402700396,0.9891475335402382,1236470400000,2009-03-08,
2009-03-09,0.0,17098.278500000037,0.0,4.7081718355007744,3631.617344778033,0.0,0.0,345350.0,0.0,0.0,0.01051575892508479,0.0,0.0,0.0,0.0,267.354,0.0,0.050036168283201225,341718.38265522197,0.9894842410749152,1236556800000,2009-03-09,
2009-03-10,0.0,17363.157000000036,0.0,4.8551645894179805,3576.2241794734846,0.0,0.0,350700.0,0.0,0.0,0.010197388592738764,0.0,0.0,0.0,0.0,264.8785,0.0,0.05002007413337573,347123.7758205265,0.9898026114072612,1236643200000,2009-03-10,
2009-03-11,0.0,17645.364000000038,0.0,5.014259729045183,3519.036698037194,0.0,0.0,356400.0,0.0,0.0,0.00987384034241637,0.0,0.0,0.0,0.0,282.207,0.0,0.0500037288350428,352880.9633019628,0.9901261596575835,1236729600000,2009-03-11,
2009-03-12,0.0,17937.473000000038,0.0,5.156807431960029,3478.406598786308,0.0,0.0,362300.0,0.0,0.0,0.009600901459526103,0.0,0.0,0.0,0.0,292.109,0.0,0.04998994857018927,358821.5934012137,0.990399098540474,1236816000000,2009-03-12,
2009-03-13,0.0,18217.20450000004,0.0,5.19161153849719,3508.9691062042275,0.0,0.0,367950.0,0.0,0.0,0.009536537861677475,0.0,0.0,0.0,0.0,279.7315,0.0,0.049986700057680494,364441.0308937958,0.9904634621383226,1236902400000,2009-03-13,
2009-03-14,0.0,18489.50950000004,0.0,5.347965943575531,3457.2975398639815,0.0,0.0,373450.0,0.0,0.0,0.00925772537117146,0.0,0.0,0.0,0.0,272.305,0.0,0.04997263291156978,369992.702460136,0.9907422746288286,1236988800000,2009-03-14,
2009-03-15,0.0,18793.99600000004,0.0,5.525545646775444,3401.292325033582,0.0,0.0,379600.0,0.0,0.0,0.008960201067001006,0.0,0.0,0.0,0.0,304.4865,0.0,0.049957630413334495,376198.7076749665,0.9910397989329992,1237075200000,2009-03-15,
2009-03-16,0.0,19093.53150000004,0.0,4.871760251697514,3919.2264219790177,0.0,0.0,385650.0,0.0,0.0,0.010162651165510222,0.0,0.0,0.0,0.0,299.5355,0.0,0.05001831872508849,381730.773578021,0.9898373488344898,1237161600000,2009-03-16,
2009-03-17,0.0,19375.738500000043,0.0,5.0168266247698865,3862.1503091884856,0.0,0.0,391350.0,0.0,0.0,0.00986878832039986,0.0,0.0,0.0,0.0,282.207,0.0,0.05000347369720248,387487.84969081153,0.9901312116796002,1237248000000,2009-03-17,
2009-03-18,0.0,19657.945500000045,0.0,5.055709388896256,3888.266509774941,0.0,0.0,397050.0,0.0,0.0,0.009792888829555323,0.0,0.0,0.0,0.0,282.207,0.0,0.04999964092509728,393161.73349022504,0.9902071111704448,1237334400000,2009-03-18,
2009-03-19,0.0,19959.956500000048,0.0,5.2122375675376444,3829.4410493321952,0.0,0.0,403150.0,0.0,0.0,0.009498799576664257,0.0,0.0,0.0,0.0,302.01099999999997,0.0,0.04998479555485624,399320.5589506678,0.9905012004233358,1237420800000,2009-03-19,
2009-03-20,0.0,20252.065500000048,0.0,5.304443664392985,3817.9433662281335,0.0,0.0,409050.0,0.0,0.0,0.009333683819161798,0.0,0.0,0.0,0.0,292.109,0.0,0.04997646451821267,405232.05663377186,0.9906663161808382,1237507200000,2009-03-20,
2009-03-21,0.0,20375.84050000005,0.0,5.369476388594151,3794.7537199870058,0.0,0.0,411550.0,0.0,0.0,0.00922063836711701,0.0,0.0,0.0,0.0,123.775,0.0,0.04997076232835907,407755.246280013,0.990779361632883,1237593600000,2009-03-21,
2009-03-22,0.0,20670.42500000005,0.0,5.376472882514769,3844.606948027933,0.0,0.0,417500.0,0.0,0.0,0.00920863939647409,0.0,0.0,0.0,0.0,294.5845,0.0,0.04997015715785191,413655.3930519721,0.990791360603526,1237680000000,2009-03-22,
2009-03-23,0.0,20992.240000000053,0.0,5.545177034946082,3785.675347731106,0.0,0.0,424000.0,0.0,0.0,0.008928479593705439,0.0,0.0,0.0,0.0,321.815,0.0,0.04995603140700002,420214.32465226896,0.9910715204062946,1237766400000,2009-03-23,
2009-03-24,0.0,21252.167500000058,0.0,5.6833406030261555,3739.379527717221,0.0,0.0,429250.0,0.0,0.0,0.008711425807145536,0.0,0.0,0.0,0.0,259.9275,0.0,0.049945092971855426,425510.6204722828,0.9912885741928544,1237852800000,2009-03-24,
2009-03-25,0.0,21541.801000000058,0.0,5.8392969721372765,3689.1086551666526,0.0,0.0,435100.0,0.0,0.0,0.0084787604117827,0.0,0.0,0.0,0.0,289.63349999999997,0.0,0.04993337310712761,431410.89134483336,0.9915212395882174,1237939200000,2009-03-25,
2009-03-26,0.0,21831.434500000058,0.0,5.765531330299276,3786.543381573616,0.0,0.0,440950.0,0.0,0.0,0.008587239781321275,0.0,0.0,0.0,0.0,289.63349999999997,0.0,0.04993883676570752,437163.4566184264,0.9914127602186787,1238025600000,2009-03-26,
2009-03-27,0.0,22093.837500000056,0.0,5.904953962365627,3741.576588202371,0.0,0.0,446250.0,0.0,0.0,0.008384485351713997,0.0,0.0,0.0,0.0,262.403,0.0,0.04992862583191906,442508.4234117976,0.991615514648286,1238112000000,2009-03-27,
2009-03-28,0.0,22388.422000000057,0.0,5.874101938652145,3811.3778470002585,0.0,0.0,452200.0,0.0,0.0,0.008428522439186773,0.0,0.0,0.0,0.0,294.5845,0.0,0.04993084323259355,448388.6221529998,0.9915714775608132,1238198400000,2009-03-28,
2009-03-29,0.0,22675.580000000056,0.0,6.025744470254475,3763.116758756688,0.0,0.0,458000.0,0.0,0.0,0.008216412137023336,0.0,0.0,0.0,0.0,287.158,0.0,0.049920164646685354,454236.8832412433,0.9917835878629768,1238284800000,2009-03-29,
2009-03-30,0.0,22972.640000000058,0.0,6.1846496549959875,3714.461009354452,0.0,0.0,464000.0,0.0,0.0,0.008005303899470802,0.0,0.0,0.0,0.0,297.06,0.0,0.049909541043536745,460285.5389906455,0.9919946961005291,1238371200000,2009-03-30,
