date,btc_price,median_realized_price,median_mvrv,source
2010-07-17,0.04951,0.0498274616681503,0.9936287810471945,official
2010-07-18,0.08584,0.04983717628376132,1.7224089806221556,official
2010-07-19,0.0808,0.049845142974350595,1.6210205283507404,official
2010-07-20,0.07474,0.049849529032240256,1.4993120587290163,official
2010-07-21,0.07921,0.04985475034461297,1.5888154980713687,official
2010-07-22,0.05446,0.04986008661010256,1.0922564259839336,official
2010-07-23,0.0624138775510204,0.049865019447434794,1.2516565368396975,official
2010-07-24,0.05454,0.04987608186800905,1.0935101146143242,official
2010-07-25,0.0505,0.04988369752833879,1.0123547872791727,official
2010-07-26,0.056,0.04990140829574244,1.1222128174843091,official
2010-07-27,0.06,0.04990647092789036,1.2022489044896347,official
2010-07-28,0.0589,0.04991038753445323,1.1801150604038333,official
2010-07-29,0.0698625662193553,0.04991303582264501,1.3996857748263711,official
2010-07-30,0.0627,0.04991639860219029,1.2561002347082144,official
2010-07-31,0.06785,0.049919963203123405,1.35917568135857,official
2010-08-01,0.0611,0.04992410236741287,1.2238577581293082,official
2010-08-02,0.06010568,0.049927793380536115,1.2038521218410514,official
2010-08-03,0.06,0.049932368980818105,1.201625342932346,official
2010-08-04,0.0572824939363675,0.04993700117695897,1.1470951916671712,official
2010-08-05,0.061,0.04994043731399324,1.2214550628876428,official
2010-08-06,0.0623,0.04994416071315229,1.2473930707898337,official
2010-08-07,0.059,0.049947628278080546,1.181237268595035,official
2010-08-08,0.0609,0.04995114741323062,1.219191212890324,official
2010-08-09,0.0707,0.049956120850390986,1.4152419923022637,official
2010-08-10,0.07,0.04995966885602885,1.401130183663193,official
2010-08-11,0.067,0.049963950435777255,1.3409668253938523,official
2010-08-12,0.07,0.04996727394438124,1.4009169297071773,official
2010-08-13,0.0645,0.049972938298167575,1.290698569997136,official
2010-08-14,0.067,0.049977161535334456,1.3406123505559673,official
2010-08-15,0.06529,0.04998114133824731,1.3062926986430743,official
2010-08-16,0.0655,0.04998513669892744,1.3103895342834078,official
2010-08-17,0.07,0.04998722379266887,1.4003578252382602,official
2010-08-18,0.068,0.04999070065222364,1.360252989312229,official
2010-08-19,0.0667,0.04999271653081882,1.3341943512687833,official
2010-08-20,0.0655,0.04999601477221222,1.3101044212908923,official
2010-08-21,0.0664,0.05000092986979357,1.3279753031175805,official
2010-08-22,0.066,0.050005708732085034,1.3198493066783112,official
2010-08-23,0.06491,0.050008795209174596,1.2979716813511961,official
2010-08-24,0.065,0.05001226015916547,1.2996813140045185,official
2010-08-25,0.0648,0.05001547489961553,1.2955990147061087,official
2010-08-26,0.064,0.05001863473334914,1.279523128553707,official
2010-08-27,0.065,0.050021863740923364,1.2994317911993927,official
2010-08-28,0.0645982546728972,0.050024329995753805,1.291336729115222,official
2010-08-29,0.064,0.050026858480253886,1.2793127920527223,official
2010-08-30,0.06497,0.05002925929005367,1.2986400542795304,official
2010-08-31,0.06,0.05003332207245805,1.1992008028790941,official
2010-09-01,0.0629,0.05003585713661042,1.2570984809607086,official
2010-09-02,0.0634,0.05003822270352362,1.2670314126791609,official
2010-09-03,0.06085,0.05004101700763574,1.2160024643526914,official
2010-09-04,0.06238,0.05004366680871659,1.2465113765231661,official
2010-09-05,0.06163975,0.05004722281383367,1.2316317776370602,official
2010-09-06,0.0616,0.050049576807882835,1.2307796374873237,official
2010-09-07,0.0610028889147648,0.05005295709718999,1.2187669311188318,official
2010-09-08,0.0612664420040746,0.05005545201120573,1.2239714065584526,official
2010-09-09,0.06111,0.050061883944117896,1.2206891787814993,official
2010-09-10,0.0618,0.05006452855423833,1.2344069101349437,official
2010-09-11,0.06366,0.050066887485129836,1.2714990525206384,official
2010-09-12,0.0615,0.05007027382697418,1.2282736901444369,official
2010-09-13,0.0621824198330189,0.05007286978495382,1.241838546503756,official
2010-09-14,0.06199,0.05007610387510239,1.2379157962171483,official
2010-09-15,0.0604,0.050079605544895246,1.206079787227013,official
2010-09-16,0.0618747945205479,0.05008591295312136,1.2353731992159256,official
2010-09-17,0.0597976861530533,0.05009853939404972,1.1936013879110328,official
2010-09-18,0.061,0.050102319553524864,1.2175085014743283,official
2010-09-19,0.0627,0.050105615018119186,1.2513567586652004,official
2010-09-20,0.0621,0.05010876070954888,1.239304247813218,official
2010-09-21,0.06265,0.05011140704215846,1.2502143463521767,official
2010-09-22,0.0622,0.0501144742284899,1.2411583870242326,official
2010-09-23,0.06231,0.05011865309511719,1.2432496915219484,official
2010-09-24,0.0622,0.05012232982442114,1.240963862172549,official
2010-09-25,0.06202,0.050125401773938906,1.237296815688474,official
2010-09-26,0.06202171,0.05012849131881544,1.237254670314016,official
2010-09-27,0.0622009295539808,0.05013850349764609,1.2405820919027035,official
2010-09-28,0.0619,0.05016123909855757,1.234020552769399,official
2010-09-29,0.0619004290909091,0.05016503288336334,1.2339357822176904,official
2010-09-30,0.0619,0.05016724822690999,1.2338727394419153,official
2010-10-01,0.06197,0.050179065745971516,1.2349771578793312,official
2010-10-02,0.0614,0.05022222147307988,1.22256638991789,official
2010-10-03,0.06111,0.05022414785589463,1.2167453826262924,official
2010-10-04,0.0612998286895566,0.05022761902697706,1.2204406634651086,official
2010-10-05,0.0614,0.05024073818959711,1.222115801091345,official
2010-10-06,0.06281,0.050243462781655285,1.250112880813083,official
2010-10-07,0.067,0.0502466848192811,1.3334213041312961,official
2010-10-08,0.0835642648639761,0.050251960485761374,1.6629055673888302,official
2010-10-09,0.0938,0.050256827870312756,1.8664130621624182,official
2010-10-10,0.0965,0.05025977279200696,1.9200245969943348,official
2010-10-11,0.095,0.05026309806046931,1.890054605979713,official
2010-10-12,0.0949,0.05026605307848361,1.887954080099079,official
2010-10-13,0.105,0.05027606990513142,2.088468732701861,official
2010-10-14,0.102,0.0502802602758705,2.0286291168812784,official
2010-10-15,0.105,0.05028494629082991,2.088100072588684,official
2010-10-16,0.101,0.05029641824013283,2.0080952786297903,official
2010-10-17,0.102,0.050301309037066866,2.027780229831326,official
2010-10-18,0.1024,0.05030534944610594,2.0355688038645883,official
