date,btc_price,sth_cost_basis,lth_cost_basis,realized_price,cvdd,active_realized_price,MVRV 0σ,true_market_mean_price,200_dma,50_wma,200_wma,cum_pl_price,pl_price_ratio
2009-01-03,0.04951,0.0,0.0,0.04951,0.0,0.0,,,0.04951,0.04951,0.04951,,
2009-01-09,0.04951,0.0,0.0,0.04951,0.0,0.0,,,0.04951,0.04951,0.04951,,
2009-01-10,0.04951,0.0,0.0,0.04951,0.0,0.0,,,0.04951,0.04951,0.04951,,
2009-01-11,0.04951,0.0,0.0,0.04951,0.0,0.0,,,0.04951,0.04951,0.04951,,
2009-01-12,0.04951,0.0,0.0,0.04951,0.0,8.19135,,,0.04951,0.04951,0.04951,,
2009-01-13,0.04951,0.0,0.0,0.04951,0.0,17.66634,,,0.04951,0.04951,0.04951,,
2009-01-14,0.04951,0.0,0.0,0.04951,0.0,16.38142,,,0.04951,0.04951,0.04951,,
2009-01-15,0.04951,0.0,0.0,0.04951,0.0,4.8267,,,0.04951,0.04951,0.04951,,
2009-01-16,0.04951,0.0,0.0,0.04951,0.0,4.47241,,,0.04951,0.04951,0.04951,,
2009-01-17,0.04951,0.0,0.0,0.04951,0.0,5.86984,,,0.04951,0.04951,0.04951,,
2009-01-18,0.04951,0.0,0.0,0.04951,0.0,6.02366,,,0.04951,0.04951,0.04951,,
2009-01-19,0.04951,0.0,0.0,0.04951,0.0,2.68585,,,0.04951,0.04951,0.04951,,
2009-01-20,0.04951,0.0,0.0,0.04951,0.0,2.4856,,,0.04951,0.04951,0.04951,,
2009-01-21,0.04951,0.0,0.0,0.04951,0.0,2.77357,,,0.04951,0.04951,0.04951,,
2009-01-22,0.04951,0.0,0.0,0.04951,0.0,2.46081,,,0.04951,0.04951,0.04951,,
2009-01-23,0.04951,0.0,0.0,0.04951,0.0,2.37607,,,0.04951,0.04951,0.04951,,
2009-01-24,0.04951,0.0,0.0,0.04951,0.0,2.49304,,,0.04951,0.04951,0.04951,,
2009-01-25,0.04951,0.0,0.0,0.04951,0.0,3.05591,,,0.04951,0.04951,0.04951,,
2009-01-26,0.04951,0.0,0.0,0.04951,0.0,2.55776,,,0.04951,0.04951,0.04951,,
2009-01-27,0.04951,0.0,0.0,0.04951,0.0,2.76095,,,0.04951,0.04951,0.04951,,
2009-01-28,0.04951,0.0,0.0,0.04951,0.0,3.07002,,,0.04951,0.04951,0.04951,,
2009-01-29,0.04951,0.0,0.0,0.04951,0.0,3.14789,,,0.04951,0.04951,0.04951,,
2009-01-30,0.04951,0.0,0.0,0.04951,0.0,3.47799,,,0.04951,0.04951,0.04951,,
2009-01-31,0.04951,0.0,0.0,0.04951,0.0,2.24855,,,0.04951,0.04951,0.04951,,
2009-02-01,0.04951,0.0,0.0,0.04951,0.0,2.4429,,,0.04951,0.04951,0.04951,,
2009-02-02,0.04951,0.0,0.0,0.04951,0.0,2.60862,,,0.04951,0.04951,0.04951,,
2009-02-03,0.04951,0.0,0.0,0.0495,0.0,2.79143,,,0.04951,0.04951,0.04951,,
2009-02-04,0.04951,0.0,0.0,0.0495,0.0,3.0233,,,0.04951,0.04951,0.04951,,
2009-02-05,0.04951,0.0,0.0,0.0495,0.0,3.27889,,,0.04951,0.04951,0.04951,,
2009-02-06,0.04951,0.0,0.0,0.0495,0.0,3.53626,,,0.04951,0.04951,0.04951,,
2009-02-07,0.04951,0.0,0.0,0.0495,0.0,2.81347,,,0.04951,0.04951,0.04951,,
