date,btc_price,mvrv_ratio,sth_mvrv,lth_mvrv,mvrv_zscore
2019-03-19,4067.51783729715,0.9274892441329146,0.993826193172722,0.9026274326388464,-0.11001430168633783
2019-03-20,4108.24444180822,0.9367708765565671,1.004113257312741,0.9115446099445604,-0.095946599706043
2019-03-21,4038.80328748636,0.9213075064843061,0.9884942572474562,0.8961325044943779,-0.11938003100276613
2019-03-22,3978.69285902669,0.9080318036695759,0.9758511599288381,0.8827121588231635,-0.13947490394021803
2019-03-23,4008.88685182307,0.9150565880573748,0.9842238286446805,0.8892890935459814,-0.12882115713773004
2019-03-24,4043.51066246815,0.923043561694148,0.993362707218078,0.8968880999332232,-0.1167147447771962
2019-03-25,3975.24685270955,0.9078852417577444,0.9778471215129725,0.8818796272666182,-0.1396598655678986
2019-03-26,3926.15587743512,0.8971444749686694,0.9692325894325386,0.8705263235964769,-0.15588508268791182
2019-03-27,4032.62436841951,0.9214137889481033,0.9964971494951635,0.8937936897677815,-0.11912805682400214
2019-03-28,4074.5648540129,0.9309787152614082,1.007131884611402,0.902997054290063,-0.10464521363840831
2019-03-29,4087.50882679439,0.9335955006968111,1.0113680470684725,0.9049730089402741,-0.10072847959875054
2019-03-30,4148.41754884706,0.9474533510308437,1.0305567349116407,0.9173282288308212,-0.07972222212494573
2019-03-31,4085.56441538009,0.9341247084363957,1.0150940763191958,0.9046744138397305,-0.09984747678462931
2019-04-01,4130.32266928648,0.9443443954053009,1.025761322648625,0.9146814628904427,-0.08436933130063198
2019-04-02,4896.33847681487,1.1152771406796957,1.1980398480656025,1.0846017027817156,0.17541945653150717
2019-04-03,4970.89219699921,1.1308741143447045,1.2104139784267955,1.101138187488747,0.19940444919147451
2019-04-04,4905.39310746551,1.1152207457352148,1.1962144823989758,1.0853533757508418,0.17568020430829043
2019-04-05,5029.1683539977,1.1431596277324902,1.2214816949648262,1.1139540274514006,0.21832617721558903
2019-04-06,5043.01875984075,1.146071078238784,1.2245861491940844,1.116852704394219,0.222817560326356
2019-04-07,5195.37130124658,1.1802542057100431,1.2594109216757436,1.1507555755912249,0.2750644826563767
2019-04-08,5296.4026152735,1.202120602169133,1.277525969856594,1.1737731413032193,0.3087092360696364
2019-04-09,5192.19663318834,1.1779518556974125,1.2505244911353008,1.1506618060138372,0.27191407351397046
2019-04-10,5317.97501107732,1.2053914896228763,1.276947507872452,1.1783549479002215,0.3141253748485319
2019-04-11,5077.52340805403,1.1510619180143378,1.219814154999782,1.125073661139747,0.23100676740550413
2019-04-12,5123.07284247045,1.1606980634059167,1.230302145518551,1.1343813967413257,0.24589403144429173
2019-04-13,5119.50399990075,1.1596006106921841,1.2308114214449826,1.1328369985451376,0.24427838146813052
2019-04-14,5201.13176951488,1.1790664088945577,1.2471028777989162,1.1531125634383708,0.2738425616877945
2019-04-15,5039.22720703072,1.14277577198052,1.2091366174327256,1.1174682590562905,0.2182717192726625
2019-04-16,5221.81209243586,1.1835002042678884,1.2509005046890467,1.1577906594529084,0.2806930460315395
2019-04-17,5248.34558416109,1.188763810748763,1.2543302383926844,1.1636730150933572,0.28892575977158147
2019-04-18,5302.37529453645,1.200546605303563,1.2662838763337416,1.1754257516330338,0.3070761431415208
2019-04-19,5313.85210520063,1.2003063273983428,1.2579690853924617,1.1781472215125441,0.3074328654667037
2019-04-20,5329.37172331585,1.2036392397331157,1.2615795377053736,1.1814288748370732,0.3125870628145271
