date,btc_price,apparent_demand
2010-07-17,0.04951,-952079.2981491443
2010-07-18,0.08584,8700.036294203717
2010-07-19,0.0808,5599.990222680382
2010-07-20,0.07474,49.76654915045947
2010-07-21,0.07921,6724.989645997062
2010-07-22,0.05446,6149.997445750982
2010-07-23,0.0624138775510204,6549.993922847323
2010-07-24,0.05454,6149.990812577307
2010-07-25,0.0505,10200.027006132528
2010-07-26,0.056,11650.041261144448
2010-07-27,0.06,4999.9861857695505
2010-07-28,0.0589,6450.010263713542
2010-07-29,0.0698625662193553,8350.026315422263
2010-07-30,0.0627,8700.030083594844
2010-07-31,0.06785,9600.031920242589
2010-08-01,0.0611,11450.039407639764
2010-08-02,0.06010568,11600.03972268803
2010-08-03,0.06,11100.040054021403
2010-08-04,0.0572824939363675,8900.001398340333
2010-08-05,0.061,7099.9890660550445
2010-08-06,0.0623,3549.975652682595
2010-08-07,0.059,-950.0899383826181
2010-08-08,0.0609,6449.990001594182
2010-08-09,0.0707,5349.979476676788
2010-08-10,0.07,6199.990659127943
2010-08-11,0.067,8500.001376147382
2010-08-12,0.07,7900.001053268556
2010-08-13,0.0645,7099.9912307476625
2010-08-14,0.067,11150.013744678348
2010-08-15,0.06529,9400.025952493772
2010-08-16,0.0655,6700.018672231585
2010-08-17,0.07,5800.015263054986
2010-08-18,0.068,6350.020613569766
2010-08-19,0.0667,6000.014923650771
2010-08-20,0.0655,8850.024853930343
2010-08-21,0.0664,8250.0263676662
2010-08-22,0.066,10250.033997803926
2010-08-23,0.06491,9900.028723932337
2010-08-24,0.065,10050.029579452239
2010-08-25,0.0648,8400.007342449855
2010-08-26,0.064,6001.4488384295255
2010-08-27,0.065,7500.016884287819
2010-08-28,0.0645982546728972,5499.991292556748
2010-08-29,0.064,4849.986665666103
2010-08-30,0.06497,4099.983115573879
2010-08-31,0.06,5799.988753523678
2010-09-01,0.0629,4549.985305950046
2010-09-02,0.0634,5099.992903571576
2010-09-03,0.06085,5499.994347052649
2010-09-04,0.06238,6549.999932250474
2010-09-05,0.06163975,5399.992643789388
2010-09-06,0.0616,4649.986343427096
2010-09-07,0.0610028889147648,5049.990567095578
2010-09-08,0.0612664420040746,5349.9921178314835
2010-09-09,0.06111,4249.991962243337
2010-09-10,0.0618,5899.99364860449
2010-09-11,0.06366,5149.99196910765
2010-09-12,0.0615,6149.996855955571
2010-09-13,0.0621824198330189,5599.9926841091365
2010-09-14,0.06199,6849.993888284545
2010-09-15,0.0604,6500.004907961935
2010-09-16,0.0618747945205479,8149.002910501324
2010-09-17,0.0597976861530533,15849.983651507646
2010-09-18,0.061,8449.998244397808
2010-09-19,0.0627,7399.997820836492
2010-09-20,0.0621,6649.991259747185
2010-09-21,0.06265,5549.991588213481
2010-09-22,0.0622,6199.998721506447
2010-09-23,0.06231,10250.021719737444
2010-09-24,0.0622,7749.993705324829
2010-09-25,0.06202,5999.981685322244
2010-09-26,0.06202171,6699.991169034969
2010-09-27,0.0622009295539808,8199.998863764107
2010-09-28,0.0619,33965.3179123695
2010-09-29,0.0619004290909091,3399.9687203262
2010-09-30,0.0619,4149.985790137202
2010-10-01,0.06197,4699.988945312332
2010-10-02,0.0614,2499.9862136067823
2010-10-03,0.06111,4750.003615678754
2010-10-04,0.0612998286895566,6100.006231921725
2010-10-05,0.0614,5000.0048337769695
2010-10-06,0.06281,7300.012672259938
2010-10-07,0.067,6400.006685394328
2010-10-08,0.0835642648639761,5549.9991605975665
2010-10-09,0.0938,5249.993872917723
2010-10-10,0.0965,6550.000647233333
2010-10-11,0.095,5749.999384301249
2010-10-12,0.0949,6050.004646379035
2010-10-13,0.105,7250.009731666651
2010-10-14,0.102,8500.011934924405
2010-10-15,0.105,6449.999841833953
2010-10-16,0.101,10750.015521300491
2010-10-17,0.102,11900.023712665774
2010-10-18,0.1024,10100.01158300601
2010-10-19,0.097,8499.990028644912
2010-10-20,0.099,5099.947471041698
2010-10-21,0.107,6000.230904908385
2010-10-22,0.103781247567961,4649.9888438438065
2010-10-23,0.104995,5849.993863390293
2010-10-24,0.11501,8650.01341388654
2010-10-25,0.132,8200.009045833256
2010-10-26,0.1503,10200.015980884898
2010-10-27,0.1877,9000.013881621417
2010-10-28,0.1731,9450.01642946899
2010-10-29,0.19,8450.003390370402
2010-10-30,0.1989,10900.019041005522
2010-10-31,0.1925,8500.021981603466
2010-11-01,0.194901785714286,8600.023838123307
2010-11-02,0.1938,7550.012388751842
2010-11-03,0.1931,8000.011635940056
2010-11-04,0.23,8200.009320053272
2010-11-05,0.26039,9350.014733247459
2010-11-06,0.39,9250.013958601747
2010-11-07,0.34,10300.016173149459
2010-11-08,0.243,11800.018867310137
2010-11-09,0.215686519668737,8750.008626347408
2010-11-10,0.232668329177057,7950.0054450887255
2010-11-11,0.2231,8900.009392038453
2010-11-12,0.2682,6400.002096051816
2010-11-13,0.276,8850.007174716797
2010-11-14,0.27904,10686.773387872614
2010-11-15,0.2682,7336.7589640514925
2010-11-16,0.224119052,7360.003850158304
2010-11-17,0.232562394352193,10050.031457804143
2010-11-18,0.2678,10750.042031917255
2010-11-19,0.276929090909091,5700.0058834250085
2010-11-20,0.28301,2999.959137501195
2010-11-21,0.27675,4799.98878705455
2010-11-22,0.284791867824497,5149.972891977988
2010-11-23,0.28295,4049.964812496677
2010-11-24,0.282951447028169,6399.996650993358
2010-11-25,0.28,6199.985570937395
2010-11-26,0.2844,7250.003887694329
2010-11-27,0.283,7150.017068107147
2010-11-28,0.27,6249.997743524145
2010-11-29,0.2299,8250.018058085814
2010-11-30,0.2082,7850.0134635032155
2010-12-01,0.2275,6749.774913570844
2010-12-02,0.255,6399.983908291906
2010-12-03,0.25105,7100.004836614244
2010-12-04,0.205150841229936,11150.085778367706
2010-12-05,0.19952380952381,9454.37076271139
2010-12-06,0.204,10100.038522593677
2010-12-07,0.233080271333333,9600.025048933923
2010-12-08,0.2388,9500.022961773444
2010-12-09,0.2,8747.016629978083
2010-12-10,0.203990715728007,5049.988759153988
2010-12-11,0.227883815996026,4899.952307258267
2010-12-12,0.219808333069307,4699.950848950073
2010-12-13,0.2299,3149.9372592559084
2010-12-14,0.24669,5049.965352934785
2010-12-15,0.239278625,549.7924484452233
