date,btc_price,lth_supply_btc,sth_supply_btc,pct_lth_in_profit,pct_sth_in_profit,pct_lth_in_loss,pct_sth_in_loss,percent_btc_in_profit,percent_btc_in_loss
2010-07-17,0.04951,1819734.6900000004,1619265.3100000722,100.0,100.0,0.0,0.0,99.99999999997165,0.0
2010-07-18,0.08584,1822233.6700000004,1625366.3300000753,100.0,97.7826574025314,0.0,2.2173425974683725,98.95463684879414,1.0453631511776316
2010-07-19,0.0808,1830933.6700000004,1625366.330000079,100.0,98.22978614304122,0.0,1.7702138569585442,99.16753580415498,0.8324641958163336
2010-07-20,0.07474,1840270.3000000003,1625079.7000000817,100.0,95.00276632586035,0.0,4.997233674138952,97.65654176343031,2.343458236541773
2010-07-21,0.07921,1843444.3000000003,1632255.700000084,100.0,96.65649812097423,0.0,3.343501879025288,98.42982708516284,1.5701729148085326
2010-07-22,0.05446,1876727.5400000003,1607772.4600000863,100.0,92.57442125858962,0.0,7.4255787414093595,96.57378648296839,3.4262135170038945
2010-07-23,0.0624138775510204,1883977.5400000003,1610222.4600000887,100.0,93.63513039061631,0.0,6.364869609382725,97.06689485430192,2.933105145669983
2010-07-24,0.05454,1889277.5400000003,1614372.4600000905,100.0,91.13725527750823,0.0,8.86274472249064,95.91632411910498,4.083675880867106
2010-07-25,0.0505,1895227.5400000003,1619972.4600000915,100.0,87.49501704491863,0.0,12.504982955079763,94.23710514335004,5.762894856622604
2010-07-26,0.056,1889979.1100000003,1637370.8900000937,100.0,90.01048076529509,0.0,9.989519234703716,95.36293591503544,4.63706408493625
2010-07-27,0.06,1896929.1100000003,1638720.8900000951,100.0,94.84238588061143,0.0,5.157614119387693,97.60952300139932,2.3904769985717076
2010-07-28,0.0589,1904329.1100000003,1639270.8900000914,100.0,93.89601434330284,0.0,6.103985656696131,97.17629359970324,2.823706400270927
2010-07-29,0.0698625662193553,1911379.1100000003,1641220.8900000928,100.0,94.86489780178154,0.0,5.135102198217558,97.62769886840813,2.372301131565629
2010-07-30,0.0627,1923129.1100000003,1638570.890000093,100.0,93.62438325753418,0.0,6.375616742464811,97.06687817612638,2.9331218238481793
2010-07-31,0.06785,1934767.5600000003,1637082.4400000938,100.0,93.91266331095638,0.0,6.087336689042661,97.20999706032173,2.790002939653135
2010-08-01,0.0611,1938568.5600000003,1645231.4400000954,100.0,92.17554218390009,0.0,7.824457816098704,96.40799040122533,3.5920095987499505
