date,btc_price,daily_realized_profit_btc,daily_realized_loss_btc,rpl_ratio,sth_pl_ratio,lth_pl_ratio,rrp,rrl,relative_realized_pl
2010-07-17,0.04951,0.0007675217127852959,0.0,,1.0,1.0,2.2318165536065597e-10,0.0,2.2318165536065597e-10
2010-07-18,0.08584,11613.386113699906,0.00017474370922646785,66459537.599999994,37847336.266666666,1.0,0.005795864162556859,8.720891495574985e-11,0.005795864075347944
2010-07-19,0.0808,7923.938069306931,453.31821782178224,17.479857984490163,14.464339030087054,1.0,0.00369450851967989,0.00021135803980547319,0.0034831504798744166
2010-07-20,0.07474,2348.5269735081615,780.5176879850147,3.0089349795148412,2.903406105455626,1.0,0.0010082121120108178,0.00033507274795727934,0.0006731393640535385
2010-07-21,0.07921,3517.4180532761015,213.5558641585658,16.4707163024304,8.42642458866761,1.0,0.001590490872913119,9.656476644421519e-05,0.0014939261064689038
2010-07-22,0.05446,946.9318582445832,9903.168178479618,0.09561908282062122,0.044451083382620105,1.0,0.0002944062401673523,0.0030789485893694497,-0.0027845423492020975
2010-07-23,0.0624138775510204,2286.414922440065,835.8288099846973,2.7355062365963736,2.549962306859676,1.0,0.0008114495443347332,0.00029663596941543487,0.0005148135749192984
2010-07-24,0.05454,2712.3066923359,1056.3576274294096,2.5676026961968885,0.08812414621066807,1.0,0.0008382262609989065,0.0003264626035174679,0.0005117636574814386
2010-07-25,0.0505,295.7479801980198,1927.5510099009898,0.1534319863281912,0.050456545044393585,1.0,8.438468838295789e-05,0.0005499810724111917,-0.0004655963840282338
2010-07-26,0.056,6344.101267857143,2176.057267857143,2.915410987370039,0.9979694517460629,1.0,0.001997195648459297,0.0006850477195535803,0.0013121479289057167
2010-07-27,0.06,2013.5146,498.36258333333336,4.040260379365693,1.6826568875305143,1.0,0.0006768889434833599,0.00016753597043902137,0.0005093529730443385
2010-07-28,0.0589,3474.176943972835,1079.6785908319184,3.217788120903553,3.0294198256102405,1.0,0.0011425817895479248,0.0003550829783121607,0.0007874988112357641
2010-07-29,0.0698625662193553,1863.808145712309,249.78140575611158,7.4617569713421545,7.397609792800953,1.0,0.0007240645539864594,9.703673769694231e-05,0.0006270278162895172
2010-07-30,0.0627,1237.2964593301433,712.3954704944177,1.7368112383862198,1.404725373745749,1.0,0.000429950827586125,0.00024755184563730675,0.00018239898194881828
2010-07-31,0.06785,1494.0406632277084,126.23943994104644,11.834975376359576,7.4348384098947555,1.0,0.000559440875785449,4.7270134326002476e-05,0.0005121707414594465
2010-08-01,0.0611,2440.4622913256953,930.7846153846153,2.6219409420698865,2.1430232055778085,1.0,0.0008192026223406656,0.0003124412946135802,0.0005067613277270854
2010-08-02,0.06010568,191.57823353799506,1665.4643621035484,0.11502992072194451,0.09386054892504252,1.0,6.303624885121791e-05,0.0005479987159479311,-0.0004849624670967132
2010-08-03,0.06,879.3803833333333,1302.3828,0.6752088428481497,0.2389774726754684,1.0,0.00028781744993036645,0.0004262643372920025,-0.00013844688736163607
2010-08-04,0.0572824939363675,508.1156213682433,477.4251280047226,1.0642833641617981,0.18324467270160102,1.0,0.00015814553159910848,0.00014859344505836544,9.552086540743043e-06
2010-08-05,0.061,980.1560163934425,1037.9086229508198,0.9443567523380005,0.8626903034800784,1.0,0.0003237582111260757,0.0003428346441368986,-1.9076433010822868e-05
2010-08-06,0.0623,1370.388892455859,162.13455858747992,8.45217024917278,2.968123399475081,1.0,0.00046091683480166065,5.453236520487397e-05,0.00040638446959678667
2010-08-07,0.059,782.855966101695,720.1788474576272,1.087029935501897,0.24949063970738725,1.0,0.00024873090350847204,0.00022881697677776418,1.9913926730707863e-05
2010-08-08,0.0609,539.9980952380952,37.5431855500821,14.383385089092801,4.420033668929193,1.0,0.00017650862018010806,1.2271702320892315e-05,0.00016423691785921575
2010-08-09,0.0707,8288.845572842998,178.84509193776523,46.3465084953372,41.29265455205756,1.0,0.0031243305599620245,6.741242569062901e-05,0.0030569181342713953
2010-08-10,0.07,1721.5510285714283,294.6818714285714,5.842066294155183,3.6534973720570623,1.0,0.0006398127729868324,0.00010951823220954312,0.0005302945407772893
2010-08-11,0.067,1286.5271044776118,1277.6419999999998,1.0069542989958158,0.5533691415251047,1.0,0.00045575401825966597,0.0004526064576258985,3.147560633767494e-06
2010-08-12,0.07,714.4245,58.96298571428571,12.116491241842038,9.912309150849843,1.0,0.00026333410585816517,2.1733528345961254e-05,0.0002416005775122039
2010-08-13,0.0645,2086.9656899224806,1040.3862170542636,2.005952843004292,0.31167497281495493,1.0,0.000705926961596675,0.0003519160303586282,0.0003540109312380468
