date,cdd,vdd_30d_ma,vdd_365d_ma,vdd_multiple
2009-01-03,0.0,0.0,0.0,0.0
2009-01-09,0.0,0.0,0.0,0.0
2009-01-10,0.0,0.0,0.0,0.0
2009-01-11,0.0,0.0,0.0,0.0
2009-01-12,170.1478009,0.7020014685465833,0.7020014685465833,0.0
2009-01-13,0.0,0.6480013555814614,0.6480013555814614,0.0
2009-01-14,76.67424767,0.8728685446214784,0.8728685446214784,0.0
2009-01-15,679.2615740299999,3.056693343661733,3.056693343661733,0.0
2009-01-16,408.68171293000023,4.130264485130644,4.130264485130644,0.0
2009-01-17,0.0,3.887307750711194,3.887307750711194,0.0
2009-01-18,336.0804398,4.595754129810461,4.595754129810461,0.0
2009-01-19,3080.10648142,12.379981380615394,12.379981380615394,0.0
2009-01-20,1507.1290508800002,15.491880277038064,15.491880277038064,0.0
2009-01-21,352.49016202999974,15.585209212517455,15.585209212517455,0.0
2009-01-22,1967.4814814600004,19.30451825499778,19.30451825499778,0.0
2009-01-23,1635.0717592199999,21.98486106125797,21.98486106125797,0.0
2009-01-24,2365.342013829999,25.94832864640236,25.94832864640236,0.0
2009-01-25,88.84606481000083,25.086346247295992,25.086346247295992,0.0
2009-01-26,3058.690393429999,29.945939136966118,29.945939136966118,0.0
2009-01-27,281.22800925000047,29.35251912218839,29.35251912218839,0.0
2009-01-28,0.0,28.30421486782452,28.30421486782452,0.0
2009-01-29,1498.5266203299998,29.886554112814647,29.886554112814647,0.0
2009-01-30,0.0,28.89033564238749,28.89033564238749,0.0
2009-01-31,12310.698495290002,49.20709172578109,47.619766186239765,0.0
2009-02-01,115.0966435099981,49.39703955312042,46.309724581050396,0.0
2009-02-02,868.1099537000009,50.829710346709994,46.20882758791817,0.0
2009-02-03,881.1507290199988,52.28390276650266,46.13285538220823,0.0
2009-02-04,0.0,52.28390276650266,44.814773799859424,0.0
2009-02-05,0.0,52.28390276650266,43.56991897208555,0.0
2009-02-06,0.0,52.28390276650266,42.39235359446162,0.0
2009-02-07,10986.84490728,70.4158591451504,55.59146774617138,0.0
2009-02-08,7863.287037030001,83.39290385192892,64.14838757840687,0.0
2009-02-09,13623.140046070002,105.87562597462644,79.40671948096983,0.0
2009-02-10,0.0,105.87562597462644,77.46997022533643,0.0
2009-02-11,1198.4147545799933,107.57260920384967,77.03814985090592,0.0
2009-02-12,0.0,107.57260920384967,75.2465649706523,0.0
2009-02-13,0.0,107.44607113711162,73.53641576677384,0.0
2009-02-14,0.0,106.32506311943743,71.90227319417886,0.0
2009-02-15,3699.9016203000065,111.7566730399004,74.32140049911092,0.0
2009-02-16,6324.310763720001,122.19389390362632,79.40214997597616,0.0
2009-02-17,0.0,121.63924915114305,77.74793851814333,0.0
2009-02-18,0.0,116.55604675463957,76.16124589532407,0.0
2009-02-19,2564.7228008399834,118.30142897332352,77.17760949480935,0.0
2009-02-20,0.0,117.71970270925335,75.66432303412681,0.0
2009-02-21,0.0,114.47270243768386,74.20923989885513,0.0
