date,btc_price,sth_rup,sth_rul,sth_nupl,lth_rup,lth_rul,lth_nupl
2010-07-17,0.04951,1.5111747348499155e-08,0.0,1.5111747348499155e-08,1.6985298613237294e-08,0.0,1.6985298613237294e-08
2010-07-18,0.08584,0.19510658641120687,0.010453631719249405,0.18465295469195747,0.2236984128855472,0.0,0.2236984128855472
2010-07-19,0.0808,0.17480472677529882,0.00884390197710423,0.1659608247981946,0.2051423868682329,0.0,0.2051423868682329
2010-07-20,0.07474,0.1503931293636274,0.0252948146241043,0.1250983147395231,0.17926631723175226,0.0,0.17926631723175226
2010-07-21,0.07921,0.16556957600448052,0.01644559614695274,0.1491239798575278,0.19886767448355722,0.0,0.19886767448355722
2010-07-22,0.05446,0.03882422752310519,0.04514206285355739,-0.006317835330452201,0.048954031117397455,0.0,0.048954031117397455
2010-07-23,0.0624138775510204,0.08842470668408904,0.035647035415960905,0.052777671268128136,0.11147233125979515,0.0,0.11147233125979515
2010-07-24,0.05454,0.03787731399353551,0.05196664680001505,-0.014089332806479546,0.04973109648955277,0.0,0.04973109648955277
2010-07-25,0.0505,0.007904700609967688,0.07305069825189163,-0.06514599764192394,0.010569533815238601,0.0,0.010569533815238601
2010-07-26,0.056,0.04653949552881664,0.05556881123324066,-0.009029315704424015,0.06209622879073525,0.0,0.06209622879073525
2010-07-27,0.06,0.07164763607823173,0.030680974200877724,0.040966661877354,0.09380071263652606,0.0,0.09380071263652606
2010-07-28,0.0589,0.06344490380898556,0.03539691050663373,0.028047993302351824,0.08567823063593352,0.0,0.08567823063593352
2010-07-29,0.0698625662193553,0.1214666534586774,0.026479924797287845,0.09498672866138955,0.15673832444544403,0.0,0.15673832444544403
2010-07-30,0.0627,0.08401897777520446,0.0348982917723061,0.049120686002898366,0.11358694328582317,0.0,0.11358694328582317
2010-07-31,0.06785,0.10925099076481415,0.031303478150079396,0.07794751261473476,0.14641484147169823,0.0,0.14641484147169823
2010-08-01,0.0611,0.0728908952716758,0.04274924168213224,0.030141653589543564,0.10260763676131608,0.0,0.10260763676131608
2010-08-02,0.06010568,0.06667740567445199,0.06780538392130434,-0.0011279782468523458,0.09551861927660651,0.0,0.09551861927660651
2010-08-03,0.06,0.06531054944902627,0.06303881848129923,0.002271730967727037,0.09476642087000717,0.0,0.09476642087000717
2010-08-04,0.0572824939363675,0.04957363979092264,0.08076921141792123,-0.03119557162699859,0.07347881853300005,0.0,0.07347881853300005
2010-08-05,0.061,0.0697976518040554,0.049074283600280516,0.020723368203774878,0.10221061703792714,0.0,0.10221061703792714
2010-08-06,0.0623,0.07637921066682693,0.04015787397712073,0.0362213366897062,0.11152561793825627,0.0,0.11152561793825627
2010-08-07,0.059,0.05757362806434485,0.08822783038851843,-0.030654202324173582,0.0872901640516537,0.0,0.0872901640516537
2010-08-08,0.0609,0.0664642270277839,0.05019202673059707,0.01627220029718683,0.10256720278841798,0.0,0.10256720278841798
2010-08-09,0.0707,0.11345388013607387,0.01711545742507103,0.09633842271100283,0.16478737210657482,0.0,0.16478737210657482
2010-08-10,0.07,0.10944203870019595,0.038755819414637176,0.07068621928555877,0.1607207562128705,0.0,0.1607207562128705
2010-08-11,0.067,0.09490688354054526,0.049814404449855014,0.045092479090690245,0.143208268572899,0.0,0.143208268572899
2010-08-12,0.07,0.10776140048612155,0.03737467088641835,0.07038672959970321,0.160637295656979,0.0,0.160637295656979
2010-08-13,0.0645,0.08101233566007512,0.051659127943827016,0.02935320771624811,0.12748302902327338,0.0,0.12748302902327338
2010-08-14,0.067,0.09240151444994443,0.05461447820547422,0.03778703624447021,0.14294120804206387,0.0,0.14294120804206387
2010-08-15,0.06529,0.08356975686400339,0.054263961304549566,0.029305795559453826,0.13227442389582497,0.0,0.13227442389582497
2010-08-16,0.0655,0.08355246252511424,0.049364409296180516,0.03418805322893372,0.1335839419476611,0.0,0.1335839419476611
2010-08-17,0.07,0.10394221266964011,0.03965720741239353,0.06428500525724659,0.1602338371264199,0.0,0.1602338371264199
2010-08-18,0.068,0.09393123220206136,0.0485678417447192,0.045363390457342154,0.14881449198965394,0.0,0.14881449198965394
2010-08-19,0.0667,0.08733902895994977,0.05887936646028254,0.028459662499667235,0.14109306975028812,0.0,0.14109306975028812
2010-08-20,0.0655,0.08112262179075475,0.0617894133283265,0.019333208462428246,0.1336129319365259,0.0,0.1336129319365259
2010-08-21,0.0664,0.0841140850519389,0.05695725325890928,0.02715683179302962,0.13942010578348654,0.0,0.13942010578348654
2010-08-22,0.066,0.08131103321802158,0.06607390963607006,0.01523712358195152,0.1369471244538891,0.0,0.1369471244538891
2010-08-23,0.06491,0.07579375234518106,0.09246611058342144,-0.016672358238240384,0.1300028118569889,0.0,0.1300028118569889
2010-08-24,0.065,0.0754521775618562,0.08497117771430705,-0.009519000152450857,0.13064779008625085,0.0,0.13064779008625085
2010-08-25,0.0648,0.07390980391800442,0.09929894148328793,-0.025389137565283507,0.12940728246329317,0.0,0.12940728246329317
2010-08-26,0.064,0.06984978452889044,0.10782258129723168,-0.03797279676834124,0.1241423172321417,0.0,0.1241423172321417
2010-08-27,0.065,0.07355768429762664,0.08217870608789034,-0.008621021790263694,0.130715365261399,0.0,0.130715365261399
2010-08-28,0.0645982546728972,0.0711297913114986,0.10431607362004337,-0.03318628230854477,0.1283194788030904,0.0,0.1283194788030904
2010-08-29,0.064,0.06804207173074431,0.11602701160529046,-0.04798493987454615,0.12442753850735865,0.0,0.12442753850735865
2010-08-30,0.06497,0.07178648569361416,0.0952999684972627,-0.02351348280364854,0.13084617549560248,0.0,0.13084617549560248
2010-08-31,0.06,0.04924868158323973,0.15099061655025198,-0.10174193496701225,0.09623324365314018,0.0,0.09623324365314018
2010-09-01,0.0629,0.061840335434459,0.11018964589364827,-0.04834931045918927,0.11724404937327787,0.0,0.11724404937327787
2010-09-02,0.0634,0.0635210776104095,0.11417651584941674,-0.05065543823900724,0.120753311106173,0.0,0.120753311106173
2010-09-03,0.06085,0.05189614863474912,0.1363846110930516,-0.0844884624583025,0.10267451446270862,0.0,0.10267451446270862
2010-09-04,0.06238,0.05830511541050651,0.1279501883831523,-0.0696450729726458,0.11368856927811671,0.0,0.11368856927811671
2010-09-05,0.06163975,0.05429627224883945,0.12680605410227505,-0.0725097818534356,0.10836103495884103,0.0,0.10836103495884103
2010-09-06,0.0616,0.053676342604535736,0.12940563690077422,-0.07572929429623848,0.10816569724930448,0.0,0.10816569724930448
2010-09-07,0.0610028889147648,0.05052036893092237,0.14921166654926188,-0.0986912976183395,0.10402371924531478,0.0,0.10402371924531478
2010-09-08,0.0612664420040746,0.05108188112209458,0.1440210162285038,-0.09293913510640922,0.10616070741796663,0.0,0.10616070741796663
2010-09-09,0.06111,0.04929205792665834,0.1553085423986947,-0.10601648447203638,0.10529138196389833,0.0,0.10529138196389833
2010-09-10,0.0618,0.0519390260582241,0.11576621688041705,-0.06382719082219296,0.11029102425623048,0.0,0.11029102425623048
2010-09-11,0.06366,0.060240625397749596,0.09470539776212732,-0.03446477236437772,0.12325947378649463,0.0,0.12325947378649463
2010-09-12,0.0615,0.04981194729617052,0.15065023180888165,-0.10083828451271112,0.10811917186775635,0.0,0.10811917186775635
2010-09-13,0.0621824198330189,0.05213441446566956,0.11363105116730841,-0.06149663670163885,0.11326094916929456,0.0,0.11326094916929456
2010-09-14,0.06199,0.050845859447555965,0.1368722999444336,-0.08602644049687763,0.11186767607644688,0.0,0.11186767607644688
2010-09-15,0.0604,0.04402624244767138,0.18548857615686956,-0.1414623337091982,0.10021721175494823,0.0,0.10021721175494823
2010-09-16,0.0618747945205479,0.0491454033605593,0.13821777090170295,-0.08907236754114364,0.11105533255900728,0.0,0.11105533255900728
2010-09-17,0.0597976861530533,0.04060384761862627,0.20053156358768423,-0.15992771596905797,0.09462672161741313,0.0,0.09462672161741313
2010-09-18,0.061,0.04475770395413131,0.17710488822504863,-0.13234718427091732,0.10363533867817383,0.0,0.10363533867817383
2010-09-19,0.0627,0.05186779106621259,0.10522671213376229,-0.053358921067549706,0.11570663499685298,0.0,0.11570663499685298
2010-09-20,0.0621,0.04840955112733838,0.1343474076025671,-0.08593785647522872,0.1116713596332683,0.0,0.1116713596332683
2010-09-21,0.06265,0.050591145297640916,0.10539987556213934,-0.05480873026449842,0.11556887916493609,0.0,0.11556887916493609
2010-09-22,0.0622,0.04786379504123819,0.11062422770092532,-0.06276043265968714,0.11253666326273404,0.0,0.11253666326273404
2010-09-23,0.06231,0.047824665712305856,0.10562339021721898,-0.05779872450491312,0.11323827944788495,0.0,0.11323827944788495
2010-09-24,0.0622,0.046410858532884285,0.1261685563119421,-0.0797576977790578,0.11288963847142032,0.0,0.11288963847142032
2010-09-25,0.06202,0.04511527526651018,0.15368657219726084,-0.10857129693075065,0.1115172483130745,0.0,0.1115172483130745
2010-09-26,0.06202171,0.044405033601551465,0.14340350374421307,-0.09899847014266161,0.11181782192438434,0.0,0.11181782192438434
2010-09-27,0.0622009295539808,0.04476721413987503,0.13146346396082859,-0.08669624982095356,0.1122307591631647,0.0,0.1122307591631647
2010-09-28,0.0619,0.04312385225174055,0.1813074654062905,-0.13818361315454997,0.10772549115080626,0.0,0.10772549115080626
2010-09-29,0.0619004290909091,0.042618931780851785,0.16727672477752653,-0.12465779299667475,0.10772358716569398,0.0,0.10772358716569398
2010-09-30,0.0619,0.042229572999812635,0.18735142511365574,-0.1451218521138431,0.10783980949615891,0.0,0.10783980949615891
2010-10-01,0.06197,0.04212750318195702,0.15057987153808186,-0.10845236835612485,0.10721434607495811,0.0,0.10721434607495811
2010-10-02,0.0614,0.03495612389744508,0.24439877642794353,-0.20944265253049843,0.10357737488205425,0.0,0.10357737488205425
2010-10-03,0.06111,0.03372082436731111,0.2551573024489724,-0.22143647808166128,0.10163488173392397,0.0,0.10163488173392397
2010-10-04,0.0612998286895566,0.034069440284967514,0.22366093681187646,-0.18959149652690893,0.10287291026551844,0.0,0.10287291026551844
2010-10-05,0.0614,0.033909394095844425,0.2428049000619941,-0.20889550596614967,0.10255608222363898,0.0,0.10255608222363898
2010-10-06,0.06281,0.04047394199821377,0.07062330462968953,-0.030149362631475767,0.11209322607737354,0.0,0.11209322607737354
2010-10-07,0.067,0.0626991662555483,0.05496660604152034,0.007732560214027968,0.1380339000036965,0.0,0.1380339000036965
2010-10-08,0.0835642648639761,0.13589672622015378,0.02654965754606652,0.10934706867408726,0.2152623932178737,0.0,0.2152623932178737
2010-10-09,0.0938,0.1642151496741202,0.02920168954843456,0.13501346012568566,0.24911973127539408,0.0,0.24911973127539408
2010-10-10,0.0965,0.1686756293557413,0.01787234212666963,0.15080328722907166,0.25664679261767515,0.0,0.25664679261767515
2010-10-11,0.095,0.16089230902217438,0.015524947678117346,0.14536736134405703,0.25220853949591643,0.0,0.25220853949591643
2010-10-12,0.0949,0.15911092062851806,0.020421545399812776,0.13868937522870528,0.2519101569783942,0.0,0.2519101569783942
2010-10-13,0.105,0.1875113408636935,0.0,0.1875113408636935,0.27614720002421195,0.0,0.27614720002421195
2010-10-14,0.102,0.17586391367659088,0.004877295715853532,0.17098661796073736,0.2696006783675088,0.0,0.2696006783675088
2010-10-15,0.105,0.17865628282632154,0.0,0.17865628282632154,0.27624876207437954,0.0,0.27624876207437954
2010-10-16,0.101,0.16606941972730985,0.051827213683916865,0.11424220604339298,0.2642735698549295,0.0,0.2642735698549295
2010-10-17,0.102,0.1678823725686562,0.013027113532046726,0.1548552590366095,0.2660309796660589,0.0,0.2660309796660589
2010-10-18,0.1024,0.16752605568035686,0.012169100243982444,0.15535695543637443,0.26648538471820465,0.0,0.26648538471820465
2010-10-19,0.097,0.1517739565804642,0.0673971276523754,0.08437682892808879,0.2522463147746272,0.0,0.2522463147746272
2010-10-20,0.099,0.15570540592378548,0.05067206940310157,0.10503333652068392,0.2571088151018395,0.0,0.2571088151018395
2010-10-21,0.107,0.17221638997608688,0.02301452705570289,0.14920186292038398,0.27630510813659637,0.0,0.27630510813659637
2010-10-22,0.103781247567961,0.16231750142472653,0.026699633008487333,0.1356178684162392,0.2688758053040654,0.0,0.2688758053040654
2010-10-23,0.104995,0.16126517951007188,0.02600831057135032,0.13525686893872158,0.27442171593128467,0.0,0.27442171593128467
2010-10-24,0.11501,0.18418617211987076,0.016611831205619713,0.16757434091425105,0.2954357204459302,0.0,0.2954357204459302
2010-10-25,0.132,0.21831251679944963,0.0,0.21831251679944963,0.32425516856722447,0.0,0.32425516856722447
2010-10-26,0.1503,0.245100631461878,0.0,0.245100631461878,0.347730612077518,0.0,0.347730612077518
2010-10-27,0.1877,0.2841186861222149,0.020238362101556565,0.26388032402065836,0.38129511910464475,0.0,0.38129511910464475
2010-10-28,0.1731,0.25985662958766553,0.019170210879334865,0.24068641870833066,0.3687741602354338,0.0,0.3687741602354338
2010-10-29,0.19,0.2739695507104448,0.0,0.2739695507104448,0.3825872529638061,0.0,0.3825872529638061
2010-10-30,0.1989,0.27938543213297046,0.0,0.27938543213297046,0.38871009193733463,0.0,0.38871009193733463
2010-10-31,0.1925,0.26870882394871054,0.007495178638377585,0.261213645310333,0.38443848397336294,0.0,0.38443848397336294
2010-11-01,0.194901785714286,0.2694692031604869,0.006673380105630626,0.26279582305485627,0.3855784014566444,0.0,0.3855784014566444
2010-11-02,0.1938,0.2648558655778429,0.02330590485426039,0.2415499607235825,0.3847237300156683,0.0,0.3847237300156683
2010-11-03,0.1931,0.26174698220014075,0.028335296358242824,0.23341168584189792,0.3840153328219753,0.0,0.3840153328219753
2010-11-04,0.23,0.28543909684131796,0.025596629331540596,0.25984246750977735,0.40487486662291533,0.0,0.40487486662291533
2010-11-05,0.26039,0.3048892714648168,0.009070212808595018,0.2958190586562218,0.4169495569235178,0.0,0.4169495569235178
