date,btc_price,rhodl_ratio,realized_cap_1w,realized_cap_1_2y
2010-07-17,0.04951,0.36914888467091295,10.313040127942621,27.937346030820166
2010-07-18,0.08584,0.3680593740173614,10.177812876711888,27.65263866430366
2010-07-19,0.0808,0.30250922099178107,8.328902108348544,27.53272141934091
2010-07-20,0.07474,0.30828860480449083,8.528238096644056,27.66316355433396
2010-07-21,0.07921,0.2695189045776717,7.437328096326588,27.594829045408392
2010-07-22,0.05446,0.18944436735413187,5.242127887443869,27.671067557499146
2010-07-23,0.0624138775510204,0.18422720069482887,5.09392721176877,27.650244874571083
2010-07-24,0.05454,0.1891391198426343,5.229303593295185,27.64792179241407
2010-07-25,0.0505,0.19188208731321493,5.2973733819596625,27.607440882757334
2010-07-26,0.056,0.18100619063895068,4.97396660778348,27.47953862917843
2010-07-27,0.06,0.23507130978173263,6.45985574697465,27.480409042569793
2010-07-28,0.0589,0.17790684780576468,4.879697323202773,27.428383917691207
2010-07-29,0.0698625662193553,0.22284247864948625,6.09099335541279,27.333178989601194
2010-07-30,0.0627,0.216630011927022,5.903760386080846,27.25273536000033
2010-07-31,0.06785,0.19398652213908915,5.2667796933452395,27.150235156898873
2010-08-01,0.0611,0.12595276954640366,3.405911208470252,27.041177583756443
2010-08-02,0.06010568,0.12225072605713198,3.295902135711379,26.960184548687998
2010-08-03,0.06,0.17609193601446588,4.731682276664235,26.870522204239546
2010-08-04,0.0572824939363675,0.19358771839935832,5.1990071300852,26.85607936842358
2010-08-05,0.061,0.1887532404993375,5.0702469504654335,26.86177433061463
2010-08-06,0.0623,0.20031794400519518,5.385753111512784,26.886024306305313
2010-08-07,0.059,0.1992400204332768,5.389692509431492,27.051254550721342
2010-08-08,0.0609,0.1988534190196747,5.379350683463017,27.051839037933668
2010-08-09,0.0707,0.10795920333426469,2.912935537426238,26.981817644644607
2010-08-10,0.07,0.15583787174710145,4.201358029593309,26.959801122100817
2010-08-11,0.067,0.14110607981864134,3.800115044306765,26.9309093498375
2010-08-12,0.07,0.1667384263522171,4.484197936874973,26.89360835997447
2010-08-13,0.0645,0.16391751377853409,4.406277470443865,26.881065780421153
2010-08-14,0.067,0.18449627516055053,4.948471507415512,26.821525275289716
2010-08-15,0.06529,0.19030656155279077,5.090122778394305,26.746964144913687
2010-08-16,0.0655,0.13772296004926443,3.6746688882589993,26.68159969074543
2010-08-17,0.07,0.16076418351068122,4.279467850253077,26.61953525219595
2010-08-18,0.068,0.1493937559463676,3.966589297104854,26.551238851835684
2010-08-19,0.0667,0.16334161063808472,4.329733097938922,26.507226670687682
2010-08-20,0.0655,0.14871321305775195,3.932281819497754,26.44204733825954
2010-08-21,0.0664,0.1433738010620413,3.779476195326544,26.36099599320153
2010-08-22,0.066,0.1733018069203215,4.551784596775144,26.26507292487669
2010-08-23,0.06491,0.14750551786821367,3.8636164630692313,26.19303005682211
2010-08-24,0.065,0.14723790355520863,3.8452098402361314,26.115624763662325
2010-08-25,0.0648,0.14082297277505426,3.6730521279370056,26.082762318930815
2010-08-26,0.064,0.1353523437711767,3.5336456630243926,26.10701495497031
2010-08-27,0.065,0.123803658196309,3.2254794252842527,26.053183502621373
2010-08-28,0.0645982546728972,0.1154520492448207,3.0082846709287154,26.056572322501847
2010-08-29,0.064,0.12431611575693978,3.2409558891966888,26.070279540693956
2010-08-30,0.06497,0.11738405201680428,3.0623522192495596,26.088315802994806
2010-08-31,0.06,0.10974032422459275,2.865646374764282,26.11297528973486
2010-09-01,0.0629,0.13223581812835727,3.4554489939460478,26.130960906461432
2010-09-02,0.0634,0.13424284320401805,3.507972690287428,26.131543451862992
2010-09-03,0.06085,0.12892341277206817,3.3698561397664104,26.138434185916186
2010-09-04,0.06238,0.1307174806212239,3.415417235512271,26.12823640174815
2010-09-05,0.06163975,0.13874388870299736,3.624253816775243,26.121898778068097
2010-09-06,0.0616,0.1491974970519458,3.901448409160441,26.149556703368027
2010-09-07,0.0610028889147648,0.20119704118720572,5.263270962226301,26.159783121905058
2010-09-08,0.0612664420040746,0.18848928053603575,4.932059211672443,26.166258355097927
2010-09-09,0.06111,0.18634631554367942,4.874948187078417,26.16068996510818
2010-09-10,0.0618,0.19656138879698773,5.142337226866695,26.16148195909318
2010-09-11,0.06366,0.1942254681762988,5.082060585101219,26.16577852956042
2010-09-12,0.0615,0.1760096302259744,4.604514682559956,26.16058380810376
2010-09-13,0.0621824198330189,0.11215547750130342,2.933910891376592,26.15931880226265
2010-09-14,0.06199,0.16919152040198276,4.4258747923891,26.158963415386587
2010-09-15,0.0604,0.1746230430184023,4.568150975898865,26.160069696056432
2010-09-16,0.0618747945205479,0.17577774763263193,4.5933386372125895,26.131513795548646
2010-09-17,0.0597976861530533,0.18921476636399048,4.90096705515632,25.901609844383817
2010-09-18,0.061,0.2255496564093906,5.84040900240679,25.89411615775633
2010-09-19,0.0627,0.22314708598721822,5.774852751186363,25.87913136144267
2010-09-20,0.0621,0.17723356516024646,4.588007253556485,25.886785324259655
2010-09-21,0.06265,0.18936698689107825,4.9028149589011125,25.89054744648367
2010-09-22,0.0622,0.1688223453177008,4.369155046674935,25.88019399003596
2010-09-23,0.06231,0.1599546715715586,4.130434231617905,25.822529539376916
2010-09-24,0.0622,0.20445409417304336,5.279060092122501,25.82027087045992
2010-09-25,0.06202,0.18847212476533298,4.869462801212173,25.83651458949248
2010-09-26,0.06202171,0.19052721512393253,4.92348094072716,25.841352572778515
2010-09-27,0.0622009295539808,0.19420472639595,5.011649257521627,25.80601075230135
2010-09-28,0.0619,0.20545988881013963,5.163476320355382,25.131310788972648
2010-09-29,0.0619004290909091,0.2561803353736306,6.4498940324195315,25.177162888059197
2010-09-30,0.0619,0.20534286045919745,5.174560293399464,25.199611429527508
2010-10-01,0.06197,0.2206451473086661,5.555586922571521,25.17883121535263
2010-10-02,0.0614,0.22979649371211272,5.762185243110477,25.075166074245235
2010-10-03,0.06111,0.3685253260918386,9.237256767335182,25.06545985670794
2010-10-04,0.0612998286895566,0.35293579248067164,8.842098073835222,25.05299338354711
2010-10-05,0.0614,0.3272944854527408,8.184716225673066,25.00719257261939
2010-10-06,0.06281,0.3830974707027007,9.563685993169894,24.96410632946127
2010-10-07,0.067,0.38537592204471166,9.593416593207278,24.89365848885142
2010-10-08,0.0835642648639761,0.378040122823923,9.322250233365938,24.659420179344018
2010-10-09,0.0938,0.26095718852249344,6.343794965593924,24.309715327298274
2010-10-10,0.0965,0.3880518092658584,9.360311237110954,24.121292604766868
2010-10-11,0.095,0.44822998877115017,10.749968621942212,23.98315349540513
2010-10-12,0.0949,0.443742449367387,10.612051538792892,23.914889264981888
2010-10-13,0.105,0.4899813531740271,11.626748928393203,23.728962037181283
2010-10-14,0.102,0.43095066684854144,10.170282706342936,23.599644898373725
2010-10-15,0.105,0.4695873080863749,10.954311566531247,23.327529040704682
2010-10-16,0.101,0.3922743080954866,9.081615007936643,23.15118482275422
2010-10-17,0.102,0.46858728462105703,10.796588847502369,23.040720911224657
2010-10-18,0.1024,0.4469818075807477,10.252772543845797,22.93778487168882
2010-10-19,0.097,0.40395065828324406,9.255685857954392,22.912911931596472
2010-10-20,0.099,0.42523626238963796,9.746702584635422,22.920675978721345
