date,btc_price,supply_0-1d,realized_cap_0-1d,supply_1d-1w,realized_cap_1d-1w,supply_1w-1m,realized_cap_1w-1m,supply_1m-3m,realized_cap_1m-3m,supply_3m-6m,realized_cap_3m-6m,supply_6m-12m,realized_cap_6m-12m,supply_1y-2y,realized_cap_1y-2y,supply_2y-3y,realized_cap_2y-3y,supply_3y-5y,realized_cap_3y-5y,supply_5y-7y,realized_cap_5y-7y,supply_7y-10y,realized_cap_7y-10y,supply_10y+,realized_cap_10y+
2009-01-28,,5.166051660516605,5.166051660516605,36.34686346863469,36.34686346863469,58.487084870848705,58.487084870848705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-29,,5.854084753167322,5.854084753167322,34.60026212319791,34.60026212319791,59.54565312363478,59.54565312363478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-30,,4.904405652535329,4.904405652535329,34.91271820448878,34.91271820448878,60.18287614297589,60.18287614297589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-31,,6.210691823899371,6.210691823899371,29.559748427672954,29.559748427672954,64.22955974842768,64.22955974842768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,,4.365826119683854,4.365826119683854,27.211140383891607,27.211140383891607,68.42303349642454,68.42303349642454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-02,,4.631956912028725,4.631956912028725,26.068222621184916,26.068222621184916,69.26391382405745,69.26391382405745,0.03590664272890485,0.03590664272890485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-03,,4.890560875512992,4.890560875512998,25.786593707250326,25.78659370725035,69.28864569083443,69.2886456908345,0.03419972640218876,0.034199726402188796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-04,,3.943476832073609,3.9434768320736127,25.96122247781794,25.96122247781796,70.06243838317447,70.06243838317452,0.03286230693394675,0.032862306933946775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-05,,3.9760176711896476,3.9760176711896507,24.48721994319973,24.48721994319976,71.50520668980747,71.50520668980754,0.03155569580309244,0.03155569580309247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-06,,3.7374658158614382,3.7374658158614418,23.822546338498913,23.822546338498952,72.40960194469763,72.40960194469768,0.03038590094196291,0.03038590094196294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-07,,4.473684210526314,4.473684210526318,21.871345029239755,21.87134502923978,73.62573099415201,73.62573099415208,0.02923976608187133,0.029239766081871357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-08,,4.279279279279277,4.279279279279281,22.15653153153152,22.156531531531538,73.170045045045,73.17004504504507,0.39414414414414395,0.3941441441441443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-09,,4.829083016820399,4.8290830168204035,21.432447097124243,21.432447097124264,71.70374389582199,71.70374389582206,2.0347259902333144,2.0347259902333157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-10,,3.2054650551760364,3.205465055176039,21.728849185496575,21.728849185496593,70.65160273252754,70.65160273252758,4.414083026799788,4.4140830267997915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-11,,3.604996191926883,3.6049961919268854,20.96978928662096,20.969789286620973,68.75397816704742,68.75397816704746,6.671236354404668,6.671236354404672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-12,,2.981764415968456,2.981764415968458,20.847727944800383,20.8477279448004,66.86099556431735,66.86099556431739,9.309512074913746,9.309512074913751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-13,,2.965088474414155,2.965088474414156,20.22957436633189,20.229574366331903,65.01671927307504,65.01671927307507,11.788617886178857,11.788617886178864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-14,,3.1727651690597485,3.1727651690597507,19.082927281148674,19.082927281148685,63.42054654932835,63.420546549328385,14.323761000463172,14.32376100046318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-15,,3.1264057579847044,3.1264057579847058,18.196149347728287,18.196149347728298,62.40439046333779,62.40439046333782,16.27305443094916,16.27305443094917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-16,,3.327495621716286,3.327495621716288,16.352907180385284,16.352907180385294,62.40147110332745,62.40147110332749,17.918126094570923,17.91812609457093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-17,,2.497331910352187,2.4973319103521883,16.648896478121657,16.648896478121667,61.22730416221981,61.227304162219845,19.62646744930629,19.6264674493063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-18,,2.477618155319591,2.4776181553195924,15.84426400166562,15.844264001665628,60.02498438475949,60.02498438475952,21.65313345825525,21.65313345825526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-19,,2.8617820174548396,2.8617820174548414,15.181652120966099,15.181652120966108,58.59549421554695,58.595494215546985,23.361071646032062,23.361071646032073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
