date,btc_price,total_oi,circulating_supply_btc,market_cap_usd,oi_mcap_pct,oi_mcap_ma30,oi_mcap_ma90,oi_mcap_pctile_1y
2020-02-28,8704.42728079738,2682000360.0,18242908.544971418,158794070819.94083,1.6889801654125765,,,
2020-02-29,8523.04038517677,2238141160.0,18244646.044971254,155499855054.54562,1.4393204155816823,,,
2020-03-01,8654.73740278669,2208455602.0,18246858.544970628,157921769132.5152,1.3984491271414534,,,
2020-03-02,8925.19525740527,2246443451.0,18248721.04497069,162873398524.28415,1.379257430221215,,,
2020-03-03,8762.03229531437,2234732955.0,18250633.54497052,159912640530.97946,1.3974711114641816,,,
2020-03-04,8825.74030878652,2222755013.0,18252721.04497073,161093775871.6342,1.3797895051955191,,,
2020-03-05,9289.64862516547,2590711338.0,18254758.544970736,169580292620.015,1.5277195822542335,,,
2020-03-06,9201.63236572705,2666050169.0,18256696.044970833,167991405218.64462,1.587015815202019,,,
2020-03-07,9117.72760312678,2974405943.0,18258658.544970676,166477475011.54578,1.786671706063367,,,
2020-03-08,8109.13334083755,2992917284.0,18260633.544970647,148077912304.33807,2.021177390621761,,,
2020-03-09,7934.77087679265,2760796480.0,18262508.544970695,144908820939.81036,1.9051955996155199,,,
2020-03-10,8154.08625794656,2660161882.0,18264158.544970676,148927524204.50262,1.7862123849901304,,,
2020-03-11,8210.61535148085,2612264808.0,18265646.04497072,149972193821.55206,1.7418327634176403,,,
2020-03-12,4837.32127554015,2637243571.0,18267533.544970766,88365928668.73047,2.9844574834794058,,,
2020-03-13,5631.97293041623,1933629837.0,18269096.044970818,102891054388.44986,1.8792983009969635,,,
2020-03-14,5193.49593749969,1546000954.0,18270696.044970706,94888785684.84702,1.6292767821212448,,,
2020-03-15,5382.38878298045,1512817467.0,18272183.544970803,98347995753.0108,1.5382290766750952,,,
2020-03-16,5108.45858990639,1295208819.0,18273671.04497066,93350291818.80406,1.3874716337406232,,,
2020-03-17,5497.03945252489,1258514782.0,18275208.544970855,100459542374.82478,1.2527578289221677,,,
2020-03-18,5474.32622639066,1255116634.0,18276458.544970755,100051296338.27509,1.254473135216989,,,
2020-03-19,6386.20624595847,1281964653.0,18277796.04497072,116725775264.74704,1.0982704120768199,,,
2020-03-20,6218.97507235305,1274693515.0,18279158.54497087,113677631334.76308,1.121323078281095,,,
2020-03-21,6373.71211016573,1196019946.0,18280708.544970855,116515973435.49089,1.0264858205576224,,,
2020-03-22,5902.94302850539,1299139061.0,18282296.044970825,107919351983.73221,1.203805468731718,,,
2020-03-23,6510.28301229095,1354400760.0,18283696.0449707,119032035763.46397,1.137845581916632,,,
2020-03-24,6764.90235664289,1214492744.0,18285346.044970714,123698580551.65312,0.9818162331239212,,,
2020-03-25,6732.13525849177,1211410427.0,18286496.044970863,123107164778.61865,0.984029182361934,,,
2020-03-26,6799.24658729842,1244561429.0,18288496.04497078,124347994320.58824,1.0008697251612515,,,
