date,event,btc_price,daily_realized_profit_btc,daily_realized_loss_btc,rpl_ratio,sth_pl_ratio,lth_pl_ratio,rrp,rrl,relative_realized_pl
2010-07-17,,0.04951,0.0007734391646187,0.0,,1.0,1.0,2.249023316071796e-10,0.0,2.249023316071796e-10
2010-07-18,,0.08584,11613.386111413269,0.0001711460747893,67856572.9638205,38642919.054767415,1.0,0.0057958893254265,8.541382319022785e-11,0.0057958892400127
2010-07-19,,0.0808,7923.938072196222,453.3182125184918,17.47985819535761,14.464339180850445,1.0,0.0036943439200173,0.0002113486207227,0.0034829952992946
2010-07-20,,0.07474,2348.5269675585664,780.5176858654739,3.00893498006315,2.9034061162129543,1.0,0.0010082062644811,0.0003350708045076,0.0006731354599734
2010-07-21,,0.07921,3517.418057845478,213.555869030478,16.470715948075785,8.426424342129279,1.0,0.0015904324442444,9.656122109435604e-05,0.0014938712231501
2010-07-22,,0.05446,946.9318500749096,9903.168187199286,0.0956190819114737,0.0444510847165308,1.0,0.0002943938140094,0.0030788186638522,-0.0027844248498427
2010-07-23,,0.0624138775510204,2286.4149285154504,835.8288106879481,2.7355062415634657,2.5499623161662366,1.0,0.0008114215286592,0.000296625727381,0.0005147958012781
2010-07-24,,0.05454,2712.3066970130417,1056.3576197861669,2.5676027192023096,0.0881241475020897,1.0,0.000838245136406,0.0003264699519661,0.0005117751844399
2010-07-25,,0.0505,295.74797767785066,1927.5510015463965,0.153431985685766,0.0504565430389635,1.0,8.43916368406708e-05,0.0005500263616056,-0.0004656347247649
2010-07-26,,0.056,6344.101258955426,2176.057262902082,2.915410989917914,0.997969452303212,1.0,0.0019971361887608,0.0006850273239921,0.0013121088647686
2010-07-27,,0.06,2013.514594778694,498.36258747691903,4.040260335296432,1.6826568570757563,1.0,0.0006768932901681,0.0001675370481091,0.0005093562420589
2010-07-28,,0.0589,3474.176943700459,1079.678592669842,3.2177881151736774,3.0294198056211434,1.0,0.0011426187145393,0.0003550944542157,0.0007875242603236
2010-07-29,,0.0698625662193553,1863.8081407923976,249.7814043029721,7.461756995055138,7.397609860296665,1.0,0.0007240779699508,9.703853535175596e-05,0.0006270394345991
2010-07-30,,0.0627,1237.2964618359422,712.3954777582051,1.736811224194624,1.404725374530019,1.0,0.0004299578846208,0.0002475559108735,0.0001824019737473
