start,end,min_price,max_confirm,is_known_ref
2010-07-22,2010-07-25,0.0505,2,False
2010-08-02,2010-08-02,0.06010568,2,False
2010-11-29,2010-12-09,0.2,4,False
2011-03-17,2011-03-21,0.746251737576952,2,False
2011-03-28,2011-04-10,0.68,3,False
2011-05-21,2011-05-21,6.11973305231837,3,False
2011-06-11,2011-06-11,14.6511040891433,3,False
2011-06-17,2011-06-17,15.7098236151603,2,False
2011-08-03,2011-08-11,6.52348646620579,4,False
2011-08-26,2011-08-26,8.17934724778806,2,False
2011-09-09,2011-09-19,4.7700025640269,4,False
2011-10-17,2011-10-26,2.26975503392251,4,False
2011-11-10,2011-11-18,2.05013528348141,3,False
2011-11-26,2011-11-26,2.47003009406009,3,False
2012-01-17,2012-01-17,5.5788822277304,3,False
2012-01-26,2012-01-31,5.29018710597449,4,False
2012-02-06,2012-02-06,5.45876972921661,3,False
2012-02-14,2012-02-21,4.22698924309402,4,False
2012-03-22,2012-03-25,4.55001171479809,4,False
2012-08-19,2012-08-22,7.88843046855108,4,False
2012-09-01,2012-09-01,9.96547656435284,3,False
2012-10-26,2012-11-02,10.1703989698262,4,False
2013-04-11,2013-04-16,68.5878286220295,4,False
2013-05-01,2013-05-03,98.0168775337389,3,False
2013-05-14,2013-05-14,111.1175665373,2,False
2013-06-09,2013-06-16,99.7754988549523,4,False
2013-06-29,2013-07-08,68.695618013749,4,False
2013-07-18,2013-07-20,89.4613918851393,3,False
2013-10-02,2013-10-05,121.940051089218,4,False
2013-12-06,2013-12-06,824.280086199878,3,False
2013-12-14,2013-12-22,524.030093479223,4,False
2014-01-27,2014-01-27,752.917458079482,3,False
2014-02-13,2014-03-02,533.461874401025,4,False
2014-03-27,2014-04-13,364.124870355731,4,False
2014-04-25,2014-05-07,429.123236370122,3,False
2014-06-12,2014-06-25,566.734044843783,4,False
2014-08-18,2014-08-18,468.08021396563,4,False
2014-09-19,2014-09-22,393.481893457727,4,False
2014-10-03,2014-10-10,319.678225627371,4,False
2014-10-23,2014-11-04,323.971035419758,3,False
2014-11-21,2014-11-22,350.585147053136,3,False
2015-01-04,2015-01-05,264.117167123522,4,False
2015-01-13,2015-02-10,178.498024352187,4,False
2015-04-13,2015-04-20,219.199872428885,4,False
