date,btc_price,raw_sharpe,raw_ssr,raw_mvrv_delta,raw_sth_mvrv,raw_sopr_z,raw_mayer,raw_velocity_rsi,raw_microstructural,pct_sharpe,pct_ssr,pct_mvrv_delta,pct_sth_mvrv,pct_sopr_z,pct_mayer,pct_velocity_rsi,pct_microstructural,n_components,risk_raw,risk_score,zone
2010-07-17,0.04951,,,,1.000000032095697,,1.0,,,,,,,,,,,0,,,NEUTRAL
2010-07-18,0.08584,,,,1.7060329174800477,,1.2684152198005172,,,,,,,,,,,0,,,NEUTRAL
2010-07-19,0.0808,,,,1.5888490632338017,,1.121443442054129,,,,,,,,,,,0,,,NEUTRAL
2010-07-20,0.07474,,,,1.4635594826274154,,1.0277424455979924,,,,,,,,,,,0,,,NEUTRAL
2010-07-21,0.07921,,,,1.5407781843006212,,1.070116184814915,,,,,,,,,,,0,,,NEUTRAL
2010-07-22,0.05446,,,,1.0644676095825518,,0.7696438665912945,,,,,,,,,,,0,,,NEUTRAL
2010-07-23,0.0624138775510204,,,,1.2168067418619275,,0.8971675134902264,,,,,,,,,,,0,,,NEUTRAL
2010-07-24,0.05454,,,,1.0616269846975015,,0.8057411233360148,,,,,,,,,,,0,,,NEUTRAL
2010-07-25,0.0505,,,,0.9839504440924812,,0.7677184897761643,,,,,,,,,,,0,,,NEUTRAL
2010-07-26,0.056,,,,1.0874808147726072,,0.8641790236288722,,,,,,,,,,,0,,,NEUTRAL
2010-07-27,0.06,,,,1.1627426413956523,,0.9321851180133687,,,,,,,,,,,0,,,NEUTRAL
2010-07-28,0.0589,,,,1.1385381479611254,,0.9216158693816041,,,,,,,,,,,0,,,NEUTRAL
2010-07-29,0.0698625662193553,,,,1.3458226797117268,,1.085371568013269,,,,,,,,,,,0,,,NEUTRAL
2010-07-30,0.0627,,,,1.205586142695129,,0.9759010434119724,,,,,,,,,,,0,,,NEUTRAL
2010-07-31,0.06785,,,,1.3002925104243055,,1.0521267215988506,,,,,,,,,,,0,,,NEUTRAL
2010-08-01,0.0611,,,,1.1680905719355468,,0.950578435552438,,,,,,,,,,,0,,,NEUTRAL
2010-08-02,0.06010568,,,,1.1486372946799583,,0.9386921503618817,,,,,,,,,,,0,,,NEUTRAL
2010-08-03,0.06,,,,1.1455443097684783,,0.94033068614102,,,,,,,,,,,0,,,NEUTRAL
2010-08-04,0.0572824939363675,,,,1.0927179064610504,,0.9025992626137463,,,,,,,,,,,0,,,NEUTRAL
2010-08-05,0.061,,,,1.162046724040534,,0.9630454077081236,,,,,,,,,,,0,,,NEUTRAL
2010-08-06,0.0623,,,,1.1845591973038172,,0.9843394862794789,,,,,,,,,,,0,,,NEUTRAL
2010-08-07,0.059,,,,1.121044830623953,,0.9350812846740152,,,,,,,,,,,0,,,NEUTRAL
2010-08-08,0.0609,,,,1.15455585246649,,0.9666569149017935,,,,,,,,,,,0,,,NEUTRAL
2010-08-09,0.0707,,,,1.3284786027871855,,1.1165254188055915,,,,,,,,,,,0,,,NEUTRAL
2010-08-10,0.07,,,,1.3113169387358097,,1.100826513455905,,,,,,,,,,,0,,,NEUTRAL
2010-08-11,0.067,,,,1.2526178855253003,,1.0514786200240755,,,,,,,,,,,0,,,NEUTRAL
2010-08-12,0.07,,,,1.3050268003779013,,1.0945641975916767,,,,,,,,,,,0,,,NEUTRAL
2010-08-13,0.0645,,,,1.199750859388182,,1.0082543890313873,,,,,,,,,,,0,,,NEUTRAL
2010-08-14,0.067,,,,1.2432219507322846,,1.0456273357691552,10.114181479844902,,,,,,,,,,0,,,NEUTRAL
2010-08-15,0.06529,,,,1.2092018122549504,,1.018297529399862,11.898371171156029,,,,,,,,,,0,,,NEUTRAL
2010-08-16,0.0655,1.2228905298558688,,0.2694521241428407,1.210290329263515,,1.0208623861020003,12.387254771149458,,,,,,,,,,0,,,NEUTRAL
2010-08-17,0.07,-1.238950634436336,,-0.3655945965505891,1.2900445327345218,,1.087904311013564,14.249069508306519,,,,,,,,,,0,,,NEUTRAL
2010-08-18,0.068,-1.0515146896445708,,-0.2965575560825293,1.2503637758433603,,1.0550047617759277,14.767207985140558,,,,,,,,,,0,,,NEUTRAL
2010-08-19,0.0667,-0.6995944339832295,,-0.19867979235581923,1.2249184037214371,,1.0337763715749093,14.339504598019417,,,,,,,,,,0,,,NEUTRAL
2010-08-20,0.0655,-1.175483954947149,,-0.306631135273548,1.2012353589201896,,1.0147376567984596,14.141334079956323,,,,,,,,,,0,,,NEUTRAL
2010-08-21,0.0664,1.6627108540459914,,0.19752660810908518,1.214581217598678,,1.0278617361695614,16.332958951521718,,,,,,,,,,0,,,NEUTRAL
2010-08-22,0.066,0.4949755581472743,,0.03156477532974744,1.2042793315011922,,1.0210717866658006,16.08412436424294,,,,,,,,,,0,,,NEUTRAL
2010-08-23,0.06491,1.6492351351488492,,0.16697956672402037,1.1828016484394668,,1.0040974241393497,15.09958709436036,,,,,,,,,,0,,,NEUTRAL
2010-08-24,0.065,2.4584603719031604,,0.24745648022620692,1.1823778746611784,,1.0053481277477283,15.451773971465315,,,,,,,,,,0,,,NEUTRAL
2010-08-25,0.0648,1.4778467646107747,,0.13535201081274661,1.176903672906816,,1.0021982562578953,16.821868826013628,,,,,,,,,,0,,,NEUTRAL
2010-08-26,0.064,0.6652840550748981,,0.04103710546779227,1.1609142651881896,,0.990071134373657,16.429028725188175,,,,,,,,,,0,,,NEUTRAL
2010-08-27,0.065,1.0171650820976061,,0.08235642682092204,1.1769501512049796,,1.0054083538598049,19.985903841128547,,,,,,,,,,0,,,NEUTRAL
2010-08-28,0.0645982546728972,-0.9415971311629536,,-0.14069393302914168,1.168208067627395,,0.9992129532307304,19.567539426995793,,,,,,,,,,0,,,NEUTRAL
2010-08-29,0.064,0.2660158088681722,,-0.010240146445511522,1.1562580049113138,,0.9901850465776463,20.231131502565603,,,,,,,,,,0,,,NEUTRAL
2010-08-30,0.06497,-0.5882547240153286,,-0.09199053903548293,1.1723811747358404,,1.005076563157829,20.74176379648759,,,,,,,,,,0,,,NEUTRAL
2010-08-31,0.06,-0.2557556257108996,,-0.052635257169294514,1.0828436406774464,,0.9296426025011175,19.211837735828666,,,,,,,,,,0,,,NEUTRAL
2010-09-01,0.0629,0.6297144942095921,,0.022234868700542032,1.134191482057835,,0.97510281060451,22.31884198377155,,,,,,,,,,0,,,NEUTRAL
2010-09-02,0.0634,0.7636518892011772,,0.033807471797759225,1.1419146548633246,,0.9832052338995817,23.510485684771538,,,,,,,,,,0,,,NEUTRAL
2010-09-03,0.06085,0.8403672834382137,,0.03875505434540849,1.095708759318536,,0.944746179957196,23.187567033738432,,,,,,,,,,0,,,NEUTRAL
2010-09-04,0.06238,0.31978484264477786,,-0.004833390672729365,1.1223050470197409,,0.9691112121652261,23.73543974672812,,,,,,,,,,0,,,NEUTRAL
2010-09-05,0.06163975,-0.15268679012601952,,-0.04442020553681392,1.1072918345246971,,0.9584075659491519,23.639486322323634,,,,,,,,,,0,,,NEUTRAL
2010-09-06,0.0616,0.6349743202251429,,0.02012371584213457,1.1066113149302037,,0.9585676196704594,24.536102797506047,,,,,,,,,,0,,,NEUTRAL
2010-09-07,0.0610028889147648,0.025051753200580982,,-0.028108726053439392,1.0949359988243776,,0.9501852602330025,24.32181967072391,,,,,,,,,,0,,,NEUTRAL
2010-09-08,0.0612664420040746,-2.8136260533526345,,-0.2100827553477409,1.09862261760271,,0.9550988483068031,24.790935962815965,,,,,,,,,,0,,,NEUTRAL
2010-09-09,0.06111,-2.6694070114032553,,-0.19829318949622232,1.0935880206382431,,0.9534807186229803,25.46075356412561,,,,,,,,,,0,,,NEUTRAL
2010-09-10,0.0618,-1.6255180838777872,,-0.12581604900020538,1.1049645499775422,,0.9648625988227356,25.355050268135017,,,,,,,,,,0,,,NEUTRAL
2010-09-11,0.06366,-1.9482137165603375,,-0.14749086287520097,1.1372435213136871,,0.9940084915736584,28.093484296221547,,,,,,,,,,0,,,NEUTRAL
2010-09-12,0.0615,-1.08531397091269,,-0.08078487411945989,1.0976646282643672,,0.960939583080281,27.330072672410566,,,,,,,,,,0,,,NEUTRAL
