date,event,btc_price
10/21/2013,,188.8885842
10/22/2013,,199.9992461
10/23/2013,,214.7016529
10/24/2013,,196.6380693
10/25/2013,,189.7811882
10/26/2013,,182.9276896
10/27/2013,,199.8788973
10/28/2013,,198.6359408
10/29/2013,,206.5278308
10/30/2013,,200.364722
10/31/2013,,203.6010754
11/1/2013,,203.8972164
11/2/2013,,206.3582269
11/3/2013,,217.5507308
11/4/2013,,229.3104935
11/5/2013,,243.7072572
11/6/2013,,263.636169
11/7/2013,,295.8324699
11/8/2013,,337.7861267
11/9/2013,,346.5669297
11/10/2013,,327.3646824
11/11/2013,,346.523784
11/12/2013,,359.6787266
11/13/2013,,410.1949522
11/14/2013,,421.9379034
11/15/2013,,418.9687904
11/16/2013,,439.8122327
11/17/2013,,504.7494764
11/18/2013,,688.8182339
11/19/2013,,650.0307465
11/20/2013,,610.721388
11/21/2013,,738.1561732
11/22/2013,,801.1782294
11/23/2013,,845.1217545
11/24/2013,,819.1218795
11/25/2013,,818.1029491
11/26/2013,,961.1415673
11/27/2013,,999.4156688
11/28/2013,,1128.632767
11/29/2013,,1156.124588
11/30/2013,,1135.647337
12/1/2013,,969.6470954
12/2/2013,,1049.961467
12/3/2013,,1083.083032
12/4/2013,,1151.255568
12/5/2013,,1043.832646
12/6/2013,,824.2800862
12/7/2013,,693.1400842
12/8/2013,,792.7992502
12/9/2013,,913.9011457
12/10/2013,,1001.386243
12/11/2013,,885.1216821
12/12/2013,,872.2462815
12/13/2013,,891.9039664
12/14/2013,,853.3010246
12/15/2013,,864.3631921
12/16/2013,,702.0705325
12/17/2013,,683.3553684
12/18/2013,,524.0300935
12/19/2013,,691.3157626
12/20/2013,,613.0722033
12/21/2013,,600.4478196
12/22/2013,,616.902663
12/23/2013,,663.2921022
12/24/2013,,654.5952956
12/25/2013,,682.2400232
12/26/2013,,760.9303991
12/27/2013,,733.7537521
12/28/2013,,717.9706292
12/29/2013,,732.4969531
12/30/2013,,749.8500577
12/31/2013,,732.8690353
1/1/2014,,763.9720753
1/2/2014,,793.8638457
1/3/2014,,818.1838302
1/4/2014,,838.614589
1/5/2014,,921.7032833
1/6/2014,,925.5863113
1/7/2014,,785.4041432
1/8/2014,,825.9074954
1/9/2014,,829.9472249
1/10/2014,,859.7873621
1/11/2014,,905.2042592
1/12/2014,,843.2804382
1/13/2014,,825.101064
1/14/2014,,816.598094
1/15/2014,,842.1209274
1/16/2014,,814.5316864
1/17/2014,,806.0973891
1/18/2014,,819.224525
1/19/2014,,851.8790249
1/20/2014,,826.1303162
1/21/2014,,824.4484284
1/22/2014,,818.2340756
1/23/2014,,811.0910144
1/24/2014,,784.0320462
1/25/2014,,806.7138894
1/26/2014,,814.9702912
1/27/2014,,752.9174581
1/28/2014,,785.1263448
1/29/2014,,791.7749938
1/30/2014,,801.5326921
1/31/2014,,802.8469685
2/1/2014,,812.1739348
2/2/2014,,814.1499372
2/3/2014,,806.0984095
2/4/2014,,800.508286
2/5/2014,,780.24254
2/6/2014,,768.754355
2/7/2014,,704.2682886
2/8/2014,,678.5676526
2/9/2014,,687.021383
2/10/2014,,686.0036027
2/11/2014,,674.4914976
2/12/2014,,652.1345416
2/13/2014,,605.8457148
2/14/2014,,668.1504935
2/15/2014,,651.9888424
2/16/2014,,621.0025866
2/17/2014,,629.9489769
2/18/2014,,628.121114
2/19/2014,,623.7661578
