Date,BTC Price,MVRV,Realized Price,RollMean,RollStd,Z,Cycle
2010-09-11,0.06366,1.2150938114828762,0.0523910165605325,1.2472953564227636,0.12792291503287886,-0.25172616596182856,2011
2010-09-19,0.0627,1.1914887791046,0.052623240016678,1.2377838595016488,0.12251965037196745,-0.37785841092835104,2011
2010-11-06,0.39,4.935268678353425,0.0790230533366052,1.5115974201975382,0.6300165993443043,5.434255639802355,2011
2010-11-14,0.27904,3.235941491284964,0.0862314725873475,1.6170912840172433,0.7379625909053028,2.1936751635090066,2011
2010-11-22,0.284791867824497,3.087482293008412,0.0922408100831563,1.6983950045107283,0.7836217225221587,1.7726503089102459,2011
2010-12-20,0.267,2.5403721256894354,0.1051027120396932,1.8289205980190912,0.7754535139449085,0.9174650896235267,2011
2011-01-14,0.4,3.2698887002438224,0.1223283226643688,1.937900587625445,0.7742749692715746,1.7203037234582057,2011
2011-01-22,0.4441316665,3.4166434785352178,0.1299906382653679,1.981312795626427,0.7884768250081698,1.820384109442809,2011
2011-02-09,1.09,5.373044073647826,0.2028645187084768,2.1433625054959182,0.9537095838230867,3.386441347485729,2011
2011-02-24,0.99189348733234,4.051895780832834,0.2447973839861361,2.2879666999570816,1.0761363697643993,1.6391315547321692,2011
2011-03-10,0.9329,3.083395832465564,0.3025560293548262,2.3422610832036357,1.0682746961657792,0.693767953057381,2011
2011-03-25,0.88377,2.7164412360056933,0.3253411074334566,2.361987189928928,1.0399178561528313,0.34084811985829855,2011
2011-04-30,3.50272007323498,5.558558215001561,0.6301490310530096,2.4474936832669245,1.0545321885286325,2.9501845136424354,2011
2011-05-13,8.194,6.726939377147173,1.2180873857488208,2.5652390797321205,1.1807349875599953,3.524669245226028,2011
2011-06-08,29.6,7.44476641160418,3.9759474459618223,2.7785800215384033,1.3790679283182607,3.3835798036113243,2011
2011-07-10,14.8881160955087,2.0703031256942337,7.191273543827682,2.773379434760718,1.3455523380254417,-0.5225187376198446,2011
2011-07-25,13.9854206262563,1.9941833250871328,7.013106794303993,2.7752361495946545,1.324616474955659,-0.5896445041072489,2011
2011-08-19,11.65,1.710503002886565,6.810862056564649,2.7982828860089666,1.302313448614756,-0.8352673346646696,2011
2011-09-20,6.11216519130136,1.0211639083574722,5.985488853726422,2.795245981109339,1.308695181562899,-1.3556113736379645,2011
2011-10-29,3.58218725511097,0.6412186959779118,5.586529646718795,2.697211269768771,1.4149903031476287,-1.453008242683592,2011
2011-11-11,3.07798387122402,0.5763003593841154,5.340936928294512,2.6036287548564885,1.4603793700783831,-1.3882203741097492,2011
2011-12-02,3.11250071814405,0.6321226115831592,4.923887646336131,2.4671130008510525,1.5360205096167865,-1.1946392497882046,2013
2011-12-11,3.25143431726448,0.666815753554052,4.876061040751821,2.428179726379421,1.5621731412281221,-1.1275088057400928,2013
2012-01-08,7.11248788330686,1.4007663468645393,5.077569074405149,2.30591752990806,1.6147321690622451,-0.5605580915435573,2013
2012-01-15,7.00433279619814,1.3568438191828398,5.162224787534136,2.2759027468150204,1.618358491218911,-0.5678957614267319,2013
2012-02-02,6.10119269354221,1.1823710615751652,5.1601336431679465,2.177282060282785,1.6199517407121085,-0.6141608874535179,2013
2012-02-10,5.92145820833532,1.1497191342714703,5.150351970168352,2.0974297580771357,1.578956170651773,-0.6002133823730285,2013
2012-02-24,5.02717828094935,1.005419168289144,5.0000819951580695,1.9695879901346927,1.5293596660556272,-0.6304395514315068,2013
2012-03-06,4.99076716913043,1.005665186812863,4.962652813852575,1.900210971721258,1.5198556588202718,-0.5885728554004602,2013
2012-03-14,5.3846357454765,1.0836292799422331,4.969075536389667,1.8584683634617667,1.5175356856979154,-0.5105903543633536,2013
2012-04-02,4.97400279171384,1.02418355409467,4.85655405403441,1.7802959404929861,1.521317627451535,-0.49701151998411575,2013
2012-04-20,5.35009038822879,1.096531113719032,4.879104953149248,1.7010075880660518,1.5137407329658277,-0.3993262922658406,2013
2012-05-03,5.1451001062097,1.0541243306516654,4.8809233945192885,1.5736229967045583,1.4063221999991533,-0.36940230770246363,2013
2012-06-20,6.71340012324679,1.3728922572520363,4.889968668542312,1.0935578621444586,0.4485260708106563,0.6227829624322947,2013
2012-07-18,9.09624321619122,1.7865941616590963,5.091387519001024,1.0377876124553775,0.34278347284638466,2.1844884847738553,2013
2012-08-16,13.5058788507023,2.3400842327792963,5.771535341128081,1.0561414145448265,0.3755160103831531,3.419142680293218,2013
2012-08-27,10.946191390968,1.8356250812113883,5.963195590977791,1.0636316099710883,0.3871239333403427,1.994176553691907,2013
2012-09-19,12.5416558889025,1.9534049636622888,6.420407504949261,1.1119412276374567,0.4243127200985201,1.9831216368659763,2013
2012-10-03,12.8571830959704,1.9212168856692016,6.692208043701409,1.1508166441264116,0.44611135601128904,1.7269236282864198,2013
2012-10-18,11.9434086613232,1.7560017356401332,6.801478847610221,1.1973347227095061,0.45035323054849247,1.2405085054018985,2013
2012-10-31,11.1981681665433,1.637471605219497,6.838694564747721,1.2365693505144912,0.4386480635185167,0.913949674117466,2013
2012-12-13,13.73950338064,1.86142821539277,7.381162092109418,1.3731373775318683,0.3801407612655011,1.2845000789585557,2013
2012-12-31,13.5599728441957,1.8039659723941568,7.51675644202945,1.4226175997395127,0.3671915485655378,1.0385543298706383,2013
