cycle,date_prev,date_curr,price_prev,price_curr,fg_prev,fg_curr,dir_fg,mvrv_prev,mvrv_curr,dir_mvrv,asopr_prev,asopr_curr,dir_asopr,fg_matches_mvrv,fg_matches_asopr
2021,2020-11-30,2020-12-19,19667.5007343055,23861.6771924341,88,93,NAIK,2.6277438278730343,2.896934262347092,NAIK,1.0976004586466015,1.0957388328608928,FLAT,True,False
2021,2020-12-19,2021-01-08,23861.6771924341,40736.1542479504,93,93,FLAT,2.896934262347092,3.772275928052592,NAIK,1.0957388328608928,1.2315345665471775,NAIK,False,False
2021,2021-01-08,2021-02-21,40736.1542479504,57550.822756313,93,91,TURUN,3.772275928052592,3.9535799136871863,NAIK,1.2315345665471775,1.1147651094901048,TURUN,False,True
2021,2021-02-21,2021-03-13,57550.822756313,61186.2710771734,91,74,TURUN,3.9535799136871863,3.7766375411937054,TURUN,1.1147651094901048,1.08764233146666,TURUN,True,True
2021,2021-03-13,2021-04-13,61186.2710771734,63551.3265337792,74,74,FLAT,3.7766375411937054,3.434919054044834,TURUN,1.08764233146666,1.0793939385004463,FLAT,False,True
2021,2021-04-13,2021-10-20,63551.3265337792,66026.7013385388,74,82,NAIK,3.434919054044834,2.922917460299588,TURUN,1.0793939385004463,1.0730313213760712,FLAT,False,False
2021,2021-10-20,2021-11-08,66026.7013385388,67524.6959548011,82,75,TURUN,2.922917460299588,2.850871175078494,TURUN,1.0730313213760712,1.067375182411464,FLAT,True,False
2023-2025 (current),2024-03-13,2024-11-22,73094.9843905541,98943.4977548279,81,94,NAIK,2.7451816325625367,2.7262885349967654,FLAT,1.2124311804642802,1.1042934873381225,TURUN,False,False
2023-2025 (current),2024-11-22,2024-12-17,98943.4977548279,106168.858284328,94,87,TURUN,2.7262885349967654,2.6834475856088624,FLAT,1.1042934873381225,1.0994198764117078,FLAT,False,False
2023-2025 (current),2024-12-17,2025-01-21,106168.858284328,106188.135939294,87,76,TURUN,2.6834475856088624,2.523366029370949,TURUN,1.0994198764117078,1.0609848301929814,TURUN,True,True
2023-2025 (current),2025-01-21,2025-05-22,106188.135939294,111695.395495789,76,72,TURUN,2.523366029370949,2.4232786680215783,TURUN,1.0609848301929814,1.0554664465965873,FLAT,True,False
2023-2025 (current),2025-05-22,2025-07-14,111695.395495789,119831.19623272,72,74,NAIK,2.4232786680215783,2.4114037459113757,FLAT,1.0554664465965873,1.0594676538400347,FLAT,False,False
2023-2025 (current),2025-07-14,2025-07-22,119831.19623272,119963.29839406,74,72,TURUN,2.4114037459113757,2.3649857625017168,FLAT,1.0594676538400347,1.0581636625816744,FLAT,False,False
2023-2025 (current),2025-07-22,2025-08-13,119963.29839406,123313.782043878,72,73,FLAT,2.3649857625017168,2.377162321192981,FLAT,1.0581636625816744,1.0322327892285492,TURUN,True,False
2023-2025 (current),2025-08-13,2025-10-06,123313.782043878,124714.848516762,73,71,TURUN,2.377162321192981,2.284994486885519,TURUN,1.0322327892285492,1.0293232428281638,FLAT,True,False
