peak_date,peak_ad_ma30,signal_date,signal_ad_ma30,pct_decline_from_peak,still_positive_at_signal,uptrend_at_signal,price_at_signal,cycle,qualifies_h2,fwd_ret_30d,fwd_ret_60d,fwd_ret_90d
2010-08-23,7895.000000004855,2010-09-22,6433.345000000732,-18.51367954405603,True,False,0.0622,2011-2013,False,66.85088033434245,344.935691318328,285.85209003215436
2010-11-14,8693.341333332899,2010-12-14,6973.70433332844,-19.781082256725046,True,True,0.24669,2011-2013,True,28.74457821557421,337.6296260854351,262.76298188009247
2011-02-16,4596.400333320132,2011-03-18,3880.8173333215914,-15.568334960102382,True,True,0.81585387602459,2011-2013,True,38.92769200441448,785.7044486329027,1984.0839326527296
2011-06-30,16962.77200000955,2011-07-30,2126.501333331309,-87.46371563957759,True,True,13.5318498364318,2011-2013,True,-33.71933543148875,-64.67204507539945,-76.426024616981
2011-09-15,4895.977986756767,2011-10-15,3909.5043055292995,-20.148654342315275,True,False,3.84222132183485,2011-2013,False,-42.60023306363647,-18.016195374848166,66.8450558720525
2011-12-11,6773.965466419918,2012-01-10,4534.528932390284,-33.059461922725,True,False,6.39608130095411,2011-2013,False,-8.687556545173546,-24.157255558472713,-23.82978008376955
2012-02-17,4625.992241713063,2012-03-18,-8843.572577462624,-291.1713663875004,False,True,5.27943295663821,2011-2013,False,-5.577083779011572,-3.4025237206299463,21.264112235306886
2012-04-22,5022.111397376625,2012-05-22,1459.8476257994616,-70.93159609000242,True,True,5.10405001277268,2011-2013,True,30.917930572931528,73.30860634006812,97.67893283262121
2012-08-04,4781.946710938386,2012-09-03,1917.4677659441093,-59.90194199450134,True,True,10.5300109299288,2011-2013,True,22.100377497493607,-1.0694703207479117,18.70858705903473
2012-10-15,7997.74714581954,2012-11-14,3633.1921310723133,-54.572305615195646,True,True,10.9628790198881,2011-2013,True,24.281622535166612,29.433547438157692,130.52558509291808
2012-12-15,1820.2461801748102,2013-01-14,-4047.0730169155013,-322.3365751838487,False,True,14.3413530803312,2011-2013,False,69.21136793039663,227.58984035325292,527.1261792797688
2013-04-16,14818.548760357313,2013-05-16,4680.140064379418,-68.41701478285268,True,True,118.220409697972,2011-2013,True,-15.548297019499447,-16.495086663591664,-16.122732883728762
2013-07-03,3980.3096246285363,2013-08-02,169.89293771938762,-95.73166527879742,True,True,102.980769156644,2011-2013,True,41.22376687271334,34.990890322862,97.70786047638515
2013-09-09,2757.3504483450515,2013-10-09,1273.4313821255232,-53.81684678892265,True,True,139.324105475282,2011-2013,True,142.4462913876801,469.0323634414917,463.7245188408401
2013-12-03,12667.680247343395,2014-01-02,7587.820717987543,-40.100945320443934,True,True,793.863845729971,2013-2015 (bear),True,2.3064520704788594,-14.25989386965002,-44.92570166219654
2014-03-11,11334.642147753264,2014-04-10,-7763.689475183841,-168.49523235034596,False,False,364.124870355731,2013-2015 (bear),False,25.559550358704342,78.67419127380246,71.44493440715414
2014-06-25,3111.0817619811432,2014-07-25,722.2846606970144,-76.78348831831852,True,False,600.100180749828,2013-2015 (bear),False,-14.820840042677252,-26.854320370289642,-40.33277984849022
2014-10-05,2232.0540924854577,2014-11-04,-5146.143395758607,-330.556392566106,False,False,329.684117461856,2013-2015 (bear),False,12.30780519638428,-15.144779471450832,-27.540263027301858
2015-05-18,3191.9639948400977,2015-06-17,-8101.250069413334,-353.80142390419314,False,False,248.802178319007,2013-2015 (bear),False,12.556585497755002,4.153791466174428,-7.249160833584289
2015-07-17,2040.6777822684496,2015-08-16,-739.9715628995871,-136.26106822592163,False,True,259.136901969678,2013-2015 (bear),False,-10.94818742480632,-1.6135175651066591,28.796401749771494
2015-09-17,2711.9246444813903,2015-10-17,-1490.5585036131242,-154.9631239439608,False,True,272.080794170223,2015-2017,False,22.00955948779304,67.21877189097486,32.159763511150906
2015-11-27,4868.161533023789,2015-12-27,-3797.157735336137,-177.9998303174132,False,True,422.826135957318,2015-2017,False,-7.249100079362181,0.593596368052185,-1.03702062641714
2016-02-19,4928.93057491978,2016-03-20,1417.2370814140265,-71.24656028580615,True,True,413.267828777134,2015-2017,True,5.796885556622722,5.694732834801086,83.7414343989404
2016-06-15,10865.141361728496,2016-07-15,3873.375993425958,-64.35043167436748,True,True,665.313761815855,2015-2017,True,-13.5923371188589,-8.352249247751054,-4.087109646772669
2016-10-05,1305.610341959757,2016-11-04,-2601.693155741195,-299.2702625069576,False,True,709.167770678417,2015-2017,False,12.764507024540395,46.40545304509966,43.777485270868844
2016-12-31,6832.166295206733,2017-01-30,1644.643459305726,-75.9279357638065,True,True,925.399284441806,2015-2017,True,34.019364474546585,17.082065603066155,48.735347858777715
2017-03-31,7416.546816742482,2017-04-30,-2826.0341932584843,-138.10444756957315,False,True,1376.39584479716,2015-2017,False,60.138392887555895,85.99129642832327,97.48879869512803
2017-06-16,10290.553095606218,2017-07-16,2539.3348319881907,-75.3236312140266,True,True,1929.45720712284,2015-2017,True,117.9483675563307,66.38345558859626,201.8880469820024
2017-08-23,27011.48142176643,2017-09-22,7367.704065185381,-72.72380603587212,True,True,3614.20245493457,2015-2017,True,65.99243471814886,124.44291260140248,337.34476425963396
2017-12-08,15984.664359780463,2018-01-07,11561.900879234045,-27.668791668060788,True,True,16638.8177100675,2018-2019 (bear),True,-53.19686265511814,-42.97112116652622,-58.07281396915496
2018-02-22,8701.777825661315,2018-03-24,573.4105433332734,-93.41042078042602,True,False,8641.7059824982,2018-2019 (bear),False,3.6683707145661826,-12.644380685800405,-28.967501394136118
2018-05-17,3455.482074796936,2018-06-16,-4752.332086729973,-237.5302196296083,False,False,6587.55401722836,2018-2019 (bear),False,1.975823891203743,-4.688920301781907,-1.1180041184109646
2018-12-06,8597.931102068476,2019-01-05,-22596.407939883695,-362.8121541291194,False,False,3872.16119916343,2018-2019 (bear),False,-9.88907852839337,1.1443175267497496,29.88013916063821
2019-06-30,8926.483453423281,2019-07-30,7660.884405007278,-14.178024918991472,True,True,9584.62372200254,2019-2021,True,1.1760291163857017,-12.40957175763665,-3.60791133909667
2019-11-12,5408.58638581584,2019-12-12,-27226.722853635067,-603.3981323666728,False,False,7427.69858326886,2019-2021,False,8.031495474059236,32.5679236080459,10.540502679733631
2020-02-20,7683.3373320644105,2020-03-21,-306.2570434072366,-103.9859898136862,False,False,6373.71211016573,2019-2021,False,9.151160008927729,49.26916699106756,45.91665108144274
2020-04-20,276.15033343254277,2020-05-20,-5266.308417550847,-2007.0440191365133,False,True,9513.98697325318,2019-2021,False,-2.2459533855544778,-3.2094519900052076,25.899842675759423
2020-09-04,1398.7402574870114,2020-10-04,-1353.6833263559267,-196.77874924312007,False,True,10682.7638617614,2019-2021,False,31.223820301544357,82.05832307040741,201.46136809667493
2020-11-17,10789.499291363854,2020-12-17,7891.810972292846,-26.856559705142026,True,True,22819.8456124226,2019-2021,True,58.113077658502846,110.06061390823962,158.39635468026768
2021-01-24,13409.327978213194,2021-02-23,7867.471074179622,-41.32837166066565,True,True,48960.8077850202,2019-2021,True,5.093591711546064,2.5849156488876757,-20.655786345595384
2021-04-29,6115.373559790353,2021-05-29,3862.607737915901,-36.837746702618134,True,False,34612.8980549329,2019-2021,False,-0.4207343181841683,15.586794629491374,41.807865705760115
2021-07-29,4901.119514917272,2021-08-28,-1982.397283180741,-140.44784619405885,False,True,48917.3550126657,2019-2021,False,-13.752160294337035,19.679156931596165,9.815954589247
2021-10-20,3244.0900674373534,2021-11-19,-3380.207392927197,-204.19585531413338,False,True,58157.6002732596,2019-2021,False,-19.672438802474268,-27.109999864266964,-30.23684172873834
2022-06-30,5451.1848539091025,2022-07-30,-4470.150041117085,-182.00327380040125,False,False,23649.5949175304,2022 (bear),False,-14.157669001556151,-17.920127844814093,-12.911611943722745
2022-08-29,60.92962576542054,2022-09-28,-886.4576249899342,-1554.8876902720556,False,False,19411.5572735283,2022 (bear),False,6.102002561141795,-15.412868938429526,-13.96088357768277
2022-12-15,3101.6044357610244,2023-01-14,1198.001296158694,-61.37478775997602,True,True,20955.5153194575,2023-2025,True,3.9942087507145674,16.34329349997612,45.527290475938464
2023-04-20,6267.153800551469,2023-05-20,-6633.422526926547,-205.84425942032647,False,True,27132.4253543435,2023-2025,False,-1.0320978809720494,10.331784662767852,-3.9202865174794432
2023-08-21,4484.791950321322,2023-09-20,53.632331480272114,-98.80412888547863,True,False,27132.0450120978,2023-2025,False,9.415643195561607,37.80458898881997,55.876633508512754
2023-11-02,2500.324791744848,2023-12-02,-14534.559683530591,-681.3068658727201,False,True,39467.4019032871,2023-2025,False,12.000537001298618,7.907430618637634,58.17354916811153
2024-04-03,16533.460170703755,2024-05-03,1400.223455405111,-91.53097149085454,True,True,62977.0583829764,2023-2025,True,7.611124345594056,-1.452943234559123,3.7626076578907597
2024-06-24,3814.3635205525284,2024-07-24,1219.575648206348,-68.02675881218352,True,True,65395.1394213702,2023-2025,True,-1.983283310099293,-2.752579364565233,3.0591693279253818
2024-08-26,2304.9578195822737,2024-09-25,-236.55688762105996,-110.26295950456617,False,False,63148.1998026906,2023-2025,False,5.480217978976576,55.13869824222801,56.21385909330612
2024-11-06,9384.851275844188,2024-12-06,8995.651947602753,-4.147101715327139,True,True,99866.4510373869,2023-2025,True,-1.5216963573636777,-2.0649702661985736,-9.888113887713635
2025-01-07,5702.25502563032,2025-02-06,2549.7179397216687,-55.285796088367235,True,True,96579.8329029594,2023-2025,True,-10.650228131682681,-18.043753598276112,0.5110203588885698
2025-05-27,7628.083035386229,2025-06-26,494.79290714487456,-93.51353538169998,True,True,107017.860392325,2023-2025,True,10.193075564851517,2.96134723967747,5.9201209014989375
2025-07-29,5810.785514809998,2025-08-28,1089.6185960746059,-81.24834252963758,True,True,112592.510028377,2023-2025,True,-2.5759447202571617,1.3777028397333302,-19.616891490997055
2025-10-07,3224.6555034141365,2025-11-06,-2635.005545035066,-181.71432707293005,False,False,101346.26469722,2023-2025,False,-11.92621242480656,-7.396435894603648,-27.902353178319938
2025-12-14,16315.820635758651,2026-01-13,-2711.0580702587963,-116.6161306303962,False,False,95336.3777373708,2026+,False,-30.511180621499555,-25.305579572517047,-21.919477606769423
2026-02-24,293.07154280487447,2026-03-26,-1958.3733253020794,-768.2236380097655,False,False,68786.6301555163,2026+,False,12.881089413725766,12.190520091659462,-11.872409125222106
