Cycle,Date_prev,Date_curr,Price_prev,Price_curr,MVRV_prev,MVRV_curr,Dir_MVRV,Z_prev,Z_curr,Dir_Z,RollMean_prev,RollMean_curr,RollStd_prev,RollStd_curr,Class
2011,2010-09-11,2010-09-19,0.06366,0.0627,1.2150938114828762,1.1914887791046,FLAT,-0.25172616596182856,-0.37785841092835104,TURUN,1.2472953564227636,1.2377838595016488,0.12792291503287886,0.12251965037196745,"DIVERGEN (MVRV naik/flat, Z turun)"
2011,2010-09-19,2010-11-06,0.0627,0.39,1.1914887791046,4.935268678353425,NAIK,-0.37785841092835104,5.434255639802355,NAIK,1.2377838595016488,1.5115974201975382,0.12251965037196745,0.6300165993443043,SEARAH (naik-naik)
2011,2010-11-06,2010-11-14,0.39,0.27904,4.935268678353425,3.235941491284964,TURUN,5.434255639802355,2.1936751635090066,TURUN,1.5115974201975382,1.6170912840172433,0.6300165993443043,0.7379625909053028,SEARAH (turun-turun)
2011,2010-11-14,2010-11-22,0.27904,0.284791867824497,3.235941491284964,3.087482293008412,TURUN,2.1936751635090066,1.7726503089102459,TURUN,1.6170912840172433,1.6983950045107283,0.7379625909053028,0.7836217225221587,SEARAH (turun-turun)
2011,2010-11-22,2010-12-20,0.284791867824497,0.267,3.087482293008412,2.5403721256894354,TURUN,1.7726503089102459,0.9174650896235267,TURUN,1.6983950045107283,1.8289205980190912,0.7836217225221587,0.7754535139449085,SEARAH (turun-turun)
2011,2010-12-20,2011-01-14,0.267,0.4,2.5403721256894354,3.2698887002438224,NAIK,0.9174650896235267,1.7203037234582057,NAIK,1.8289205980190912,1.937900587625445,0.7754535139449085,0.7742749692715746,SEARAH (naik-naik)
2011,2011-01-14,2011-01-22,0.4,0.4441316665,3.2698887002438224,3.4166434785352178,NAIK,1.7203037234582057,1.820384109442809,NAIK,1.937900587625445,1.981312795626427,0.7742749692715746,0.7884768250081698,SEARAH (naik-naik)
2011,2011-01-22,2011-02-09,0.4441316665,1.09,3.4166434785352178,5.373044073647826,NAIK,1.820384109442809,3.386441347485729,NAIK,1.981312795626427,2.1433625054959182,0.7884768250081698,0.9537095838230867,SEARAH (naik-naik)
2011,2011-02-09,2011-02-24,1.09,0.99189348733234,5.373044073647826,4.051895780832834,TURUN,3.386441347485729,1.6391315547321692,TURUN,2.1433625054959182,2.2879666999570816,0.9537095838230867,1.0761363697643993,SEARAH (turun-turun)
2011,2011-02-24,2011-03-10,0.99189348733234,0.9329,4.051895780832834,3.083395832465564,TURUN,1.6391315547321692,0.693767953057381,TURUN,2.2879666999570816,2.3422610832036357,1.0761363697643993,1.0682746961657792,SEARAH (turun-turun)
