date,btc_price,mvrv_ratio,asopr,ath_running,is_ath,fg,cycle
2020-11-30,19667.5007343055,2.6277438278730343,1.0976004586466015,19667.5007343055,True,88,2021
2020-12-19,23861.6771924341,2.896934262347092,1.0957388328608928,23861.6771924341,True,93,2021
2021-01-08,40736.1542479504,3.772275928052592,1.2315345665471775,40736.1542479504,True,93,2021
2021-02-21,57550.822756313,3.9535799136871863,1.1147651094901048,57550.822756313,True,91,2021
2021-03-13,61186.2710771734,3.7766375411937054,1.08764233146666,61186.2710771734,True,74,2021
2021-04-13,63551.3265337792,3.434919054044834,1.0793939385004463,63551.3265337792,True,74,2021
2021-10-20,66026.7013385388,2.922917460299588,1.0730313213760712,66026.7013385388,True,82,2021
2021-11-08,67524.6959548011,2.850871175078494,1.067375182411464,67524.6959548011,True,75,2021
2024-03-13,73094.9843905541,2.7451816325625367,1.2124311804642802,73094.9843905541,True,81,2023-2025 (current)
2024-11-22,98943.4977548279,2.7262885349967654,1.1042934873381225,98943.4977548279,True,94,2023-2025 (current)
2024-12-17,106168.858284328,2.6834475856088624,1.0994198764117078,106168.858284328,True,87,2023-2025 (current)
2025-01-21,106188.135939294,2.523366029370949,1.0609848301929814,106188.135939294,True,76,2023-2025 (current)
2025-05-22,111695.395495789,2.4232786680215783,1.0554664465965873,111695.395495789,True,72,2023-2025 (current)
2025-07-14,119831.19623272,2.4114037459113757,1.0594676538400347,119831.19623272,True,74,2023-2025 (current)
2025-07-22,119963.29839406,2.3649857625017168,1.0581636625816744,119963.29839406,True,72,2023-2025 (current)
2025-08-13,123313.782043878,2.377162321192981,1.0322327892285492,123313.782043878,True,73,2023-2025 (current)
2025-10-06,124714.848516762,2.284994486885519,1.0293232428281638,124714.848516762,True,71,2023-2025 (current)
