Cycle,Date_prev,Date_curr,Price_prev,Price_curr,MVRV_prev,MVRV_curr,Dir_MVRV,Z_prev,Z_curr,Dir_Z
2011,2010-09-11,2010-09-19,0.06366,0.0627,1.2150938114828762,1.1914887791046,FLAT,-0.2517261659618285,-0.377858410928351,TURUN
2011,2011-07-10,2011-07-25,14.8881160955087,13.9854206262563,2.0703031256942337,1.9941833250871328,TURUN,-0.5225187376198446,-0.5896445041072489,FLAT
2011,2011-09-20,2011-10-29,6.11216519130136,3.58218725511097,1.0211639083574722,0.6412186959779118,TURUN,-1.3556113736379645,-1.453008242683592,FLAT
2011,2011-10-29,2011-11-11,3.58218725511097,3.07798387122402,0.6412186959779118,0.5763003593841154,TURUN,-1.453008242683592,-1.3882203741097492,FLAT
2013,2012-01-08,2012-01-15,7.11248788330686,7.00433279619814,1.4007663468645393,1.3568438191828398,TURUN,-0.5605580915435573,-0.5678957614267319,FLAT
2013,2012-01-15,2012-02-02,7.00433279619814,6.10119269354221,1.3568438191828398,1.1823710615751652,TURUN,-0.5678957614267319,-0.6141608874535179,FLAT
2013,2012-02-02,2012-02-10,6.10119269354221,5.92145820833532,1.1823710615751652,1.1497191342714703,TURUN,-0.6141608874535179,-0.6002133823730285,FLAT
2013,2012-02-10,2012-02-24,5.92145820833532,5.02717828094935,1.1497191342714703,1.005419168289144,TURUN,-0.6002133823730285,-0.6304395514315068,FLAT
2013,2012-03-14,2012-04-02,5.3846357454765,4.97400279171384,1.0836292799422331,1.02418355409467,TURUN,-0.5105903543633536,-0.4970115199841157,FLAT
2013,2012-04-20,2012-05-03,5.35009038822879,5.1451001062097,1.096531113719032,1.0541243306516654,TURUN,-0.3993262922658406,-0.3694023077024636,FLAT
2013,2012-09-19,2012-10-03,12.5416558889025,12.8571830959704,1.9534049636622888,1.9212168856692016,FLAT,1.9831216368659763,1.7269236282864198,TURUN
2013,2013-07-30,2013-08-06,107.24868320938,106.449939130565,2.087812175827544,2.031625739268464,TURUN,-0.2285864342032913,-0.3068357778893252,FLAT
2013,2014-07-02,2014-07-12,654.638678058191,636.214094287588,1.8450514456138616,1.7794873710083234,TURUN,-0.506221559553952,-0.588760924175076,FLAT
2013,2014-09-23,2014-10-14,438.947355668582,399.092928913598,1.2354162038430283,1.1531161538823853,TURUN,-0.994199442650651,-0.9740511895857072,FLAT
2013,2014-12-14,2014-12-23,354.05950516405,336.252902313939,1.0711846234504878,1.0259492551618266,TURUN,-1.0876424538989586,-1.1259324039241545,FLAT
2017,2015-02-14,2015-02-21,256.9579253513,245.639535020527,0.8409806792617263,0.8059559491794437,TURUN,-1.379457314082318,-1.4210034686856363,FLAT
2017,2015-07-12,2015-07-28,311.378145060733,295.182971760849,1.0748947449907649,1.0194568956333392,TURUN,0.2185809457176789,0.1578746402965071,FLAT
2017,2016-02-21,2016-02-29,440.687369252635,438.681150185598,1.4360423247206002,1.420874938469527,FLAT,1.863919634552793,1.7029211575063636,TURUN
2017,2016-03-27,2016-04-05,427.513979279589,424.630066540869,1.370302826039572,1.3564919767649657,FLAT,1.288931640902481,1.174281613513327,TURUN
2017,2016-04-26,2016-05-09,468.155955224252,462.133788324292,1.4703626126166218,1.4423378755337042,FLAT,1.493645362981184,1.2914139268005844,TURUN
2017,2016-08-08,2016-08-22,595.920804676835,588.554394168369,1.6213336101869684,1.597679154026359,FLAT,0.9181732859146324,0.7827142623146996,TURUN
2017,2017-05-24,2017-06-11,2491.18130563493,2976.89313994215,3.5600111208024785,3.61161613040938,FLAT,4.419536368065001,3.406773234286716,TURUN
2017,2017-10-14,2017-10-21,5824.80067993663,6033.14066647698,3.1336221845854,3.090618886904744,FLAT,1.5715104235110722,1.4357004629314882,TURUN
2017,2018-01-28,2018-02-20,11881.8509901958,11338.0322555782,2.1682862009184163,2.116282752098263,TURUN,-1.131849847125644,-1.0968737298671647,FLAT
2017,2018-05-20,2018-06-03,8492.59917265101,7689.38782099348,1.5699734733658055,1.4315437214063418,TURUN,-1.3581763883933786,-1.4197595310220887,FLAT
2017,2018-06-03,2018-06-19,7689.38782099348,6779.1185915568,1.4315437214063418,1.2818311306160712,TURUN,-1.4197595310220887,-1.4809797930798132,FLAT
