date,proxy_median_mvrv,proxy_btc_price,official_median_mvrv,official_median_rp,official_btc_price,abs_diff,pct_diff
2010-07-17,1.0002003008210698,0.04951,0.9936287810471945,0.0498274616681503,0.04951,0.006571519773875267,0.6613656829615465
2010-07-18,1.734114451033389,0.08584,1.7224089806221556,0.04983717628376132,0.08584,0.011705470411233376,0.6795987795538093
2010-07-19,1.6320575904037102,0.0808,1.6210205283507404,0.049845142974350595,0.0808,0.011037062052969837,0.680871207979036
2010-07-20,1.5098907495055665,0.07474,1.4993120587290163,0.049849529032240256,0.07474,0.01057869077655016,0.7055696454224369
2010-07-21,1.5999246843766788,0.07921,1.5888154980713687,0.04985475034461297,0.07921,0.011109186305310104,0.6992118542898985
2010-07-22,1.1000468084818835,0.05446,1.0922564259839336,0.04986008661010256,0.05446,0.007790382497949944,0.713237506561901
2010-07-23,1.26069268388981,0.0624138775510204,1.2516565368396975,0.049865019447434794,0.0624138775510204,0.009036147050112575,0.7219350344246918
2010-07-24,1.101793297785822,0.05454,1.0935101146143242,0.04987608186800905,0.05454,0.008283183171497788,0.757485738887676
2010-07-25,1.0201201584078137,0.0505,1.0123547872791727,0.04988369752833879,0.0505,0.007765371128640952,0.7670602466859802
2010-07-26,1.131125580585285,0.056,1.1222128174843091,0.04990140829574244,0.056,0.008912763100975774,0.7942132688303922
2010-07-27,1.2121083394929866,0.06,1.2022489044896347,0.04990647092789036,0.06,0.009859435003351846,0.8200826772670059
2010-07-28,1.1898536852866926,0.0589,1.1801150604038333,0.04991038753445323,0.0589,0.00973862488285926,0.825226726580942
2010-07-29,1.411329530487577,0.0698625662193553,1.3996857748263711,0.04991303582264501,0.0698625662193553,0.011643755661205901,0.8318835463374122
2010-07-30,1.2666400967541513,0.0627,1.2561002347082144,0.04991639860219029,0.0627,0.010539862045936932,0.8390940272680777
2010-07-31,1.3705125337369588,0.06785,1.35917568135857,0.049919963203123405,0.06785,0.011336852378388773,0.8340976471163001
2010-08-01,1.2341792264041838,0.0611,1.2238577581293082,0.04992410236741287,0.0611,0.010321468274875567,0.8433552188819838
2010-08-02,1.214018033117519,0.06010568,1.2038521218410514,0.049927793380536115,0.06010568,0.010165911276467599,0.8444485075891935
2010-08-03,1.211942440111167,0.06,1.201625342932346,0.049932368980818105,0.06,0.0103170971788209,0.8585951719064046
2010-08-04,1.1570998033009376,0.0572824939363675,1.1470951916671712,0.04993700117695897,0.0572824939363675,0.010004611633766425,0.872169259050408
2010-08-05,1.2321790810005224,0.061,1.2214550628876428,0.04994043731399324,0.061,0.010724018112879596,0.8779707447875272
2010-08-06,1.2585320273526803,0.0623,1.2473930707898337,0.04994416071315229,0.0623,0.01113895656284658,0.8929788711904205
2010-08-07,1.1918263617577418,0.059,1.181237268595035,0.049947628278080546,0.059,0.010589093162706842,0.8964408289709248
2010-08-08,1.230095627703003,0.0609,1.219191212890324,0.04995114741323062,0.0609,0.01090441481267912,0.8943974248984404
2010-08-09,1.428123929250804,0.0707,1.4152419923022637,0.049956120850390986,0.0707,0.012881936948540229,0.9102285699977265
2010-08-10,1.4138747250007557,0.07,1.401130183663193,0.04995966885602885,0.07,0.012744541337562643,0.9095900927808579
2010-08-11,1.3533989333340677,0.067,1.3409668253938523,0.049963950435777255,0.067,0.012432107940215431,0.9271003357270994
2010-08-12,1.4138845783799885,0.07,1.4009169297071773,0.04996727394438124,0.07,0.012967648672811194,0.9256543623554981
2010-08-13,1.302951635728018,0.0645,1.290698569997136,0.049972938298167575,0.0645,0.012253065730881918,0.9493359654771374
2010-08-14,1.3532832690236554,0.067,1.3406123505559673,0.049977161535334456,0.067,0.012670918467688086,0.9451590135234328
2010-08-15,1.3189350028187379,0.06529,1.3062926986430743,0.04998114133824731,0.06529,0.012642304175663588,0.967800263202567
2010-08-16,1.3231391753110628,0.0655,1.3103895342834078,0.04998513669892744,0.0655,0.012749641027655079,0.9729657246253326
2010-08-17,1.4141256940682752,0.07,1.4003578252382602,0.04998722379266887,0.07,0.013767868830014907,0.9831679147915218
2010-08-18,1.3736165447798894,0.068,1.360252989312229,0.04999070065222364,0.068,0.013363555467660326,0.9824316191664615
2010-08-19,1.3473590374468718,0.0667,1.3341943512687833,0.04999271653081882,0.0667,0.013164686178088525,0.9867142793378836
2010-08-20,1.322976964646944,0.0655,1.3101044212908923,0.04999601477221222,0.0655,0.012872543356051702,0.98255857677115
2010-08-21,1.3411583037180599,0.0664,1.3279753031175805,0.05000092986979357,0.0664,0.013183000600479389,0.9927142899066512
2010-08-22,1.3331002569954382,0.066,1.3198493066783112,0.050005708732085034,0.066,0.013250950317126975,1.0039744878508807
2010-08-23,1.3111913185465796,0.06491,1.2979716813511961,0.050008795209174596,0.06491,0.013219637195383438,1.0184842539570447
2010-08-24,1.3130556684182166,0.065,1.2996813140045185,0.05001226015916547,0.065,0.013374354413698164,1.029048757536547
2010-08-25,1.308956104932214,0.0648,1.2955990147061087,0.05001547489961553,0.0648,0.013357090226105317,1.0309586588513433
2010-08-26,1.2928436763865414,0.064,1.279523128553707,0.05001863473334914,0.064,0.013320547832834428,1.0410556507791418
2010-08-27,1.3128751641396865,0.065,1.2994317911993927,0.050021863740923364,0.065,0.013443372940293852,1.0345577991350698
2010-08-28,1.3049198768453587,0.0645982546728972,1.291336729115222,0.050024329995753805,0.0645982546728972,0.013583147730136691,1.0518672181998092
2010-08-29,1.2929151590490457,0.064,1.2793127920527223,0.050026858480253886,0.064,0.013602366996323445,1.0632557636274205
2010-08-30,1.3124636217040828,0.06497,1.2986400542795304,0.05002925929005367,0.06497,0.013823567424552374,1.0644648899437743
2010-08-31,1.2119526295501668,0.06,1.1992008028790941,0.05003332207245805,0.06,0.012751826671072664,1.0633604180765655
2010-09-01,1.2705187318707227,0.0629,1.2570984809607086,0.05003585713661042,0.0629,0.013420250910014087,1.0675576427200808
2010-09-02,1.2807589344246848,0.0634,1.2670314126791609,0.05003822270352362,0.0634,0.01372752174552394,1.083439732287051
2010-09-03,1.229195667773353,0.06085,1.2160024643526914,0.05004101700763574,0.06085,0.013193203420661659,1.0849651877707938
2010-09-04,1.2601185662439565,0.06238,1.2465113765231661,0.05004366680871659,0.06238,0.013607189720790336,1.091621783568812
2010-09-05,1.2451614575165408,0.06163975,1.2316317776370602,0.05004722281383367,0.06163975,0.013529679879480616,1.0985166285200842
2010-09-06,1.244286115836106,0.0616,1.2307796374873237,0.050049576807882835,0.0616,0.01350647834878238,1.097392086885374
2010-09-07,1.2323488144010586,0.0610028889147648,1.2187669311188318,0.05005295709718999,0.0610028889147648,0.013581883282226759,1.1143954545729715
2010-09-08,1.2376042425215819,0.0612664420040746,1.2239714065584526,0.05005545201120573,0.0612664420040746,0.013632835963129253,1.113819807397453
2010-09-09,1.2344787582648227,0.06111,1.2206891787814993,0.050061883944117896,0.06111,0.013789579483323378,1.1296552572939358
2010-09-10,1.248236788436322,0.0618,1.2344069101349437,0.05006452855423833,0.0618,0.013829878301378162,1.1203662412960973
2010-09-11,1.2858508499296248,0.06366,1.2714990525206384,0.050066887485129836,0.06366,0.0143517974089864,1.1287304839539742
2010-09-12,1.2422762238722433,0.0615,1.2282736901444369,0.05007027382697418,0.0615,0.014002533727806465,1.1400173951588801
2010-09-13,1.2560729001813324,0.0621824198330189,1.241838546503756,0.05007286978495382,0.0621824198330189,0.014234353677576417,1.1462322310457742
2010-09-14,1.2522792015120974,0.06199,1.2379157962171483,0.05007610387510239,0.06199,0.014363405294949061,1.1602893620746326
2010-09-15,1.220141002496663,0.0604,1.206079787227013,0.050079605544895246,0.0604,0.014061215269649985,1.1658611162018693
2010-09-16,1.2498492029982733,0.0618747945205479,1.2353731992159256,0.05008591295312136,0.0618747945205479,0.014476003782347702,1.1717919565954176
2010-09-17,1.207885219979857,0.0597976861530533,1.1936013879110328,0.05009853939404972,0.0597976861530533,0.014283832068824331,1.19670035687735
2010-09-18,1.2322160679220728,0.061,1.2175085014743283,0.050102319553524864,0.061,0.014707566447744513,1.2080052360976987
2010-09-19,1.2665264668907465,0.0627,1.2513567586652004,0.050105615018119186,0.0627,0.015169708225546197,1.212260861700819
2010-09-20,1.2543554676640238,0.0621,1.239304247813218,0.05010876070954888,0.0621,0.01505121985080593,1.2144894909675465
2010-09-21,1.265565832577327,0.06265,1.2502143463521767,0.05011140704215846,0.06265,0.015351486225150257,1.2279083398732533
2010-09-22,1.2563778583224494,0.0622,1.2411583870242326,0.0501144742284899,0.0622,0.015219471298216769,1.2262311931603311
2010-09-23,1.2586957727169066,0.06231,1.2432496915219484,0.05011865309511719,0.06231,0.015446081194958161,1.242395739189731
2010-09-24,1.2564441068124412,0.0622,1.240963862172549,0.05012232982442114,0.0622,0.015480244639892282,1.2474371826421358
2010-09-25,1.252733549029353,0.06202,1.237296815688474,0.050125401773938906,0.06202,0.015436733340878916,1.2476176407428474
2010-09-26,1.2528597433344475,0.06202171,1.237254670314016,0.05012849131881544,0.06202171,0.01560507302043157,1.261266042864966
2010-09-27,1.2564015702939197,0.0622009295539808,1.2405820919027035,0.05013850349764609,0.0622009295539808,0.015819478391216224,1.2751657866472665
2010-09-28,1.2502630647710427,0.0619,1.234020552769399,0.05016123909855757,0.0619,0.016242512001643616,1.3162270243548244
2010-09-29,1.2503987582928782,0.0619004290909091,1.2339357822176904,0.05016503288336334,0.0619004290909091,0.016462976075187763,1.334184186279102
2010-09-30,1.2503566042947754,0.0619,1.2338727394419153,0.05016724822690999,0.0619,0.01648386485286002,1.3359452985658575
2010-10-01,1.2517175902118607,0.06197,1.2349771578793312,0.050179065745971516,0.06197,0.01674043233252953,1.355525665047582
