date,btc_price,sth_cost_basis,ratio,rolling_std,lower_1sd,lower_2sd,zone
2010-07-17,0.04951,0.049509998410942,1.0000000320956988,,,,
2010-07-18,0.08584,0.0503155590495831,1.7060329174800504,,,,
2010-07-19,0.0808,0.0508544215241861,1.5888490632338022,,,,
2010-07-20,0.07474,0.0510672787045354,1.463559482627418,,,,
2010-07-21,0.07921,0.0514090871788624,1.540778184300622,,,,
2010-07-22,0.05446,0.0511617258334026,1.0644676095825527,,,,
2010-07-23,0.0624138775510204,0.0512931720410393,1.2168067418619286,,,,
2010-07-24,0.05454,0.0513739767226626,1.0616269846975028,,,,
2010-07-25,0.0505,0.0513237229610453,0.9839504440924813,,,,
2010-07-26,0.056,0.0514951613300043,1.0874808147726085,,,,
2010-07-27,0.06,0.0516021326335648,1.1627426413956536,,,,
2010-07-28,0.0589,0.0517330052624737,1.138538147961126,,,,
2010-07-29,0.0698625662193553,0.0519106768466108,1.345822679711728,,,,
2010-07-30,0.0627,0.0520078970548151,1.205586142695131,,,,
2010-07-31,0.06785,0.0521805666463921,1.3002925104243062,,,,
2010-08-01,0.0611,0.0523075876716958,1.1680905719355488,,,,
2010-08-02,0.06010568,0.052327815123526,1.14863729467996,,,,
2010-08-03,0.06,0.0523768478341325,1.1455443097684794,,,,
2010-08-04,0.0572824939363675,0.0524220328024882,1.092717906461052,,,,
2010-08-05,0.061,0.0524935863059773,1.1620467240405348,,,,
2010-08-06,0.0623,0.0525934036406128,1.184559197303818,,,,
2010-08-07,0.059,0.0526294742085931,1.1210448306239538,,,,
2010-08-08,0.0609,0.0527475564477012,1.154555852466491,,,,
2010-08-09,0.0707,0.0532187720989027,1.328478602787187,,,,
2010-08-10,0.07,0.0533814503055869,1.3113169387358103,,,,
2010-08-11,0.067,0.0534879796737875,1.2526178855253014,,,,
2010-08-12,0.07,0.053638745181118,1.3050268003779015,,,,
2010-08-13,0.0645,0.0537611617406067,1.1997508593881832,,,,
2010-08-14,0.067,0.0538922273376331,1.243221950732285,,,,
2010-08-15,0.06529,0.0539942955247855,1.2092018122549508,,,,
2010-08-16,0.0655,0.0541192459497367,1.2102903292635154,,,,
2010-08-17,0.07,0.0542616926964685,1.2900445327345234,,,,
2010-08-18,0.068,0.0543841730812575,1.250363775843361,,,,
2010-08-19,0.0667,0.0544526066367833,1.2249184037214382,,,,
2010-08-20,0.0655,0.0545271994481406,1.2012353589201907,,,,
2010-08-21,0.0664,0.054669048918176,1.2145812175986799,,,,
2010-08-22,0.066,0.0548045609300026,1.2042793315011944,,,,
2010-08-23,0.06491,0.0548781785057868,1.1828016484394677,,,,
2010-08-24,0.065,0.0549739650859302,1.1823778746611788,,,,
2010-08-25,0.0648,0.0550597313032013,1.1769036729068159,,,,
2010-08-26,0.064,0.0551289633689058,1.1609142651881914,,,,
2010-08-27,0.065,0.0552274877006914,1.1769501512049816,,,,
2010-08-28,0.0645982546728972,0.0552968743009067,1.1682080676273956,,,,
2010-08-29,0.064,0.0553509681473806,1.1562580049113143,,,,
2010-08-30,0.06497,0.0554171300256838,1.1723811747358408,,,,
2010-08-31,0.06,0.0554096618810661,1.0828436406774475,,,,
2010-09-01,0.0629,0.055458007748283,1.1341914820578352,,,,
2010-09-02,0.0634,0.0555207867155258,1.1419146548633263,,,,
2010-09-03,0.06085,0.0555348302936311,1.0957087593185364,,,,
2010-09-04,0.06238,0.0555820364219593,1.122305047019741,,,,
2010-09-05,0.06163975,0.0556671223232299,1.1072918345246978,,,,
2010-09-06,0.0616,0.0556654347998287,1.1066113149302044,,,,
2010-09-07,0.0610028889147648,0.0557136572185616,1.0949359988243785,,,,
2010-09-08,0.0612664420040746,0.0557665944815184,1.0986226176027103,,,,
2010-09-09,0.06111,0.0558802756126889,1.093588020638244,,,,
2010-09-10,0.0618,0.0559293961071023,1.1049645499775425,,,,
2010-09-11,0.06366,0.0559774567248913,1.1372435213136884,,,,
2010-09-12,0.0615,0.0560280420962859,1.0976646282643674,,,,
