coin,network,address,balance,Height,Third party custodian name
USDC,ETH,0x18e226459ccf0eec276514a4fd3b226d8961e4d1,0.0,25878704,
USDC,ETH,0xe1940f578743367f38d3f25c2d2d32d6636929b6,1699999999.0,25878704,
USDC,ARBITRUM,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055,107170502.9,500455224,
USDC,ETH,0x28c6c06298d514db089934071355e5743bf21d60,50828.46732,25878704,
USDC,ETH,0xad354cfbaa4a8572dd6df021514a3931a8329ef5,1400000001.0,25878704,
USDC,ETH,0x3a3c006053a9b40286b9951a11be4c5808c11dc8,2.000845,25878704,Ceffu
USDC,ETH,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,403.251567,25878704,
USDC,ETH,0x9696f59e4d72e237be84ffd425dcad154bf96976,1270.228217,25878704,
USDC,ETH,0x21a31ee1afc51d94c2efccaa2092ad1028285549,1590.184919,25878704,
USDC,ETH,0x71a7de1bdad3904b312717843597f549d2a79eb8,0.0,25878704,Ceffu
USDC,ETH,0x4aec0e98fc1fb55b9cc2faaa7a81acca42cb4e96,0.0012,25878704,
USDC,ETH,0xa7c0d36c4698981fab42a7d8c783674c6fe2592d,0.0,25878704,
USDC,ETH,0x835678a611b28684005a5e2233695fb6cbbb0007,0.0,25878704,
USDC,ETH,0xb93b82f33e2653b544e046128f3cb47879dc917b,32609393.93,25878704,Ceffu
USDC,ETH,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,1343.599631,25878704,
USDC,ETH,0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,0.0112,25878704,Ceffu
USDC,ETH,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,302.419621,25878704,
USDC,LINEA,0x4ed6cf63bd9c009d247ee51224fc1c7041f517f1,0.0,31896444,
USDC,ETH,0x87433fec6f8d9df13d1e17c4b11364ecd2e93a51,2.493186,25878704,
USDC,ETH,0x4a9e49a45a4b2545cb177f79c7381a30e1dc261f,0.0,25878704,Ceffu
USDC,ETH,0x030e37ddd7df1b43db172b23916d523f1599c6cb,0.0,25878704,
USDC,ETH,0x5a52e96bacdabb82fd05763e25335261b270efcb,0.0,25878704,
USDC,ETH,0x38aaef3782910bdd9ea3566c839788af6ff9b200,1341277873.0,25878704,
USDC,ETH,0x4ed6cf63bd9c009d247ee51224fc1c7041f517f1,0.0,25878704,
USDC,LINEA,0xf977814e90da44bfa03b6295a0616a897441acec,0.0,31896444,
USDC,STARKNET,0x0213c67ed78bc280887234fe5ed5e77272465317978ae86c25a71531d9332a2d,541352.4062,14172969,
USDC,XLM,GBAIA5U6E3FSRUW55AXACIVGX2QR5JYAS74OWLED3S22EGXVYEHPLGPA,1675167.198,64216184,
USDC,TRX,TVGDpgtCs45PJE7ZMHhiC76L3v77qAwJW9,5.91822,85849746,Ceffu
USDC,TRX,TRGCqsUXeynKTgynp2j9g3sg7Nux2KtB3u,1e-06,85849746,
USDC,TRX,TKoMMAMrDCUY212N6M4pzmYABtgkgo7XZn,0.0,85849746,Ceffu
USDC,TRX,TYASr5UV6HEcXatwdFQfmLVUqQQQMUxHLS,0.0,85849746,
USDC,TRX,TQrY8tryqsYVCYS3MFbtffiPp2ccyn4STm,0.0,85849746,
USDC,TRX,TAzsQ9Gx8eqFNFSKbeXrbi45CuVPHzA8wr,0.0,85849746,
USDC,TRX,TDqSquXBgUCLYvYC4XZgrprLK589dkhSCf,79913.95874,85849746,
USDC,TRX,TJDENsfBJs4RFETt1X1W8wMDc8M5XnJhCe,0.0,85849746,
USDC,TRX,TNXoiAJ3dct8Fjg4M9fkLFh9S2v9TXc32G,0.681669,85849746,
USDC,TRX,TQq26fUorctUZvrAgKg8Wz6QyYHvYd6xWK,0.0,85849746,Ceffu
USDC,TRX,TWd4WrZ9wn84f5x1hZhL4DHvk738ns5jwb,0.0,85849746,
USDC,TRX,TJCo98saj6WND61g1uuKwJ9GMWMT9WkJFo,0.0,85849746,
USDC,TRX,TMuA6YqfCeX8EhbfYEg5y7S4DqzSJireY9,0.0,85849746,
USDC,NEAR,5c33c6218d47e00ef229f60da78d0897e1ee9665312550b8afd5f9c7bc6957d2,10813231.8,213761241,
USDC,ALGO,MTCEM5YJJSYGW2RCXYXGE4SXLSPUUEJKQAWG2GUX6CNN72KQ3XPJCM6NOI,412770.365,64610362,
USDC,WLD,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055,148788.045,34442580,
USDC,STATEMINT,13vg3Mrxm3GL9eXxLsGgLYRueiwFCiMbkdHBL4ZN5aob5D4N,5624006.59,20119207,
USDC,STATEMINT,1qnJN7FViy3HZaxZK9tGAA71zxHSBeUweirKqCaox4t8GT7,4.731572,20119207,
USDC,OPTIMISM,0xacd03d601e5bb1b275bb94076ff46ed9d753435a,25.292665,156311011,
USDC,OPTIMISM,0x5a52e96bacdabb82fd05763e25335261b270efcb,0.0,156311011,
USDC,RON,0x030e37ddd7df1b43db172b23916d523f1599c6cb,0.0,60376006,
USDC,RON,0x5a52e96bacdabb82fd05763e25335261b270efcb,0.0,60376006,
USDC,OPTIMISM,0x8c991b8bb43859d2f3dff541eb43add2ce92505f,0.0,156311011,
USDC,OPTIMISM,0x4ed6cf63bd9c009d247ee51224fc1c7041f517f1,0.0,156311011,
USDC,BASE,0x4ed6cf63bd9c009d247ee51224fc1c7041f517f1,0.0,50715726,
USDC,BASE,0xf977814e90da44bfa03b6295a0616a897441acec,15115.03505,50715726,
USDC,BASE,0x18e226459ccf0eec276514a4fd3b226d8961e4d1,0.0,50715726,
