,binance-cex,okx,bitfinex,robinhood,gemini,bybit,crypto-com,htx,kucoin,bitstamp,deribit,bitkub,gate,bitget,mexc,bitmex,swissborg,korbit,phemex,probit-global,woo-x,bake.io,bingx,coinsquare,toobit,coinw,coindcx,fastex,nbx,okcoin,bitvenus,coinstore,coin8,exmo,flipster,nonkyc,bitrue,latoken,bitmart,btse,hashkey-exchange,biconomy.com,pionex,bitunix,blofin,backpack,hotcoin,ourbit,indodax,tothemoon,hashkey-global,p2pb2b,orangex,bigone,arkham-exchange,hibt,lbank,tradeogre,bitomato,zoomex,coinex,nexo,poloniex,cex.io,bitlo,valr,bitkan,voyager,gate-us,levex,weex,bydfi,osl-exchange,byte-exchange,grovex,bitvavo,sclite,webot,niza,websea
2024-05-17,38044679564.47799,8174952772.18072,12807696094.26713,9088236107.51769,,3368164740.87102,3238611922.45221,1520798499.7894502,892100276.2952499,1538248062.09371,2011220668.40395,,1083010602.34783,405863604.98684,135667861.36696002,835654686.68981,420595715.70787,440666216.09615,134716522.91382,,28053872.37009,1.17488,,81423079.0162,,755096.23404,64310250.17247,0.0,1495500.74383,5453925.756580001,4949601.07945,,,,3500476.61941,165740.70656,,0.39161,25071.816049999998,1305380.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,192623.97360000003,,,,,,0,,,,,,,,,,,,
2024-05-18,38829285840.50185,8369061096.83423,13093642190.572641,9368120826.77598,,3406394841.9154096,3336097728.14081,1554246299.21998,911327248.0135499,1557462089.6583998,2048010446.98759,,1107746985.81248,418860866.29222,137426921.80309,854590678.8382,429955352.76478,451205525.60460997,137769208.52858,,25646601.012950003,1.20294,,83268131.55056,,990996.73415,66193733.2902,0.0,1518431.97974,5484807.864979999,5061684.40462,,,,3579797.6588,126633.34169,,0.40049,25607.72779,1334960.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,244268.03178999998,,,,,,0,,,,,,,,,,,,
2024-05-19,38893633059.52996,8413136016.423161,13110979057.737629,9384061713.64944,,3385655685.06172,3306264295.50759,1547994163.50808,913355643.36956,1557276849.66936,2059791818.62939,,1114981956.4626799,423937618.25614,137497143.48858,856242297.81481,430309751.26661,451522838.91276,138035467.11161,,25783158.201449998,1.20523,,83429059.05355,,1029351.77622,66326950.3121,0.0,1520407.29912,5496626.38446,5071945.93552,,,,3586716.12674,119308.88775,,0.40126,25572.39176,1337540.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,244348.22194999998,,,,,,0,,,,,,,,,,,,
2024-05-20,38649101803.6028,8382059141.68529,13005693558.23051,9315320786.16879,,3346110800.8249097,3304204617.11261,1533198738.3995302,906265662.23785,1523824181.97227,2045347658.75824,,1105751277.8118598,420146289.72386,138355801.67473,849955905.83404,427167015.48632,448207650.90299004,137022033.28007,,24795920.59144,1.19453,,82816536.54215,,953543.06422,65776957.3602,0.0,1694923.37526,5428863.40072,5034213.00739,,,,3560383.04334,112239.29084,,0.39832,25308.08239,1327720.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,242283.12170000002,,,,,,0,,,,,,,,,,,,
2024-05-21,40318779454.42513,8813733806.30428,13628776982.50639,9734519522.46087,,3425338095.25851,3475918936.35103,1612565473.93612,951450513.6187899,1616472341.19077,2155784645.89582,,1147052484.20817,377261655.96423,144913968.27912,891617651.29419,447458023.59654003,470177469.46259,143738354.43654,,25232071.06506,1.25352,,86875901.61774,,970964.24692,68874358.78602,0.0,1778002.34768,5692366.784440001,5281823.89212,,,,3734900.05631,107398.24514,,0.41784,26517.09698,1393980.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,184764.79823000001,,,,,,0,,,,,,,,,,,,
2024-05-22,40925077273.699104,8893076287.461079,13793147233.38322,9731638118.5019,,3394264183.78958,3507506588.4823203,1616726529.34745,954515774.3321899,1618876427.0192401,2169990832.715,,1146250574.95849,389652982.18496996,142108989.80228,893128433.61088,446978626.74743,472148342.95462,143981908.79931,,27877044.15648,1.26396,,87240171.62452,,1347332.62731,68327920.20903,0.0,1551587.95621,7316316.58342,5290757.40209,,,,3741228.57737,104282.43104,,0.41855,26487.94258,1395160.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,184967.81922,,,,,,0,,,,,,,,,,,,
2024-05-23,40480011763.16091,8929752977.10545,13899156482.81934,9636246238.6514,,3363978606.04518,3483770977.3128,1611725467.8307998,950313389.3743501,1600291458.42686,2141040716.45343,,1152704202.9832,366520231.50362,141434285.88712,889556328.9150801,442123047.35797,467841664.42906,143024203.50841,,28193942.00143,1.24729,,86675054.114,,598969.8079,68054628.40189001,0.0,1402643.17347,7290320.44284,5269273.9760300005,,,,3726265.37927,106984.07672,,0.41576,26322.10291,1389580.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,184324.71521,,,,,,0,,,,,,,,,,,,
2024-05-24,39765532680.1101,8842180624.25636,13751198747.48316,9444570797.34074,,3298300833.52875,3417811754.13624,1579144212.29212,941765681.39433,1484331877.70314,2101494131.54684,,1117012359.11846,148000472.8937,138819036.13831,869211978.21498,430537362.80931,456336928.16626,139507113.38837,,28408916.88357,1.22051,,84692776.57708,,438284.0147,68093792.23617,0.0,1498967.38728,7008033.742969999,5147816.83449,,,,3641044.87109,72419.12792,,0.40554,25651.02502,1357800.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,3908982.4919,,,,,,0,,,,,,,,,,,,
2024-05-25,40280684967.77166,8963706338.77626,14073560710.05131,9594428098.3549,,3356553182.61159,3457804568.67342,1596914976.35842,958413339.21715,1486750416.04593,2143674326.33081,,1127921547.8434098,150827830.45319,141123827.67138,881771957.2779399,437911203.368,464202030.64243,141911696.71574,,29133934.02703,1.2339,,85916574.09987,,482032.20734,69077684.17177,0.0,1502242.56968,7258633.46238,5222401.87386,,,,3693657.40635,64417.9572,,0.41253,25929.36226,1377420.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,3911841.6553399996,,,,,,0,,,,,,,,,,,,
2024-05-26,40462167924.58639,9028540573.21378,14184810562.07982,9660123150.31968,,3366994616.91846,3482511324.04231,1602846159.38501,965351963.81275,1500389582.41757,2151300184.96087,,1146795929.36241,152252862.44651002,141744074.19535,885484897.75871,439093769.20646,466193814.09505004,142520582.62268,,29163481.696099997,1.24828,,86278349.10661,,558775.77387,69368457.62235,0.0,1508688.08722,7289687.8061999995,5244788.60556,,,,3709210.55133,70227.20853,,0.4143,25918.77217,1383220.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,3932658.0713799996,,,,,,0,,,,,,,,,,,,
2024-05-27,40036363150.003044,9030496192.08011,14141949344.01158,9569608715.9763,,3338908750.3501296,3426619069.92508,1594377911.8559198,955974153.4424399,1470883938.79392,2146054160.64781,,1143013548.2020102,153175620.70018,140139635.74196997,879019261.91028,435276108.32113004,463533778.12177,141707358.73342,,28878234.560539998,1.23581,,85416326.59056,,302343.8394,68195971.51387,0.0,1520640.1002,7213001.9711,5206719.9785,,,,3672151.16105,102432.96498,,0.41082,25616.347869999998,1373120.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,3906301.6753100003,,,,,,0,,,,,,,,,,,,
2024-05-28,40842438442.46858,9180064767.928211,14409760765.83953,9745422937.7334,,3406146494.8976603,3498170554.0986996,1618167522.74656,973766898.98524,1503023627.03032,2174940756.41409,,1163800716.30841,937165161.70547,141501438.88553,892936383.46099,443103528.92205,470305461.6531,143777570.81699,,28633297.9243,1.24652,,87004394.12013,,390212.91625,69115253.17372,0.0,1582471.20638,7271947.43501,5282479.4947999995,,,,3740424.10436,85161.46377,,0.41795,26025.43178,1393180.0,,,,,,0.0,,,,,,,,,,136113.91646,,,,,0.0,3960152.8551399997,,,,,,0,,,,,,,,,,,,
2024-05-29,40216747455.80386,8975299423.93251,14218095382.32646,9548674285.98748,,3330383119.50585,3457668824.49201,1592818492.43006,940938149.05276,1438333022.43551,2130949803.693,,1145327558.57336,921495489.6086999,143270768.06819,877892576.3325101,434013166.40241003,463968085.05597,141525724.97135,,28580072.005939998,1.23122,,85261636.58768,,425557.76036,67950898.23025,0.0,1571430.78019,7149331.03694,5199834.29328,,,,3677407.05142,100087.08392,,0.41141,25444.51477,1371360.0,,,,,,0.0,,,,,,,,,,137131.88592,,,,,0.0,3899167.08728,,,,,,0,,,,,,,,,,,,
2024-05-30,39930053078.2181,8855081133.51082,14029625834.051271,9452853560.66182,,3286900694.21554,3419843366.10646,1573322320.61357,927841771.8809799,1414159202.4044101,2109395703.48411,,1133946938.89095,913948532.04887,139873015.6466,866292839.3305,429354403.04143,458852290.57294,139655722.83006,,28612722.704449996,1.21743,,84746656.57179,,498411.27092,67026096.668800004,0.0,1684175.19384,7061033.12596,5130472.52533,,,,3627368.82982,122078.06076,,0.40597,24994.124170000003,1353240.0,,,,,,0.0,,,,,,,,,,135319.94028,,,,,0.0,3637351.01236,,,,,,0,,,,,,,,,,,,
2024-05-31,40231425698.59995,8918670898.49007,14175398477.23135,9560964934.6465,,3318823909.3051,3423542496.73504,1588907887.94381,937291424.7374599,1493878538.9426,2127059674.35944,,1144764049.78063,928275846.54053,143583521.58639002,875575189.5252199,434071695.00315,463511336.0741,141073704.5862,,26320095.777269997,1.23097,,85265379.08775,,333200.66964,67974964.94766,0.0,1617060.52598,7534951.35884,5183039.90815,,,,3667699.7437,113227.83971,,0.41009,24998.93835,1366980.0,,,,,,0.0,,,,,6247056.98437,,,,,136693.89906,,,,,0.0,3678190.34984,,,,,,0,,,,,,,,,,,,
2024-06-01,39733878104.0472,8805751721.10537,13994700217.13263,9411688190.5263,,3277202660.2807803,3408782864.6733103,1567832838.1277902,931665734.96924,1452798877.0011601,2111348104.3666,,1130741132.43759,918932417.68917,144690218.75761,864090684.1677101,427347898.85576004,457686248.59295,142675211.38602,,28214938.445880003,1.2163,,84193776.56779,,242131.19432,67198279.61632,0.0,1593173.01977,7368186.186380001,5124163.522919999,,,,3617446.99595,109384.42467,,0.40541,24390.27276,1351360.0,,,,,,0.0,,,,,6185538.48652,,,,,134975.9506,,,,,0.0,3639935.74032,,,,,,0,,,,,,,,,,,,
2024-06-02,40000230614.2138,8822869918.72239,14044693637.78673,9441350850.0892,,3288218476.3470902,3392566393.06649,1574510541.5512898,935861555.6003001,1453454273.4029,2120985907.68092,,1135818370.61927,922157221.1095799,145676559.79457,867918851.96908,429079664.55752003,460730581.42541003,143152979.91133,,28321358.40523,1.2193,,84475711.57304,,281041.44481,67340507.88226,0.0,1871181.21904,7562573.5002500005,5140769.91192,,,,3631712.98411,112322.53112,,0.4063,24428.9062,1355780.0,,,,,,0.0,,,,,6159518.46287,,,,,135573.93266,,,,,0.0,3648810.18301,,,,,,0,,,,,,,,,,,,
2024-06-03,39909457659.689644,8832736438.915932,14064109768.37467,9478239744.15934,,3294831357.51091,3407286647.52467,1580230191.57915,934987054.7380099,1445656914.8851402,2121780556.69578,,1145928278.52594,922792013.953,145884367.54633,869711304.95024,428906685.25185,460730597.67359,143603266.17633,,27778310.061660003,1.2191,,84741429.07799,,192960.44745,67557215.40646,0.0,1961262.41677,7575800.45781,5140814.374589999,,,,3643136.50094,112538.58554,,0.40757,24411.537630000003,1358580.0,,,,,,0.0,,,,,6119874.3723,,,,,135853.92426,,,,,0.0,3654243.60159,,,,,,0,,,,,,,,,,,,
