bulan,supply_cm,kas,beredar_chain,cmc,kas_pct,cmc_vs_chain_pct
2017-12,1.40010997,0.00106915148472503,1.399040818515275,1.36808983652,0.07642032102105939,-2.21230014061502
2018-01,2.28010997,0.00106913648,2.27904083352,2.21714081352,0.04691168601611709,-2.716055767390302
2018-02,2.28010997,0.00106913648,2.27904083352,2.21714081352,0.04691168601611709,-2.716055767390302
2018-03,2.58010997,0.23106913648,2.34904083352,2.2871408135199998,9.836744137552799,-2.635118943728376
2018-04,2.58010997,0.10106913648,2.47904083352,2.41714081352,4.07694520854227,-2.4969342643746506
2018-05,2.83010997,0.26106913647999996,2.56904083352,2.50714081352,10.162124831713678,-2.4094603399194336
2018-06,3.0801095021043,0.31106913648,2.7690403656243,2.70714034562,11.233824553145046,-2.235432201449483
2018-07,3.0801095021043,0.60106913648,2.4790403656243,2.46214034562,24.246040718608146,-0.68171620916887
2018-08,3.0801095021043,0.27606914648,2.8040403556243,2.74214033562,9.845405610025008,-2.207529569970057
2018-09,3.0801095021043,0.21178774647999998,2.8683217556243,2.80642173562,7.383681627234448,-2.1580570548936695
2018-10,2.5801095021043,0.74178774648,1.8383217556243001,1.7764217356199998,40.351355480101276,-3.3672027116536385
2018-11,2.5801095021043,0.66178774648,1.9183217556243,1.85642173562,34.49826623399928,-3.226779857071227
2018-12,2.5800622433634293,0.659467967805414,1.9205942755580152,1.85869425556,34.33666215701961,-3.2229618085282796
2019-01,2.5800574933634293,0.49730155680541405,2.0827559365580153,2.02085591656,23.877092273579585,-2.972024657882477
2019-02,2.5800574933634293,0.496698456805414,2.083359036558015,2.02145901656,23.841231784321998,-2.971164303022966
2019-03,2.5800574933634293,0.48930468380541403,2.090752809558015,2.02885278956,23.40327759305286,-2.960657028178315
2019-04,3.357959503963429,0.4609920495065848,2.8969674544568442,2.834358182,15.912917792616927,-2.161200408396824
2019-05,3.507959503963429,0.31480235933803474,3.193157144625394,3.13054787217,9.858655402158915,-1.9607325796907826
2019-06,3.857959503963429,0.19497189064803475,3.6629876133153942,3.6003783408600003,5.322755936691919,-1.7092406271809857
2019-07,4.377459503963429,0.2887010589680347,4.088758444995395,4.02646117254,7.060848980242458,-1.5236232047810438
2019-08,4.207459503963429,0.13729250377126626,4.070167000192163,4.00786972773,3.3731417842261586,-1.5305827121890103
2019-09,4.237395053380251,0.030966820456242262,4.206428232924009,4.1080444561,0.7361785044580764,-2.3388911298652837
2019-10,4.631046653380251,0.1633064897662432,4.467740163614007,4.1080444561,3.6552369606504307,-8.050954047046567
2019-11,4.6752603917066615,0.11712646167697424,4.558133930029687,4.1080444561,2.569614308726804,-9.874424069999964
2019-12,4.7702603917076605,0.031958056547974234,4.738302335159687,4.1080444561,0.6744621657177814,-13.301343698205493
2020-01,4.7701011211663955,0.17729089527170025,4.592810225894695,4.642367414,3.860183342044431,1.079016673188371
2020-02,4.871677572740854,0.06956454302115922,4.8021130297196954,4.642367414,1.448623607787503,-3.3265692567219785
2020-03,6.55551527470854,0.30738431057752424,6.2481309641310165,6.16609418958,4.919620160687123,-1.3129810341999781
2020-04,8.09650674167091,0.3070654587698942,7.789441282901015,6.361032509,3.942072962844571,-18.33775648372349
2020-05,9.456365431043098,0.34673116197685616,9.109634269066243,8.798069379469998,3.8062028807705017,-3.4201690253826245
2020-06,10.256242570798355,0.6216384940799002,9.634604076718455,9.18799166261,6.452143639011165,-4.635503551076592
2020-07,11.185874191659728,0.2594857088812732,10.926388482778457,9.998221723190001,2.374853404583405,-8.494725965961925
2020-08,13.705723881825454,0.2788530625793122,13.426870819246142,13.325642918469999,2.0768283715041247,-0.7539202703212289
2020-09,15.77264966069084,0.3429685758148812,15.429681084875957,15.50138049382,2.222784605386667,0.4646849701535283
2020-10,17.1170645063502,0.5340956840884632,16.582968822261737,16.6543049315,3.2207482858646435,0.4301769484273521
2020-11,19.53060858161655,0.32884527855604123,19.201763303060513,19.127387104759997,1.7125785448236805,-0.3873404599704755
2020-12,21.380408541518083,0.3763830584155053,21.004025483102577,20.92693625039,1.791956778562756,-0.3670212301665421
2021-01,27.15537275973819,0.5743088462418482,26.58106391349634,26.43064189011,2.1605939029033636,-0.5658991825002402
2021-02,35.65528569689859,0.621429127892254,35.03385656900634,34.97743454562,1.7737959469812363,-0.16104999252709584
2021-03,42.35340924958834,1.6908183857119998,40.662590863876346,40.7231683678,4.158166879656656,0.14897600629149022
2021-04,53.25340925058834,1.8728795847520003,51.38052966583634,50.9950532285,3.645115371391948,-0.7502383487351438
2021-05,64.25340925058835,2.660651090642,61.59275815994634,61.783335673660005,4.319746623024614,0.309415456308626
2021-06,64.24888586308494,2.0612405994685834,62.187645263616346,62.4554154182,3.3145500054406107,0.4305841673994282
