time,usdt,usdt_eth,usdt_omni,usdt_trx,usdc,dai,busd,tusd,pax
2020-04-22,7475506741.670909,5378111721.549909,1335000000.0,762395020.121,726800413.77,78933282.43227717,193223818.78,131841629.66,268644291.83
2020-04-23,7481506741.670909,5378111721.549909,1335000000.0,768395020.121,736283114.77,82602296.42412348,186565777.29,131842580.56,263190115.14
2020-04-24,7499506741.670909,5378111721.549909,1335000000.0,786395020.121,754411819.63,85032599.62456243,180220082.66,130985198.91,258463366.4
2020-04-25,7499506741.670909,5378111721.549909,1335000000.0,786395020.121,755391159.49,85713654.79413119,190748647.59,131716094.05,259889242.04
2020-04-26,7499506741.670909,5378111721.549909,1335000000.0,786395020.121,754279945.37,86589939.72913654,195255128.41,131549591.03,262109535.03
2020-04-27,7806506741.670909,5618111721.549909,1335000000.0,853395020.121,752942795.54,86550291.37281068,192738442.86,131962016.83,265460496.88
2020-04-28,7856506741.670909,5618111721.549909,1335000000.0,903395020.121,732438739.07,87008159.69865696,193771489.45,134374620.21,265242180.08
2020-04-29,8016506741.670909,5618111721.549909,1335000000.0,1063395020.121,725876599.18,89462254.97725347,190177306.11,135583627.79,258478972.02
2020-04-30,8096506741.670909,5618111721.549909,1335000000.0,1143395020.121,727058884.31,88980461.62696339,176405207.58,137377115.16,254895948.61
2020-05-01,8096506741.670909,5618111721.549909,1335000000.0,1143395020.121,713454171.46,88114525.87734562,168989602.74,133430760.56,255164332.17
2020-05-02,8096506741.670909,5618111721.549909,1335000000.0,1143395020.121,711371541.3,90602329.52555963,178167162.27,133097978.15,250429359.64
2020-05-03,8096506741.670909,5618111721.549909,1335000000.0,1143395020.121,710797096.61,92874676.76480453,180765483.1,133637570.0,253079876.24
2020-05-04,8176506741.670909,5618111721.549909,1335000000.0,1223395020.121,713232886.54,93752875.82915668,178726819.1,137158138.26,257049279.82
2020-05-05,8176506741.670909,5618111721.549909,1335000000.0,1223395020.121,714300570.63,93613178.68699384,182652534.78,138047528.9,261714692.12
2020-05-06,8256365431.043098,5617970410.922098,1335000000.0,1303395020.121,715463392.43,94207345.99670608,188891935.67,137809062.55,259083937.64
2020-05-07,8476365431.043098,5737970410.922098,1335000000.0,1403395020.121,720404171.24,94980804.67838486,192334586.61,137974476.53,261385816.17
2020-05-08,8576365431.043098,5737970410.922098,1335000000.0,1503395020.121,724814500.5,94936848.04677568,193984007.25,138743269.84,257939240.64
2020-05-09,8676365431.043098,5737970410.922098,1335000000.0,1603395020.121,724978083.5,95815725.21529453,193781420.74,139385407.73,259781187.4
2020-05-10,8756365431.043098,5737970410.922098,1335000000.0,1683395020.121,746275498.2,93116381.10325389,183776424.85,139734822.79,249963920.4
2020-05-11,8856365431.043098,5737970410.922098,1335000000.0,1783395020.121,747373651.67,91825343.39595462,187613459.82,138999946.55,244080826.2
2020-05-12,8956365431.043098,5737970410.922098,1335000000.0,1883395020.121,749474971.09,92502066.66589576,187352900.19,138586178.54,246454031.27
2020-05-13,9056365431.043098,5737970410.922098,1335000000.0,1983395020.121,770280734.39,93733401.34909816,187883375.96,138862686.51,250173525.56
2020-05-14,9256365431.043098,5737970410.922098,1335000000.0,2183395020.121,727564092.24,95436627.5772866,188176841.08,140986667.21,244697121.42
2020-05-15,9256365431.043098,5737970410.922098,1335000000.0,2183395020.121,726756823.26,95841962.53355253,179829683.36,140761938.58,250218557.35
2020-05-16,9256365431.043098,5737970410.922098,1335000000.0,2183395020.121,726678772.06,96642829.44966093,179829683.36,140991928.58,250218557.35
2020-05-17,9256365431.043098,5737970410.922098,1335000000.0,2183395020.121,726628500.55,97447376.26029892,179829683.36,142443065.58,250218557.35
2020-05-18,9256365431.043098,5737970410.922098,1335000000.0,2183395020.121,725718330.47,101710582.75709456,176439625.97,142917277.49,253699560.29
2020-05-19,9256365431.043098,5737970410.922098,1335000000.0,2183395020.121,726984425.8,100827646.70560087,170934830.58,143404606.71,248205471.02
2020-05-20,9256365431.043098,5737970410.922098,1335000000.0,2183395020.121,733415543.24,106347064.57731064,165962947.37,143154379.57,246139121.15
