date,btc_price,min_sopr,pct_sth_in_loss,sth_loss_chg5,rsi14,rsi_bb_lower,c1_sopr,c2_sth_loss,c3_rsi_bb,confirm_count,zone,drawdown_10d,is_correction
2010-07-17,0.04951,1.0000000320957372,0.0,,,,False,False,False,0,NEUTRAL,,False
2010-07-18,0.08584,1.5447851650508857,2.2173425974683725,,,,False,False,False,0,NEUTRAL,,False
2010-07-19,0.0808,1.2205390078421214,1.7702138569585442,,,,False,False,False,0,NEUTRAL,,False
2010-07-20,0.07474,1.1149915100790695,4.997233674138952,,,,False,False,False,0,NEUTRAL,,False
2010-07-21,0.07921,1.134710484072757,3.343501879025288,,,,False,False,False,0,NEUTRAL,,False
2010-07-22,0.05446,0.8017696277058831,7.425578741409359,7.425578741409359,,,True,False,False,1,NEUTRAL,,False
2010-07-23,0.0624138775510204,1.0791806219004478,6.364869609382725,4.147527011914352,,,False,False,False,0,NEUTRAL,,False
2010-07-24,0.05454,1.0434062674082123,8.86274472249064,7.092530865532097,,,False,False,False,0,NEUTRAL,,False
2010-07-25,0.0505,0.952821972939236,12.504982955079765,7.507749280940812,,,True,False,False,1,NEUTRAL,,False
2010-07-26,0.056,1.038018962083981,9.989519234703716,6.646017355678428,,,False,False,False,0,NEUTRAL,-0.34762348555452005,True
2010-07-27,0.06,1.038584097257086,5.157614119387693,-2.2679646220216654,,,False,False,False,0,NEUTRAL,-0.30102516309412863,True
2010-07-28,0.0589,1.038221118918124,6.103985656696131,-0.26088395268659426,,,False,False,False,0,NEUTRAL,-0.27103960396039595,True
2010-07-29,0.0698625662193553,1.120540891482018,5.135102198217558,-3.727642524273083,,,False,False,False,0,NEUTRAL,-0.11800825376397805,True
2010-07-30,0.0627,1.0281964389695788,6.375616742464811,-6.129366212614953,,,False,False,False,0,NEUTRAL,-0.208433278626436,True
2010-07-31,0.06785,1.0819267363678775,6.087336689042661,-3.902182545661055,87.3098286307683,,False,False,False,0,NEUTRAL,-0.02880750490951367,False
2010-08-01,0.0611,1.0181490472444923,7.824457816098704,2.6668436967110107,84.88295191452319,,False,False,False,0,NEUTRAL,-0.12542577081755757,True
2010-08-02,0.06010568,0.9771952052952144,13.186515776468132,7.082530119772001,84.51030175012966,,True,False,False,1,NEUTRAL,-0.1396582855075852,True
2010-08-03,0.06,0.985634475357032,12.209200728065396,7.074098529847838,84.46785703413336,,False,False,False,0,NEUTRAL,-0.14117096970627585,True
2010-08-04,0.0572824939363675,0.9767258879403006,15.289370116130756,8.913753373665944,83.30916199880923,,True,False,False,1,NEUTRAL,-0.1800688546637228,True
2010-08-05,0.061,0.9980850440933052,9.413930813391335,3.3265941243486745,83.63978459703178,,False,False,False,0,NEUTRAL,-0.12685715253471386,True
2010-08-06,0.0623,1.0785548536733756,7.6503451538655955,-0.1741126622331084,83.76092583511429,,False,False,False,0,NEUTRAL,-0.10824919021168311,True
2010-08-07,0.059,0.9636154989594692,17.50064291999902,4.314127143530888,82.09905817541379,,True,False,False,1,NEUTRAL,-0.15548478687783795,True
2010-08-08,0.0609,1.019543174315562,9.783327723205328,-2.425873004860067,82.31660114593805,,False,False,False,0,NEUTRAL,-0.10243183492999253,True
2010-08-09,0.0707,1.1325209062120838,3.326437418213967,-11.96293269791679,83.43480958088973,,False,False,False,0,NEUTRAL,0.0,False
2010-08-10,0.07,1.0423565117299445,8.065119725693854,-1.3488110876974808,83.03092845042565,,False,False,False,0,NEUTRAL,-0.009900990099009799,False
2010-08-11,0.067,1.0001926198569209,10.177798994383522,2.5274538405179268,81.21642396818608,,False,False,False,0,NEUTRAL,-0.05233380480905225,False
2010-08-12,0.07,1.0505613054796783,7.7738352917136595,-9.72680762828536,81.64831946409593,,False,False,False,0,NEUTRAL,-0.009900990099009799,False
2010-08-13,0.0645,1.044904238497622,10.14748311941218,0.36415539620685244,78.10269655757601,,False,False,False,0,NEUTRAL,-0.08769448373408761,True
2010-08-14,0.067,1.0268085263528233,11.21175738768255,7.885319969468583,78.55848444151161,,False,False,False,0,NEUTRAL,-0.05233380480905225,False
2010-08-15,0.06529,1.044904434165153,10.82744013213428,2.762320406440425,77.37217569060131,,False,False,False,0,NEUTRAL,-0.07652050919377651,False
2010-08-16,0.0655,1.0380446820450882,9.82481175537941,-0.3529872390041131,77.41727696498596,,False,False,False,0,NEUTRAL,-0.07355021216407354,False
2010-08-17,0.07,1.0463190817371708,8.279586972757585,0.5057516810439253,78.41032448891406,,False,False,False,0,NEUTRAL,-0.009900990099009799,False
2010-08-18,0.068,1.0481786932421056,10.00287556632708,-0.1446075530851001,76.79401958655487,,False,False,False,0,NEUTRAL,-0.038189533239038065,False
2010-08-19,0.0667,1.0118478121766366,12.072980664541271,0.8612232768587216,75.70169010643338,,False,False,False,0,NEUTRAL,-0.047142857142857264,False
2010-08-20,0.0655,0.9980090551244254,12.481534263583624,1.6540941314493445,74.64619432317281,,False,False,False,0,NEUTRAL,-0.06428571428571439,False
2010-08-21,0.0664,1.0464903628963156,11.657549800070289,1.8327380446908794,74.92853701485139,,False,False,False,0,NEUTRAL,-0.05142857142857149,False
2010-08-22,0.066,1.0908997536469676,13.590841452918449,5.311254480160864,74.53127766742902,,False,False,False,0,NEUTRAL,-0.05714285714285716,False
2010-08-23,0.06491,0.9905059307693322,19.143164930036345,9.140289363709265,73.38942117854559,,False,False,False,0,NEUTRAL,-0.07271428571428584,False
2010-08-24,0.065,1.018321517548998,17.53172161306571,5.458740948524438,73.42562352632174,,False,False,False,0,NEUTRAL,-0.07142857142857151,False
2010-08-25,0.0648,1.006381529173708,20.65377188837513,8.172237624791505,73.1873418982964,,False,False,False,0,NEUTRAL,-0.0742857142857144,False
2010-08-26,0.064,0.996015335536709,22.2679444211418,10.61039462107151,72.17833427967842,,False,False,False,0,NEUTRAL,-0.08571428571428574,True
2010-08-27,0.065,1.0285654230370211,16.94411578034212,3.353274327423671,72.6852667745579,,False,False,False,0,NEUTRAL,-0.044117647058823595,False
2010-08-28,0.0645982546728972,0.9946859597723886,21.763423778783427,2.6202588487470813,72.11675599639597,,False,False,False,0,NEUTRAL,-0.03151042469419474,False
2010-08-29,0.064,0.9871244808940616,24.167403217780684,6.635681604714975,71.2233788557225,71.51873934946964,False,False,True,1,NEUTRAL,-0.03614457831325302,False
2010-08-30,0.06497,1.0152289041103026,19.927282367764715,-0.7264895206104143,71.8326559753107,71.19889474341299,False,False,False,0,NEUTRAL,-0.02153614457831321,False
2010-08-31,0.06,0.9457656969200654,30.28142617271174,8.013481751569941,64.31849830115392,69.81147908459138,True,False,True,2,BUY_ZONE,-0.09090909090909094,True
2010-09-01,0.0629,0.9951144971884418,22.593886506818738,5.649770726476618,66.51929186290829,68.91508128879144,False,False,True,1,NEUTRAL,-0.03230769230769237,False
2010-09-02,0.0634,1.0080506745746696,23.713903165953173,1.9504793871697466,66.8983816633633,68.17686297479811,False,False,True,1,NEUTRAL,-0.024615384615384706,False
2010-09-03,0.06085,0.9603584034189354,27.54969682467801,3.382293606897324,62.98171334408929,66.97108292009904,True,False,True,2,BUY_ZONE,-0.06384615384615389,False
2010-09-04,0.06238,0.9923159059999792,26.410218848774413,6.482936481009698,64.33107132595609,66.10410693828754,False,False,True,1,NEUTRAL,-0.04030769230769238,False
2010-09-05,0.06163975,1.0138074957064092,25.82645907734938,-4.45496709536236,63.13203504110747,65.20622605293015,False,False,True,1,NEUTRAL,-0.05169615384615389,False
2010-09-06,0.0616,0.9807178989182116,26.50464788382689,3.9107613770081535,63.06406197153825,64.34951204711987,False,False,True,1,NEUTRAL,-0.05187009388948738,False
2010-09-07,0.0610028889147648,0.9904378058103256,30.7069237984228,6.9930206324696265,61.984438178789745,63.477474201989914,False,False,True,1,NEUTRAL,-0.06106066007750044,False
2010-09-08,0.0612664420040746,0.9921371348845202,29.779672984960964,2.2299761602829555,62.29129079746345,62.815430389068226,False,False,True,1,NEUTRAL,-0.057004124918045296,False
2010-09-09,0.06111,1.0646290321676184,32.365006954264935,5.954788105490522,61.97152607109043,62.21573580757244,False,False,True,1,NEUTRAL,-0.03611987381703474,False
2010-09-10,0.0618,1.0071708812609834,23.829537022592447,-1.9969220547569329,62.87669626778249,61.72551067273304,False,False,False,0,NEUTRAL,-0.025236593059936863,False
2010-09-11,0.06366,0.9916146921299224,19.804926811502,-6.699721072324891,65.27607443055346,61.57149212891963,False,False,False,0,NEUTRAL,0.0,False
2010-09-12,0.0615,1.0070288154832892,31.53604950973468,0.8291257113118817,60.394343501211544,60.848261394883004,False,False,True,1,NEUTRAL,-0.03393025447690845,False
2010-09-13,0.0621824198330189,1.0084601148922832,23.602993555104742,-6.176679429856222,61.37710295044969,60.34113614316089,False,False,False,0,NEUTRAL,-0.02321049586838042,False
2010-09-14,0.06199,0.9988426808209642,28.7561622215399,-3.6088447327250357,60.91809605502297,59.81815836220025,False,False,False,0,NEUTRAL,-0.026233113415017106,False
2010-09-15,0.0604,0.9326761585932656,38.9330518781814,15.103514855588955,57.11698898250414,58.950467327417115,True,False,True,2,BUY_ZONE,-0.05120955073829714,False
2010-09-16,0.0618747945205479,1.0479212885217255,29.18173529494119,9.376808483439191,59.63298250814366,58.53885610827578,False,False,False,0,NEUTRAL,-0.028042813060824567,False
2010-09-17,0.0597976861530533,0.960015435801747,41.4009145003361,9.864864990601419,54.759946855178384,57.56682144115271,True,False,True,2,BUY_ZONE,-0.060670968378050416,False
2010-09-18,0.061,0.9933295636294984,37.05429374800125,13.451300192896507,56.95276057976264,56.93919134704918,False,False,False,0,NEUTRAL,-0.041784480050267025,False
2010-09-19,0.0627,1.017649927212775,21.860284997043536,-6.895877224496363,59.911547448599,56.63774296682294,False,False,False,0,NEUTRAL,-0.015080113100848114,False
2010-09-20,0.0621,0.9880466129023172,28.18088699184334,-10.752164886338061,58.386210884981416,56.289450974961966,False,False,False,0,NEUTRAL,-0.024505183788878337,False
2010-09-21,0.06265,1.0118456987458853,21.962488314317145,-7.219246980624046,59.40646450421809,56.091783815171524,False,False,False,0,NEUTRAL,-0.0007974481658693522,False
2010-09-22,0.0622,1.0054502497818445,22.99103902941795,-18.40987547091815,58.15026933113965,55.80351594853777,False,False,False,0,NEUTRAL,-0.0079744816586923,False
2010-09-23,0.06231,1.003878461707484,21.92103484425833,-15.13325890374292,58.381939494874786,55.61921748718567,False,False,False,0,NEUTRAL,-0.0062200956937800145,False
2010-09-24,0.0622,1.0084643383162215,26.57918532459788,4.718900327554344,58.03595292482222,55.48016326414542,False,False,False,0,NEUTRAL,-0.0079744816586923,False
2010-09-25,0.06202,1.0343699166498492,32.61837140651494,4.437484414671598,57.43611997281101,55.313861984410885,False,False,False,0,NEUTRAL,-0.010845295055821436,False
2010-09-26,0.06202171,1.003060609356727,30.426408899962134,8.463920585644988,57.440620224249294,55.29064721560132,False,False,False,0,NEUTRAL,-0.010818022328548671,False
2010-09-27,0.0622009295539808,1.0165401936638268,27.58602374135522,4.594984711937268,57.94251518012678,55.38468826725095,False,False,False,0,NEUTRAL,-0.007959656236350976,False
